ContactName,InvoiceNumber,Reference,InvoiceDate,DueDate,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TrackingName1,TrackingOption1
Almac,C84245,1218,2013-01-31,2013-02-20,ALMAC Flyer - Job 74109 - Delivery IOA - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.636,0,,100,15% GST on income,Division,Circulars
APN Holdings NZ Limited,C84246,,2013-01-31,2013-02-20,Cambridge Property Guide - Job 73861 - Delivery 05 Dec 2012 - 75 grams. Includes folding fee 0.0100 cents.   Boxholder Type: Total. ,2.18,95.6,,100,15% GST on income,Division,Circulars
,C84246,,2013-01-31,2013-02-20,Cambridge Property Guide - Job 73862 - Delivery 12 Dec 2012 - 75 grams. Includes folding fee 0.0100 cents.   Boxholder Type: Total. ,2.18,95.6,,100,15% GST on income,Division,Circulars
,C84246,,2013-01-31,2013-02-20,Cambridge Property Guide - Job 73863 - Delivery 19 Dec 2012 - 75 grams. Includes folding fee 0.0100 cents.   Boxholder Type: Total. ,2.18,95.6,,100,15% GST on income,Division,Circulars
APN Holdings NZ Limited,C84247,,2013-01-31,2013-02-20,Rural Advocate - Job 73876 - Delivery 19 Dec 2012 - 0 grams.    Boxholder Type: Farmers. ,1.94,0,,100,15% GST on income,Division,Circulars
,C84247,,2013-01-31,2013-02-20,Rural Advocate - Job 73877 - Delivery 19 Dec 2012 - 0 grams.    Boxholder Type: Total. ,6.125,0,,100,15% GST on income,Division,Circulars
APN Holdings NZ Limited,C84248,,2013-01-31,2013-02-20,Te Puke Times - Job 73871 - Delivery 06 Dec 2012 - 0 grams.    Boxholder Type: Total. ,3.27,85.6,,100,15% GST on income,Division,Circulars
,C84248,,2013-01-31,2013-02-20,Te Puke Times - Job 73872 - Delivery 13 Dec 2012 - 0 grams.    Boxholder Type: Total. ,3.27,85.6,,100,15% GST on income,Division,Circulars
,C84248,,2013-01-31,2013-02-20,Te Puke Times - Job 73873 - Delivery 20 Dec 2012 - 0 grams.    Boxholder Type: Total. ,3.27,85.6,,100,15% GST on income,Division,Circulars
Beef + Lamb NZ Feilding,C84249,,2013-01-31,2013-02-20,Beef Returns Improvement Group - Job 74178 - Delivery 05 Dec 2012 - 15 grams.    Boxholder Type: Beef. Includes Linehaul.,1.573,95.4,,100,15% GST on income,Division,Circulars
