Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C21320	30/11/2009		I	CI/1	8376.000	Ag Research Invitation - Job 64094 - Delivery IOA - 10 grams.   	0.0883	0.0993	739.601	Ag Research Invitation	S	92.45	I	331

C21321	30/11/2009		I	CI/1	2991.000	Cambridge Property Guide - Job 63906 - Delivery 04 Nov 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21321	30/11/2009		I	CI/2	2991.000	Cambridge Property Guide - Job 64246 - Delivery 11 Nov 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21321	30/11/2009		I	CI/3	2991.000	Cambridge Property Guide - Job 64247 - Delivery 18 Nov 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21321	30/11/2009		I	CI/4	2991.000	Cambridge Property Guide - Job 64248 - Delivery 25 Nov 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C21322	30/11/2009		I	CI/1	2000.000	Eastside Community News - Job 9658 - Delivery 27 Nov 2009 - 30 grams.   	0.0750	0.0844	150.000	Eastside Community News	S	18.75	I	106

C21323	30/11/2009	Gay Hubbard	I	CI/1	2220.000	Hamilton This Week - Job 63911 - Delivery 05 Nov 2009 - 60 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106
C21323	30/11/2009	Gay Hubbard	I	CI/2	2220.000	Hamilton This Week - Job 64250 - Delivery 12 Nov 2009 - 195 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1136	224.220	Hamilton This Week	S	28.03	I	106
C21323	30/11/2009	Gay Hubbard	I	CI/3	2220.000	Hamilton This Week - Job 64251 - Delivery 19 Nov 2009 - 70 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106
C21323	30/11/2009	Gay Hubbard	I	CI/4	2220.000	Hamilton This Week - Job 64252 - Delivery 26 Nov 2009 - 70 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106

C21324	30/11/2009	10455	I	CI/1	8022.000	Rural Advocate - Job 64254 - Delivery 20 Nov 2009 - 163 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1136	810.222	Rural Advocate	S	101.28	I	106

C21325	30/11/2009		I	CI/1	3505.000	Te Puke Times - Job 63915 - Delivery 04 Nov 2009 - 85 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C21325	30/11/2009		I	CI/2	3505.000	Te Puke Times - Job 64255 - Delivery 11 Nov 2009 - 160 grams.   	0.0910	0.1024	318.955	Te Puke Times	S	39.87	I	106
C21325	30/11/2009		I	CI/3	3505.000	Te Puke Times - Job 64256 - Delivery 18 Nov 2009 - 75 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C21325	30/11/2009		I	CI/4	3505.000	Te Puke Times - Job 64257 - Delivery 25 Nov 2009 - 105 grams.   	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106

C21326	30/11/2009	Central Canterbury	I	CI/1	2387.000	FLM - Central Canterbury - Job 64394 - Delivery IOA - 90 grams.   	0.0856	0.0963	204.327	FLM - Central Canterbury	S	25.54	I	107

C21327	30/11/2009		I	CI/1	875.000	Bayleys -Dean File - Job 64518 - Delivery IOA - 5 grams.   	0.0917	0.1032	80.238	Bayleys -Dean File	S	10.03	I	111

C21328	30/11/2009		I	CI/1	16237.000	Bayleys Quarterly LNI - Job 64369 - Delivery IOA - 150 grams.   	0.1605	0.1806	2606.039	Bayleys Quarterly LNI	S	325.75	I	111

C21329	30/11/2009		I	CI/1	16428.000	Bomac Laboratories - Job 64366 - Delivery IOA - 10 grams.   	0.0883	0.0993	1450.592	Bomac Laboratories	S	181.32	I	320

C21330	30/11/2009		I	CI/1	33233.000	Rural Living - Job 64259 - Delivery 23 Nov 2009 - 73 grams.   	0.0927	0.1043	3080.699	Rural Living	S	385.09	I	256

C21331	30/11/2009		I	CI/1	87301.000	C-Dax November Flyer - Job 64403 - Delivery 20 Nov 2009 - 10 grams.   	0.0692	0.0779	6041.229	C-Dax November Flyer	S	755.15	I	116

C21332	30/11/2009	10038	I	CI/1	14078.000	CMP DLE Flyer - Job 64345 - Delivery 10 Nov 2009 - 5 grams.   	0.0883	0.0993	1243.087	CMP DLE Flyer	S	155.39	I	250
C21332	30/11/2009	10038	I	CI/2	3826.000	CMP DLE Flyer - Job 64347 - Delivery 10 Nov 2009 - 10 grams.   	0.0883	0.0993	337.836	CMP DLE Flyer	S	42.23	I	250

C21333	30/11/2009	SI Lifestyler Mailing	I	CI/1	31250.000	CRT - Your Welcome - Job 64326 - Delivery 04 Nov 2009 - 10 grams.   	0.0728	0.0819	2275.000	CRT - Your Welcome	S	284.38	I	125

C21334	30/11/2009	Blenheim Lifestyle Day	I	CI/1	1766.000	CRT Lifestyle Farming Day - Blenheim - Job 64419 - Delivery 26 Nov 2009 - 15 grams.   	0.0849	0.0955	149.933	CRT Lifestyle Farming Day - Blenheim	S	18.74	I	125

C21335	30/11/2009	117145	I	CI/1	1816.000	Dairy Industry Awards Launch - Job 64397 - Delivery 17 Nov 2009 - 10 grams.   	0.0826	0.0929	150.002	Dairy Industry Awards Launch	S	18.75	I	233
C21335	30/11/2009	116973	I	CI/2	171.000	DairyNZ Discussion Group - Job 64373 - Delivery 09 Nov 2009 - 10 grams.   	0.8772	0.9869	150.001	DairyNZ Discussion Group	S	18.75	I	233
C21335	30/11/2009	116874	I	CI/3	1517.000	DairyNZ Forage Master Workshop - Awakeri - Job 64343 - Delivery IOA - 10 grams.   	0.0989	0.1113	150.031	DairyNZ Forage Master Workshop - Awakeri	S	18.75	I	233
C21335	30/11/2009	Need PO	I	CI/4	1587.000	DairyNZ Localink Sarah Payne - Job 64413 - Delivery IOA - 10 grams.   	0.0945	0.1063	149.972	DairyNZ Localink Sarah Payne	S	18.75	I	233
C21335	30/11/2009	116901	I	CI/5	2391.000	DairyNZ Practical Effluent Field Day - Job 64350 - Delivery IOA - 10 grams.   	0.0749	0.0843	179.086	DairyNZ Practical Effluent Field Day	S	22.39	I	233

C21336	30/11/2009	116924	I	CI/1	2877.000	DairyNZ Practical Effluent Field Day - Job 64356 - Delivery IOA - 10 grams.   	0.0749	0.0843	215.487	DairyNZ Practical Effluent Field Day	S	26.94	I	233

C21337	30/11/2009	116862	I	CI/1	1273.000	DairyNZ Tight Mgmt Farm Field Day  - Job 64332 - Delivery IOA - 10 grams.   	0.1179	0.1326	150.087	DairyNZ Tight Mgmt Farm Field Day 	S	18.76	I	233
C21337	30/11/2009	177132	I	CI/2	1103.000	DairyNZ Tight Mgmt Farm Field Day - Job 64408 - Delivery IOA - 10 grams.   	0.1360	0.1530	150.008	DairyNZ Tight Mgmt Farm Field Day	S	18.75	I	233
C21337	30/11/2009	117130	I	CI/3	1949.000	DairyNZ Tight Mgmt Field Day - Job 64407 - Delivery IOA - 10 grams.   	0.0770	0.0866	150.073	DairyNZ Tight Mgmt Field Day	S	18.76	I	233
C21337	30/11/2009	117210	I	CI/4	1968.000	DairyNZ Tight Mgmt Field Day - Job 64427 - Delivery IOA - 10 grams.   	0.0762	0.0857	149.962	DairyNZ Tight Mgmt Field Day	S	18.75	I	233
