Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C83247	07/10/2012	2447491	I	CI/1	9704.000	AA Service - Job 73194 - Delivery 02 Oct 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	539.54	620.47	AA Service	S	80.93	I	PMP Distribution Lim

C83248	07/10/2012	2447503	I	CI/1	11292.000	Animal Health Board Mailer - Job 73193 - Delivery 04 Oct 2012 - 10 grams.   Includes Linehaul.	0.0556	0.0639	627.84	722.02	Animal Health Board Mailer	S	94.18	I	PMP Distribution Lim

C83249	07/10/2012	2447725	I	CI/1	10003.000	ATS In Season Catalogue - Job 73268 - Delivery 04 Oct 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	556.17	639.60	ATS In Season Catalogue	S	83.43	I	PMP Distribution Lim

C83250	07/10/2012	2447499	I	CI/1	5670.000	Bond and Bond - Job 73196 - Delivery 02 Oct 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	315.25	362.54	Bond and Bond	S	47.29	I	PMP Distribution Lim

C83251	07/10/2012	2445204	I	CI/1	41925.000	Briscoes - Job 72756 - Delivery 01 Oct 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	2331.03	2680.68	Briscoes	S	349.65	I	PMP Distribution Lim

C83252	07/10/2012	2447554	I	CI/1	1000.000	Caci Clinic Pukekohe - Job 73219 - Delivery 01 Oct 2012 - 10 grams.   Includes Linehaul.	0.0556	0.0639	55.60	63.94	Caci Clinic Pukekohe	S	8.34	I	PMP Distribution Lim

C83253	07/10/2012	2447487	I	CI/1	11926.000	Curtain Studio 2pp - Job 73192 - Delivery 02 Oct 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	663.09	762.55	Curtain Studio 2pp	S	99.46	I	PMP Distribution Lim

