ContactName,InvoiceNo,Reference,InvoiceDate,DueDate,Description,Quantity,UnitAmount,Discount,AccountType,TaxType,TrackingName,TrackingOption1
PMP Catalogues,C83300,2447514,2012-09-25,2012-10-08,Rural Direct - Job 73203 - Delivery 08 Oct 2012 - 20 grams.    Includes Linehaul.,46.335,5.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83301,2447435,2012-09-24,2012-10-08,Specsavers Whakatane Soft Comparison - Job 73184 - Delivery 08 Oct 2012 - 10 grams.    Includes Linehaul.,4.46,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83302,2447897,2012-09-28,2012-10-08,Trico Electronics Jaycar Mailer - Job 73286 - Delivery 08 Oct 2012 - 10 grams.    Includes Linehaul.,3.015,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83303,2448007,2012-10-01,2012-10-13,Tyrepower - Job 73294 - Delivery 13 Oct 2012 - 25 grams.    Includes Linehaul.,10.252,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83304,2447840,2012-09-04,2012-10-09,Versatile Tauranga - Job 72942 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,10.748,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83305,2447729,2012-09-27,2012-10-09,West Auckland Trust Services - Job 73270 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,4.107,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83306,2447635,2012-09-28,2012-10-08,Westfield Albany The Hobbit - Job 73281 - Delivery 08 Oct 2012 - 10 grams.    Includes Linehaul.,9.102,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83307,2447850,2012-09-28,2012-10-08,WestField Manukau The Hobbit - Job 73282 - Delivery 08 Oct 2012 - 10 grams.    Includes Linehaul.,8.944,55.6,1,100,15% GST on income,Division,Circulars

