Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C21510	31/01/2010		I	CI/1	3467.000	Ag ITO-Farm Training... - Job 64774 - Delivery IOA - 5 grams.   	0.0883	0.0993	306.136	Ag ITO-Farm Training...	S	38.27	I	340

C21511	31/01/2010	Gay Hubbard	I	CI/1	2220.000	Brand Events CW HTW - Job 64778 - Delivery 21 Jan 2010 - 15 grams.   	0.0749	0.0843	166.278	Brand Events CW HTW	S	20.78	I	106

C21512	31/01/2010		I	CI/1	2991.000	Cambridge Property Guide - Job 64568 - Delivery 20 Jan 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21512	31/01/2010		I	CI/2	2991.000	Cambridge Property Guide - Job 64569 - Delivery 27 Jan 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C21513	31/01/2010		I	CI/1	2000.000	Eastside Community News - Job 64960 - Delivery 29 Jan 2010 - 30 grams.   	0.0750	0.0844	150.000	Eastside Community News	S	18.75	I	106

C21514	31/01/2010	Gay Hubbard	I	CI/1	2220.000	Hamilton This Week - Job 64546 - Delivery 07 Jan 2010 - 25 grams. Includes folding fee 0.0100 cents.  	0.0756	0.0851	167.832	Hamilton This Week	S	20.98	I	106
C21514	31/01/2010	Gay Hubbard	I	CI/2	2220.000	Hamilton This Week - Job 64547 - Delivery 14 Jan 2010 - 40 grams. Includes folding fee 0.0100 cents.  	0.0756	0.0851	167.832	Hamilton This Week	S	20.98	I	106
C21514	31/01/2010	Gay Hubbard	I	CI/3	2220.000	Hamilton This Week - Job 64548 - Delivery 21 Jan 2010 - 60 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106
C21514	31/01/2010	Gay Hubbard	I	CI/4	2220.000	Hamilton This Week - Job 64549 - Delivery 28 Jan 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106

