ContactName,InvoiceNumber,Reference,InvoiceDate,DueDate,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TrackingName1,TrackingOption1
PMP Distribution Limited,C83692,2451289,2012-11-25,2012-12-20,100% Ellerys JayCar - Job 74130 - Delivery IOA - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.887,52,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83693,2450533,2012-11-25,2012-12-20,2 Bucks for $5 Bucks - Job 73990 - Delivery 20 Nov 2012 - 0 grams.    Boxholder Type: Total. Includes Linehaul.,3.12,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83694,2450981,2012-11-25,2012-12-20,Agri Buisness - Job 74094 - Delivery 20 Nov 2012 - 10 grams.    Boxholder Type: Total. ,6.729,0,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83695,2451080,2012-11-25,2012-12-20,Audio Products - Job 74108 - Delivery 22 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,14.878,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83696,2449932,2012-11-25,2012-12-20,Big Save Palmerston North - Job 73967 - Delivery 19 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,9.726,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83697,2450162,2012-11-25,2012-12-20,Bike Barn Drop 4 - Job 73988 - Delivery 20 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.55,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83698,2448845,2012-11-25,2012-12-20,Bond and Bond - Job 73526 - Delivery 20 Nov 2012 - 50 grams.    Boxholder Type: Total. Includes Linehaul.,5.67,59.7,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83699,2449080,2012-11-25,2012-12-20,Briscoes - Job 73641 - Delivery 19 Nov 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,36.501,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83700,2448467,2012-11-25,2012-12-20,Clendon/Southmall New World - Job 73411 - Delivery 24 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.371,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83701,2450612,2012-11-25,2012-12-20,Curtain Studio - Job 74051 - Delivery 20 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,5.46,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83702,2450056,2012-11-25,2012-12-20,Four Square Northern - Job 73969 - Delivery 24 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,55.156,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83703,2450058,2012-11-25,2012-12-20,Four Square Southern - Job 73970 - Delivery 24 Nov 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,41.942,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83704,2450889,2012-11-25,2012-12-20,Hand J Smith XMAS Catalogue - Job 74081 - Delivery 24 Nov 2012 - 179 grams.    Boxholder Type: Total. Includes Linehaul.,14.315,91.9,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83705,2450312,2012-11-25,2012-12-20,HeliNorth FLyers - Job 73989 - Delivery 19 Nov 2012 - 10 grams.    Boxholder Type: Farmers. Includes Linehaul.,6.394,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83706,244881,2012-11-25,2012-12-20,Hunters Furniture - Job 74110 - Delivery 20 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,8.191,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83707,2449542,2012-11-25,2012-12-20,Insight Traders Nelson - Job 73763 - Delivery 20 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.19,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83708,2450305,2012-11-25,2012-12-20,Jetts Te Awamutu  - Job 73978 - Delivery 20 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.725,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C83709,2450127,2012-11-25,2012-12-20,Kapiti A-Z Business Directory - Job 73973 - Delivery 20 Nov 2012 - 161 grams.    Boxholder Type: Total. ,1.1,86.6,,100,15% GST on income,Division,Circulars
