Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10047	30/06/2008		I	FS	2393.05	Fuel Surcharge	0	0	0	0	Betacraft Contertina Flyer	S	0	I	169

C10048	30/06/2008		I	CI/1	21541	Bulls Eyes - Job 7366 - Delivery 02 Jun 2008 - 20 grams	0.0475	0.0534	1023.198	1151.098	Bulls Eyes	S	127.9	I	169
C10048	30/06/2008		I	FS	1023.198	Fuel Surcharge	0	0	0	0	Bulls Eyes	S	0	I	169

C10049	30/06/2008	2806090	I	CI/1	8660	DA Lewis - Job 7391 - Delivery 18 Jun 2008 - 10 grams	0.0475	0.0534	411.35	462.769	DA Lewis	S	51.42	I	169
C10049	30/06/2008	2806090	I	FS	411.35	Fuel Surcharge	0	0	0	0	DA Lewis	S	0	I	169

C10050	30/06/2008		I	CI/1	60672	Four Square Northern - Job 7296 - Delivery 14 Jun 2008 - 10 grams	0.0475	0.0534	2881.92	3242.16	Four Square Northern	S	360.24	I	169
C10050	30/06/2008		I	CI/2	60672	Four Square Northern - Job 7297 - Delivery 21 Jun 2008 - 10 grams	0.0475	0.0534	2881.92	3242.16	Four Square Northern	S	360.24	I	169
C10050	30/06/2008		I	CI/3	60672	Four Square Northern - Job 7298 - Delivery 28 Jun 2008 - 10 grams	0.0475	0.0534	2881.92	3242.16	Four Square Northern	S	360.24	I	169
C10050	30/06/2008		I	CI/4	60672	Four Square Northern - Job 7295 - Delivery 07 Jun 2008 - 10 grams	0.0475	0.0534	2881.92	3242.16	Four Square Northern	S	360.24	I	169
C10050	30/06/2008		I	FS	11527.68	Fuel Surcharge	0	0	0	0	Four Square Northern	S	0	I	169

C10051	30/06/2008		I	CI/1	5286	Movieland Hub Hornby - Job 7542 - Delivery 28 Jun 2008 - 10 grams	0.0475	0.0534	251.085	282.471	Movieland Hub Hornby	S	31.39	I	169
C10051	30/06/2008		I	FS	251.085	Fuel Surcharge	0	0	0	0	Movieland Hub Hornby	S	0	I	169

C10052	30/06/2008		I	CI/1	62556	New World Northern - Job 7299 - Delivery 07 Jun 2008 - 30 grams	0.055	0.0619	3440.58	3870.653	New World Northern	S	430.07	I	169
C10052	30/06/2008		I	CI/2	62556	New World Northern - Job 7300 - Delivery 14 Jun 2008 - 30 grams	0.055	0.0619	3440.58	3870.653	New World Northern	S	430.07	I	169
C10052	30/06/2008		I	CI/3	62556	New World Northern - Job 7301 - Delivery 21 Jun 2008 - 25 grams	0.0475	0.0534	2971.41	3342.836	New World Northern	S	371.43	I	169
C10052	30/06/2008		I	CI/4	62556	New World Northern - Job 7302 - Delivery 28 Jun 2008 - 40 grams	0.055	0.0619	3440.58	3870.653	New World Northern	S	430.07	I	169
C10052	30/06/2008		I	FS	13293.15	Fuel Surcharge	0	0	0	0	New World Northern	S	0	I	169

C10053	30/06/2008	2806122	I	CI/1	4875	Resene Postcard - Job 7523 - Delivery 28 Jun 2008 - 10 grams	0.0475	0.0534	231.563	260.508	Resene Postcard	S	28.94	I	169
C10053	30/06/2008	2806122	I	FS	231.563	Fuel Surcharge	0	0	0	0	Resene Postcard	S	0	I	169

C10054	30/06/2008	87028	I	CI/1	1320	Resene Taupo - Job 7386 - Delivery 28 Jun 2008 - 10 grams	0.0475	0.0534	62.7	70.538	Resene Taupo	S	7.84	I	169
