Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10021	30/06/2008		I	FS	30765.546	Fuel Surcharge	0	0	0	0	NZ FARMERS WEEKLY	S	0	I	124

C10022	30/06/2008	109871	I	CI/1	1056	Dairy NZ Green to Gold Flyer - Job 7372 - Delivery 01 Jun 2008 - 5 grams	0.0805	0.0906	85.008	95.634	Dairy NZ Green to Gold Flyer	S	10.63	I	233
C10022	30/06/2008	109871	I	FS	85.008	Fuel Surcharge	0	0	0	0	Dairy NZ Green to Gold Flyer	S	0	I	233

C10023	30/06/2008	110176	I	CI/1	87	Healthy Hoof Seminar - Culverden - Job 7401 - Delivery 18 Jun 2008 - 5 grams	0.977	1.0991	84.999	95.624	Healthy Hoof Seminar - Culverden	S	10.63	I	233
C10023	30/06/2008	110176	I	FS	84.999	Fuel Surcharge	0	0	0	0	Healthy Hoof Seminar - Culverden	S	0	I	233

C10024	30/06/2008	110174	I	CI/1	676	Nutrient Mgmt Fielday - Nelson/Marborough - Job 7400 - Delivery 18 Jun 2008 - 5 grams	0.1257	0.1414	84.973	95.595	Nutrient Mgmt Fielday - Nelson/Marborough	S	10.62	I	233
C10024	30/06/2008	110174	I	FS	84.973	Fuel Surcharge	0	0	0	0	Nutrient Mgmt Fielday - Nelson/Marborough	S	0	I	233

C10025	30/06/2008	110174	I	CI/1	419	Nutrient Mgmt Fielday - Westcoast - Job 7398 - Delivery 18 Jun 2008 - 0 grams	0.2029	0.2283	85.015	95.642	Nutrient Mgmt Fielday - Westcoast	S	10.63	I	233
C10025	30/06/2008	110174	I	FS	85.015	Fuel Surcharge	0	0	0	0	Nutrient Mgmt Fielday - Westcoast	S	0	I	233

C10026	30/06/2008	110211	I	CI/1	558	Nutrient Mgmt Seminar - Gore - Job 7539 - Delivery 30 Jun 2008 - 5 grams	0.1523	0.1713	84.983	95.606	Nutrient Mgmt Seminar - Gore	S	10.62	I	233
C10026	30/06/2008	110211	I	FS	84.983	Fuel Surcharge	0	0	0	0	Nutrient Mgmt Seminar - Gore	S	0	I	233

C10027	30/06/2008		I	CI/1	1270	This Week Newspaper - Job 7308 - Delivery 05 Jun 2008 - 100 grams	0.08	0.09	101.6	114.3	This Week Newspaper	S	12.7	I	129
C10027	30/06/2008		I	CI/2	1270	This Week Newspaper - Job 7309 - Delivery 12 Jun 2008 - 100 grams	0.08	0.09	101.6	114.3	This Week Newspaper	S	12.7	I	129
C10027	30/06/2008		I	CI/3	1270	This Week Newspaper - Job 7310 - Delivery 19 Jun 2008 - 100 grams	0.08	0.09	101.6	114.3	This Week Newspaper	S	12.7	I	129
C10027	30/06/2008		I	CI/4	1270	This Week Newspaper - Job 7311 - Delivery 26 Jun 2008 - 100 grams	0.08	0.09	101.6	114.3	This Week Newspaper	S	12.7	I	129
C10027	30/06/2008		I	FS	406.4	Fuel Surcharge	0	0	0	0	This Week Newspaper	S	0	I	129

C10028	30/06/2008	36271	I	CI/1	28973	Dow Agro Mystery Creek Field Days - Job 7355 - Delivery 03 Jun 2008 - 5 grams	0.085	0.0956	2462.705	2770.543	Dow Agro Mystery Creek Field Days	S	307.84	I	132
C10028	30/06/2008	36271	I	FS	2462.705	Fuel Surcharge	0	0	0	0	Dow Agro Mystery Creek Field Days	S	0	I	132

C10029	30/06/2008	Date T B A 	I	CI/1	2845	Elder Real Estate Monthly Booklet - Job 7358 - Delivery 23 Jun 2008 - 150 grams	0.085	0.0956	241.825	272.053	Elder Real Estate Monthly Booklet	S	30.23	I	135
C10029	30/06/2008	Date T B A 	I	FS	241.825	Fuel Surcharge	0	0	0	0	Elder Real Estate Monthly Booklet	S	0	I	135

C10030	30/06/2008		I	CI/1	4199	Envirofert Flyer - Job 7367 - Delivery 01 Jun 2008 - 5 grams	0.07	0.0788	293.93	330.671	Envirofert Flyer	S	36.74	I	139
C10030	30/06/2008		I	FS	293.93	Fuel Surcharge	0	0	0	0	Envirofert Flyer	S	0	I	139

C10031	30/06/2008	163339 Apr-Jun	I	CI/1	4030	Cambridge Edition - Job 7227 - Delivery 04 Jun 2008 - 238 grams	0.105	0.1181	423.15	476.044	Cambridge Edition	S	52.89	I	141
C10031	30/06/2008	163339 Apr-Jun	I	C100	2	Bundles	1	1.13	2	2.25	Cambridge Edition	S	0.25	I	141
C10031	30/06/2008	163339 Apr-Jun	I	CI/2	4030	Cambridge Edition - Job 7228 - Delivery 11 Jun 2008 - 304 grams	0.125	0.1406	503.75	566.719	Cambridge Edition	S	62.97	I	141
C10031	30/06/2008	163339 Apr-Jun	I	C100	2	Bundles	1	1.13	2	2.25	Cambridge Edition	S	0.25	I	141
C10031	30/06/2008	163339 Apr-Jun	I	CI/3	4030	Cambridge Edition - Job 7229 - Delivery 18 Jun 2008 - 352 grams	0.13	0.1463	523.9	589.387	Cambridge Edition	S	65.49	I	141
C10031	30/06/2008	163339 Apr-Jun	I	C100	2	Bundles	1	1.13	2	2.25	Cambridge Edition	S	0.25	I	141
C10031	30/06/2008	163339 Apr-Jun	I	CI/4	4030	Cambridge Edition - Job 7230 - Delivery 25 Jun 2008 - 146 grams	0.09	0.1012	362.7	408.037	Cambridge Edition	S	45.34	I	141
C10031	30/06/2008	163339 Apr-Jun	I	C100	2	Bundles	1	1.13	2	2.25	Cambridge Edition	S	0.25	I	141
C10031	30/06/2008	163339 Apr-Jun	I	FS	1821.5	Fuel Surcharge	0	0	0	0	Cambridge Edition	S	0	I	141

C10032	30/06/2008	158299 Apr-Jun	I	CI/1	2975	Dargaville District News - Job 7225 - Delivery 18 Jun 2008 - 80 grams	0.08	0.09	238	267.75	Dargaville District News	S	29.75	I	141
C10032	30/06/2008	158299 Apr-Jun	I	CI/2	2975	Dargaville District News - Job 7226 - Delivery 25 Jun 2008 - 43 grams	0.07	0.0788	208.25	234.281	Dargaville District News	S	26.03	I	141
C10032	30/06/2008	158299 Apr-Jun	I	CI/3	2975	Dargaville District News - Job 7223 - Delivery 04 Jun 2008 - 107 grams	0.08	0.09	238	267.75	Dargaville District News	S	29.75	I	141
C10032	30/06/2008	158299 Apr-Jun	I	CI/4	2975	Dargaville District News - Job 7224 - Delivery 11 Jun 2008 - 71 grams	0.08	0.09	238	267.75	Dargaville District News	S	29.75	I	141
C10032	30/06/2008	158299 Apr-Jun	I	FS	922.25	Fuel Surcharge	0	0	0	0	Dargaville District News	S	0	I	141

C10033	30/06/2008	164533 Apr-Jun	I	CI/1	11505	FCN - Thursday - Job 7248 - Delivery 05 Jun 2008 - 260 grams	0.115	0.1294	1323.075	1488.459	FCN - Thursday	S	165.38	I	141
C10033	30/06/2008	164533 Apr-Jun	I	C100	14	Bundles	1	1.13	14	15.75	FCN - Thursday	S	1.75	I	141
C10033	30/06/2008	164533 Apr-Jun	I	C150	9	Bundles	1.5	1.69	13.5	15.19	FCN - Thursday	S	1.69	I	141
C10033	30/06/2008	164533 Apr-Jun	I	CI/2	11505	FCN - Thursday - Job 7249 - Delivery 12 Jun 2008 - 230 grams	0.105	0.1181	1208.025	1359.028	FCN - Thursday	S	151	I	141
C10033	30/06/2008	164533 Apr-Jun	I	C100	14	Bundles	1	1.13	14	15.75	FCN - Thursday	S	1.75	I	141
C10033	30/06/2008	164533 Apr-Jun	I	C150	9	Bundles	1.5	1.69	13.5	15.19	FCN - Thursday	S	1.69	I	141
C10033	30/06/2008	164533 Apr-Jun	I	CI/3	11505	FCN - Thursday - Job 7250 - Delivery 19 Jun 2008 - 255 grams	0.115	0.1294	1323.075	1488.459	FCN - Thursday	S	165.38	I	141
C10033	30/06/2008	164533 Apr-Jun	I	C100	14	Bundles	1	1.13	14	15.75	FCN - Thursday	S	1.75	I	141
C10033	30/06/2008	164533 Apr-Jun	I	C150	9	Bundles	1.5	1.69	13.5	15.19	FCN - Thursday	S	1.69	I	141
C10033	30/06/2008	164533 Apr-Jun	I	CI/4	11505	FCN - Thursday - Job 7251 - Delivery 26 Jun 2008 - 255 grams	0.115	0.1294	1323.075	1488.459	FCN - Thursday	S	165.38	I	141
C10033	30/06/2008	164533 Apr-Jun	I	C100	14	Bundles	1	1.13	14	15.75	FCN - Thursday	S	1.75	I	141
C10033	30/06/2008	164533 Apr-Jun	I	C150	9	Bundles	1.5	1.69	13.5	15.19	FCN - Thursday	S	1.69	I	141
C10033	30/06/2008	164533 Apr-Jun	I	FS	5287.25	Fuel Surcharge	0	0	0	0	FCN - Thursday	S	0	I	141

C10034	30/06/2008	164533 Apr-Jun	I	CI/1	11505	FCN - Tuesday - Job 7244 - Delivery 03 Jun 2008 - 170 grams	0.095	0.1069	1092.975	1229.597	FCN - Tuesday	S	136.62	I	141
C10034	30/06/2008	164533 Apr-Jun	I	C100	14	Bundles	1	1.13	14	15.75	FCN - Tuesday	S	1.75	I	141
C10034	30/06/2008	164533 Apr-Jun	I	C150	9	Bundles	1.5	1.69	13.5	15.19	FCN - Tuesday	S	1.69	I	141
C10034	30/06/2008	164533 Apr-Jun	I	CI/2	11505	FCN - Tuesday - Job 7245 - Delivery 10 Jun 2008 - 80 grams	0.08	0.09	920.4	1035.45	FCN - Tuesday	S	115.05	I	141
C10034	30/06/2008	164533 Apr-Jun	I	C100	14	Bundles	1	1.13	14	15.75	FCN - Tuesday	S	1.75	I	141
C10034	30/06/2008	164533 Apr-Jun	I	C150	9	Bundles	1.5	1.69	13.5	15.19	FCN - Tuesday	S	1.69	I	141
C10034	30/06/2008	164533 Apr-Jun	I	CI/3	11505	FCN - Tuesday - Job 7246 - Delivery 17 Jun 2008 - 165 grams	0.095	0.1069	1092.975	1229.597	FCN - Tuesday	S	136.62	I	141
C10034	30/06/2008	164533 Apr-Jun	I	C100	14	Bundles	1	1.13	14	15.75	FCN - Tuesday	S	1.75	I	141
C10034	30/06/2008	164533 Apr-Jun	I	C150	9	Bundles	1.5	1.69	13.5	15.19	FCN - Tuesday	S	1.69	I	141
C10034	30/06/2008	164533 Apr-Jun	I	CI/4	11505	FCN - Tuesday - Job 7247 - Delivery 24 Jun 2008 - 115 grams	0.09	0.1012	1035.45	1164.881	FCN - Tuesday	S	129.43	I	141
C10034	30/06/2008	164533 Apr-Jun	I	C100	14	Bundles	1	1.13	14	15.75	FCN - Tuesday	S	1.75	I	141
C10034	30/06/2008	164533 Apr-Jun	I	C150	9	Bundles	1.5	1.69	13.5	15.19	FCN - Tuesday	S	1.69	I	141
C10034	30/06/2008	164533 Apr-Jun	I	FS	4251.8	Fuel Surcharge	0	0	0	0	FCN - Tuesday	S	0	I	141

C10035	30/06/2008	163936 Apr-Jun	I	CI/1	2201	Matamata Chronicle - Job 7231 - Delivery 03 Jun 2008 - 285 grams	0.125	0.1406	275.125	309.516	Matamata Chronicle	S	34.39	I	141
C10035	30/06/2008	163936 Apr-Jun	I	CI/2	2201	Matamata Chronicle - Job 7232 - Delivery 10 Jun 2008 - 279 grams	0.125	0.1406	275.125	309.516	Matamata Chronicle	S	34.39	I	141
C10035	30/06/2008	163936 Apr-Jun	I	CI/3	2201	Matamata Chronicle - Job 7233 - Delivery 17 Jun 2008 - 385 grams	0.14	0.1575	308.14	346.657	Matamata Chronicle	S	38.52	I	141
C10035	30/06/2008	163936 Apr-Jun	I	CI/4	2201	Matamata Chronicle - Job 7234 - Delivery 24 Jun 2008 - 129 grams	0.1	0.1125	220.1	247.612	Matamata Chronicle	S	27.51	I	141
C10035	30/06/2008	163936 Apr-Jun	I	FS	1078.49	Fuel Surcharge	0	0	0	0	Matamata Chronicle	S	0	I	141

C10036	30/06/2008	164209 Apr -Jun	I	CI/1	3076	Nth Waikato News - Job 7215 - Delivery 04 Jun 2008 - 95 grams	0.08	0.09	246.08	276.84	Nth Waikato News	S	30.76	I	141
C10036	30/06/2008	164209 Apr -Jun	I	CI/2	3076	Nth Waikato News - Job 7216 - Delivery 11 Jun 2008 - 55 grams	0.08	0.09	246.08	276.84	Nth Waikato News	S	30.76	I	141
C10036	30/06/2008	164209 Apr -Jun	I	CI/3	3076	Nth Waikato News - Job 7217 - Delivery 18 Jun 2008 - 80 grams	0.08	0.09	246.08	276.84	Nth Waikato News	S	30.76	I	141
C10036	30/06/2008	164209 Apr -Jun	I	CI/4	3076	Nth Waikato News - Job 7218 - Delivery 25 Jun 2008 - 70 grams	0.08	0.09	246.08	276.84	Nth Waikato News	S	30.76	I	141
C10036	30/06/2008	164209 Apr -Jun	I	FS	984.32	Fuel Surcharge	0	0	0	0	Nth Waikato News	S	0	I	141

C10037	30/06/2008	164273 Apr-Jun	I	CI/1	3902	Piako Post - Job 7219 - Delivery 04 Jun 2008 - 285 grams	0.125	0.1406	487.75	548.719	Piako Post	S	60.97	I	141
C10037	30/06/2008	164273 Apr-Jun	I	C100	2	Bundles	1	1.13	2	2.25	Piako Post	S	0.25	I	141
C10037	30/06/2008	164273 Apr-Jun	I	CI/2	3902	Piako Post - Job 7220 - Delivery 11 Jun 2008 - 268 grams	0.125	0.1406	487.75	548.719	Piako Post	S	60.97	I	141
C10037	30/06/2008	164273 Apr-Jun	I	C100	2	Bundles	1	1.13	2	2.25	Piako Post	S	0.25	I	141
C10037	30/06/2008	164273 Apr-Jun	I	CI/3	3902	Piako Post - Job 7221 - Delivery 18 Jun 2008 - 376 grams	0.14	0.1575	546.28	614.565	Piako Post	S	68.29	I	141
C10037	30/06/2008	164273 Apr-Jun	I	C100	2	Bundles	1	1.13	2	2.25	Piako Post	S	0.25	I	141
C10037	30/06/2008	164273 Apr-Jun	I	CI/4	3902	Piako Post - Job 7222 - Delivery 25 Jun 2008 - 158 grams	0.105	0.1181	409.71	460.924	Piako Post	S	51.21	I	141
C10037	30/06/2008	164273 Apr-Jun	I	C100	2	Bundles	1	1.13	2	2.25	Piako Post	S	0.25	I	141
C10037	30/06/2008	164273 Apr-Jun	I	FS	1939.49	Fuel Surcharge	0	0	0	0	Piako Post	S	0	I	141

C10038	30/06/2008	164119 Apr-Jun	I	CI/1	3815	Rotorua Review - Job 7235 - Delivery 03 Jun 2008 - 84 grams	0.08	0.09	305.2	343.35	Rotorua Review	S	38.15	I	141
C10038	30/06/2008	164119 Apr-Jun	I	C150	1	Bundles	1.5	1.69	1.5	1.69	Rotorua Review	S	0.19	I	141
C10038	30/06/2008	164119 Apr-Jun	I	CI/2	3815	Rotorua Review - Job 7236 - Delivery 10 Jun 2008 - 70 grams	0.08	0.09	305.2	343.35	Rotorua Review	S	38.15	I	141
C10038	30/06/2008	164119 Apr-Jun	I	C150	1	Bundles	1.5	1.69	1.5	1.69	Rotorua Review	S	0.19	I	141
C10038	30/06/2008	164119 Apr-Jun	I	CI/3	3815	Rotorua Review - Job 7237 - Delivery 17 Jun 2008 - 92 grams	0.08	0.09	305.2	343.35	Rotorua Review	S	38.15	I	141
