Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C21425	31/12/2009		I	CI/1	6533.000	Advanced Agricentre - Job 64426 - Delivery 04 Dec 2009 - 95 grams.   	0.1231	0.1385	804.212	Advanced Agricentre	S	100.53	I	321

C21426	31/12/2009		I	CI/1	1090.000	AgFirst Flyer - Job 64659 - Delivery IOA - 10 grams.   	0.1376	0.1548	149.984	AgFirst Flyer	S	18.75	I	338

C21427	31/12/2009		I	CI/1	2991.000	Cambridge Property Guide - Job 64249 - Delivery 02 Dec 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21427	31/12/2009		I	CI/2	2991.000	Cambridge Property Guide - Job 64566 - Delivery 09 Dec 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21427	31/12/2009		I	CI/3	2991.000	Cambridge Property Guide - Job 64567 - Delivery 16 Dec 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C21428	31/12/2009	Gay Hubbard	I	CI/1	2220.000	Hamilton This Week - Job 64253 - Delivery 03 Dec 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106
C21428	31/12/2009	Gay Hubbard	I	CI/2	2220.000	Hamilton This Week - Job 64543 - Delivery 10 Dec 2009 - 200 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1136	224.220	Hamilton This Week	S	28.03	I	106
C21428	31/12/2009	Gay Hubbard	I	CI/3	2220.000	Hamilton This Week - Job 64544 - Delivery 17 Dec 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106
C21428	31/12/2009	Gay Hubbard	I	CI/4	2220.000	Hamilton This Week - Job 64545 - Delivery 23 Dec 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106

C21429	31/12/2009	10455	I	CI/1	8092.000	Rural Advocate - Job 64580 - Delivery 18 Dec 2009 - 162 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1136	817.292	Rural Advocate	S	102.16	I	106

C21430	31/12/2009		I	CI/1	3505.000	Te Puke Times - Job 64258 - Delivery 02 Dec 2009 - 130 grams.   	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106
