Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C23022	30/11/2010		I	CI/1	17327.000	November 2010 Flyer - Job 67279 - Delivery 17 Nov 2010 - 0 grams.   	0.0883	0.1015	1529.974	November 2010 Flyer	S	229.50	I	103

C23023	30/11/2010		I	CI/1	1643.000	AllFarn NZ-On Farm Discussion Group - Job 67294 - Delivery 15 Nov 2010 - 10 grams.   Includes Linehaul.	0.0913	0.1050	150.006	AllFarn NZ-On Farm Discussion Group	S	22.50	I	308
C23023	30/11/2010		I	CI/2	1643.000	AllFarn NZ-On Farm Discussion Group - Job 67308 - Delivery 23 Nov 2010 - 10 grams.   Includes Linehaul.	0.0913	0.1050	150.006	AllFarn NZ-On Farm Discussion Group	S	22.50	I	308

C23024	30/11/2010	10455	I	CI/1	8092.000	Rural Advocate - Job 66994 - Delivery 19 Nov 2010 - 164 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1162	817.292	Rural Advocate	S	122.59	I	106

C23025	30/11/2010		I	CI/1	3525.000	Te Puke Times - Job 66833 - Delivery 03 Nov 2010 - 175 grams.   	0.0910	0.1047	320.775	Te Puke Times	S	48.12	I	106
C23025	30/11/2010		I	CI/2	3525.000	Te Puke Times - Job 67037 - Delivery 10 Nov 2010 - 125 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C23025	30/11/2010		I	CI/3	3525.000	Te Puke Times - Job 67038 - Delivery 17 Nov 2010 - 80 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C23025	30/11/2010		I	CI/4	3525.000	Te Puke Times - Job 67039 - Delivery 24 Nov 2010 - 100 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106

C23026	30/11/2010	Wairarapa	I	CI/1	2039.000	Farm Location Maps - Job 67351 - Delivery 29 Nov 2010 - 100 grams.   	0.0856	0.0984	174.538	Farm Location Maps	S	26.18	I	107

C23027	30/11/2010	North Otago	I	CI/1	1345.000	North Otago Farm Location Maps - Job 67285 - Delivery IOA - 100 grams.   	0.1115	0.1282	149.968	North Otago Farm Location Maps	S	22.50	I	107

C23028	30/11/2010		I	CI/1	16230.000	Bayleys Lower North Island - Job 67016 - Delivery IOA - 98 grams.   	0.1231	0.1416	1997.913	Bayleys Lower North Island	S	299.69	I	111

C23029	30/11/2010		I	CI/1	24396.000	Vetpak Flyer - Job 67315 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0910	0.1047	2220.036	Vetpak Flyer	S	333.01	I	320

C23030	30/11/2010		I	CI/1	14828.000	Rural Living  - Job 67331 - Delivery 22 Nov 2010 - 105 grams.   Includes Linehaul.	0.1103	0.1268	1635.528	Rural Living 	S	245.33	I	256

C23031	30/11/2010	003	I	CI/1	7058.000	CMP Flyers - Job 67276 - Delivery 10 Nov 2010 - 10 grams.   Includes Linehaul.	0.0883	0.1015	623.221	CMP Flyers	S	93.48	I	250

C23032	30/11/2010		I	CI/1	1225.000	Smart Farm Systems  - Job 67264 - Delivery 10 Nov 2010 - 10 grams.   	0.1224	0.1408	149.940	Smart Farm Systems 	S	22.49	I	296

C23033	30/11/2010	122308	I	CI/1	2989.000	Clever Fixes For Under $500 - Job 67057 - Delivery 08 Nov 2010 - 10 grams.   	0.0749	0.0861	223.876	Clever Fixes For Under $500	S	33.58	I	233

C23034	30/11/2010	122305	I	CI/1	1317.000	Effluent & MilkSmart Field Days - Job 67053 - Delivery 09 Nov 2010 - 10 grams.   	0.1139	0.1310	150.006	Effluent & MilkSmart Field Days	S	22.50	I	233

C23035	30/11/2010	122296	I	CI/1	445.000	Effluent Field Day - Job 67036 - Delivery 09 Nov 2010 - 10 grams.   	0.3371	0.3877	150.010	Effluent Field Day	S	22.50	I	233

C23036	30/11/2010	122387	I	CI/1	2332.000	Effluent Field Days-Waikato - Job 67225 - Delivery 17 Nov 2010 - 10 grams.   	0.0749	0.0861	174.667	Effluent Field Days-Waikato	S	26.20	I	233

C23037	30/11/2010	122347	I	CI/1	1732.000	MilkSmart - Job 67220 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0866	0.0996	149.991	MilkSmart	S	22.50	I	233

C23038	30/11/2010	122294	I	CI/1	2659.000	MilkSmart BOP - Job 67035 - Delivery 01 Nov 2010 - 10 grams.   	0.0749	0.0861	199.159	MilkSmart BOP	S	29.87	I	233

C23039	30/11/2010	122277	I	CI/1	2332.000	Pasture Plus  - Job 67029 - Delivery 03 Nov 2010 - 10 grams.   Includes Linehaul.	0.0749	0.0861	174.667	Pasture Plus 	S	26.20	I	233

C23040	30/11/2010	122584	I	CI/1	2036.000	Pasture Renewal Field Day - Job 67290 - Delivery 23 Nov 2010 - 10 grams.   	0.0749	0.0861	152.496	Pasture Renewal Field Day	S	22.87	I	233

C23041	30/11/2010	121568	I	CI/1	905.000	Reporoa Effluent Field Day - Job 66756 - Delivery 10 Nov 2010 - 10 grams.   	0.1657	0.1906	149.959	Reporoa Effluent Field Day	S	22.49	I	233

C23042	30/11/2010	122523	I	CI/1	490.000	Taupiri/Horsham Downs Area Discussion Group - Job 67281 - Delivery 19 Nov 2010 - 10 grams.   	0.3061	0.3520	149.989	Taupiri/Horsham Downs Area Discussion Group	S	22.50	I	233

C23043	30/11/2010	122563	I	CI/1	3583.000	WTARS Open Day Nov 2010 - Job 67291 - Delivery 17 Nov 2010 - 10 grams.   	0.0883	0.1015	316.379	WTARS Open Day Nov 2010	S	47.46	I	233

C23044	30/11/2010	Robert Duddy	I	CI/1	2000.000	Elders Livestock - Job 67334 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0750	0.0862	150.000	Elders Livestock	S	22.50	I	329

C23045	30/11/2010		I	CI/1	3065.000	Dargaville District News - Job 66838 - Delivery 03 Nov 2010 - 50 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
C23045	30/11/2010		I	CI/2	3065.000	Dargaville District News - Job 67042 - Delivery 10 Nov 2010 - 40 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
C23045	30/11/2010		I	CI/3	3065.000	Dargaville District News - Job 67043 - Delivery 17 Nov 2010 - 50 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
C23045	30/11/2010		I	CI/4	3065.000	Dargaville District News - Job 67044 - Delivery 24 Nov 2010 - 50 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141

C23046	30/11/2010		I	CI/1	7875.000	Whangarei Leader - Job 66842 - Delivery 02 Nov 2010 - 107 grams. Includes folding fee 0.0100 cents.  	0.1063	0.1222	837.113	Whangarei Leader	S	125.57	I	141
C23046	30/11/2010		I	CI/2	7875.000	Whangarei Leader - Job 67071 - Delivery 09 Nov 2010 - 60 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	752.850	Whangarei Leader	S	112.93	I	141
C23046	30/11/2010		I	CI/3	7875.000	Whangarei Leader - Job 67072 - Delivery 16 Nov 2010 - 70 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	752.850	Whangarei Leader	S	112.93	I	141
C23046	30/11/2010		I	CI/4	7875.000	Whangarei Leader - Job 67073 - Delivery 23 Nov 2010 - 62 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	752.850	Whangarei Leader	S	112.93	I	141
C23046	30/11/2010		I	CI/5	7875.000	Whangarei Leader - Job 67074 - Delivery 30 Nov 2010 - 72 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	752.850	Whangarei Leader	S	112.93	I	141

