Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C80540	31/07/2011	66336	I	CI/1	19212.000	NZCU Baywide - Job 69152 - Delivery 25 Jul 2011 - 10 grams.   	0.0971	0.1117	1865.485	NZCU Baywide	S	279.82	I	290

C80541	31/07/2011	10455	I	CI/1	8092.000	Rural Advocate - Job 68928 - Delivery 15 Jul 2011 - 153 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1162	817.292	Rural Advocate	S	122.59	I	106

C80542	31/07/2011		I	CI/1	3525.000	Te Puke Times - Job 68739 - Delivery 06 Jul 2011 - 85 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C80542	31/07/2011		I	CI/2	3525.000	Te Puke Times - Job 68740 - Delivery 13 Jul 2011 - 81 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C80542	31/07/2011		I	CI/3	3525.000	Te Puke Times - Job 69017 - Delivery 20 Jul 2011 - 103 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C80542	31/07/2011		I	CI/4	3525.000	Te Puke Times - Job 69018 - Delivery 27 Jul 2011 - 101 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106

C80543	31/07/2011		I	CI/1	2123.000	Farm Location Maps - Job 69262 - Delivery IOA - 100 grams.   	0.0856	0.0984	181.729	Farm Location Maps	S	27.26	I	107

C80544	31/07/2011	Sth Taranaki	I	CI/1	2359.000	FLM-Reply Paid Cards - Job 68962 - Delivery IOA - 10 grams.   	0.0749	0.0861	176.689	FLM-Reply Paid Cards	S	26.50	I	107

C80545	31/07/2011	Nth Canterbury	I	CI/1	2611.000	FLM-Reply Paid Cards - Job 68963 - Delivery IOA - 10 grams.   	0.0749	0.0861	195.564	FLM-Reply Paid Cards	S	29.34	I	107

C80546	31/07/2011		I	CI/1	726.000	ThermoMax Flyer - Job 69252 - Delivery IOA - 9 grams.   	0.2066	0.2376	149.992	ThermoMax Flyer	S	22.50	I	440

C80547	31/07/2011	Rangitira 9 Aug	I	CI/1	873.000	Beef + Lamb New Zealand Update - Job 69231 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0883	0.1015	77.086	Beef + Lamb New Zealand Update	S	11.56	I	427

C80548	31/07/2011	Chelty 9 Aug	I	CI/1	850.000	Beef + Lamb New Zealand Update - Job 69232 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0883	0.1015	75.055	Beef + Lamb New Zealand Update	S	11.26	I	427

C80549	31/07/2011	Taumarunui 10 Aug	I	CI/1	441.000	Beef + Lamb New Zealand Update - Job 69236 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0883	0.1015	38.940	Beef + Lamb New Zealand Update	S	5.84	I	427

C80550	31/07/2011	Ngamatapouri 11 Aug	I	CI/1	87.000	Beef + Lamb new Zealand Update  - Job 69235 - Delivery 26 Jul 2011 - 10 grams.   Includes Linehaul.	0.0883	0.1015	7.682	Beef + Lamb new Zealand Update 	S	1.15	I	427

