Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C11422	31/03/2009	AH/861	I	CI/1	1700.000	Broncos  - Job 9465 - Delivery 24 Mar 2009 - 75 grams.  	0.1124	0.1265	191.080	Broncos 	S	23.88	I	102

C11423	31/03/2009		I	CI/1	2991.000	Cambridge Property Guide - Job 9423 - Delivery 04 Mar 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C11423	31/03/2009		I	CI/2	2991.000	Cambridge Property Guide - Job 9424 - Delivery 11 Mar 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C11423	31/03/2009		I	CI/3	2991.000	Cambridge Property Guide - Job 9425 - Delivery 18 Mar 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C11423	31/03/2009		I	CI/4	2991.000	Cambridge Property Guide - Job 9426 - Delivery 25 Mar 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C11424	31/03/2009	Gay Hubbard	I	CI/1	6000.000	Hamilton This Week - Job 9427 - Delivery 05 Mar 2009 - 45 grams. Includes folding fee 0.0100 cents. 	0.0756	0.0851	453.600	Hamilton This Week	S	56.70	I	106
C11424	31/03/2009	Gay Hubbard	I	CI/2	6000.000	Hamilton This Week - Job 9428 - Delivery 12 Mar 2009 - 60 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106
C11424	31/03/2009	Gay Hubbard	I	CI/3	6000.000	Hamilton This Week - Job 9429 - Delivery 19 Mar 2009 - 60 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106
C11424	31/03/2009	Gay Hubbard	I	CI/4	6000.000	Hamilton This Week - Job 9430 - Delivery 26 Mar 2009 - 85 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106

C11425	31/03/2009	10434	I	CI/1	2627.000	Rural Advocate - Job 9305 - Delivery 20 Mar 2009 - 175 grams. Includes folding fee 0.0100 cents. 	0.1010	0.1136	265.327	Rural Advocate	S	33.17	I	106

C11426	31/03/2009		I	CI/1	3505.000	Te Puke Times - Job 9431 - Delivery 04 Mar 2009 - 70 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C11426	31/03/2009		I	CI/2	3505.000	Te Puke Times - Job 9432 - Delivery 11 Mar 2009 - 96 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C11426	31/03/2009		I	CI/3	3505.000	Te Puke Times - Job 9433 - Delivery 18 Mar 2009 - 85 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C11426	31/03/2009		I	CI/4	3505.000	Te Puke Times - Job 9434 - Delivery 25 Mar 2009 - 75 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106

C11427	31/03/2009	New Plymouth	I	CI/1	2699.000	Arcadia - Reply Paid Cards - Job 9606 - Delivery 09 Mar 2009 - 10 grams.  	0.0856	0.0963	231.034	Arcadia - Reply Paid Cards	S	28.88	I	107
C11427	31/03/2009	Cambridge	I	CI/2	3220.000	Arcadia - Reply Paid Cards - Job 9605 - Delivery 10 Mar 2009 - 10 grams.  	0.0856	0.0963	275.632	Arcadia - Reply Paid Cards	S	34.45	I	107
C11427	31/03/2009	Whakatane/Opotiki	I	CI/3	1949.000	Farm Location Maps - Job 9695 - Delivery 25 Mar 2009 - 100 grams.  	0.0856	0.0963	166.834	Farm Location Maps	S	20.85	I	107

C11428	31/03/2009		I	CI/1	1040.000	Bayleys -Dean File - Job 9633 - Delivery 17 Mar 2009 - 10 grams.  	0.0772	0.0869	80.288	Bayleys -Dean File	S	10.04	I	111

C11429	31/03/2009	John Yee	I	CI/1	1400.000	Bayleys Quarterly - Job 9611 - Delivery 03 Mar 2009 - 115 grams.  	0.1338	0.1505	187.320	Bayleys Quarterly	S	23.42	I	111

C11430	31/03/2009		I	CI/1	41481.000	Rural Living - Job 8768 - Delivery 16 Mar 2009 - 125 grams. Includes folding fee 0.0100 cents. 	0.1203	0.1353	4990.164	Rural Living	S	623.77	I	256

C11431	31/03/2009		I	CI/1	87762.000	C-Dax - InEx March 2009  - Job 9625 - Delivery IOA - 10 grams.  	0.0642	0.0722	5634.320	C-Dax - InEx March 2009 	S	704.29	I	116
C11431	31/03/2009		I	CI/2	87762.000	C-Dax April 2009 - Job 9661 - Delivery 30 Mar 2009 - 15 grams.  	0.0642	0.0722	5634.320	C-Dax April 2009	S	704.29	I	116

C11432	31/03/2009		I	CI/1	20740.000	NI Lamb Payment Security - Job 9831 - Delivery 31 Mar 2009 - 10 grams.  	0.0883	0.0993	1831.342	NI Lamb Payment Security	S	228.92	I	250
C11432	31/03/2009		I	CI/2	17911.000	SI Lamb Payment Security - Job 9832 - Delivery 31 Mar 2009 - 10 grams.  	0.0883	0.0993	1581.541	SI Lamb Payment Security	S	197.69	I	250

C11433	31/03/2009		I	CI/1	81296.000	NZ Farmers Weekly - Job 9418 - Delivery 02 Mar 2009 - 105 grams. Includes folding fee 0.0100 cents. 	0.1480	0.1665	12031.808	NZ Farmers Weekly	S	1503.98	I	124
C11433	31/03/2009		I	CI/2	6198.000	NZ Farmers Weekly - Job 9418 - Delivery 02 Mar 2009 - 105 grams. Bags Boxes and Counter	0.1150	0.1294	712.770	NZ Farmers Weekly	S	89.10	I	124
C11433	31/03/2009		I	CI/3	81296.000	NZ Farmers Weekly - Job 9419 - Delivery 09 Mar 2009 - 105 grams. Includes folding fee 0.0100 cents. 	0.1480	0.1665	12031.808	NZ Farmers Weekly	S	1503.98	I	124
C11433	31/03/2009		I	CI/4	6198.000	NZ Farmers Weekly - Job 9419 - Delivery 09 Mar 2009 - 105 grams. Bags Boxes and Counter	0.1150	0.1294	712.770	NZ Farmers Weekly	S	89.10	I	124
C11433	31/03/2009		I	CI/5	81296.000	NZ Farmers Weekly - Job 9420 - Delivery 16 Mar 2009 - 85 grams. Includes folding fee 0.0100 cents. 	0.1195	0.1344	9714.872	NZ Farmers Weekly	S	1214.36	I	124
C11433	31/03/2009		I	CI/6	6198.000	NZ Farmers Weekly - Job 9420 - Delivery 16 Mar 2009 - 85 grams. Bags Boxes and Counter	0.1150	0.1294	712.770	NZ Farmers Weekly	S	89.10	I	124
C11433	31/03/2009		I	CI/7	81296.000	NZ Farmers Weekly - Job 9421 - Delivery 23 Mar 2009 - 105 grams. Includes folding fee 0.0100 cents. 	0.1480	0.1665	12031.808	NZ Farmers Weekly	S	1503.98	I	124
C11433	31/03/2009		I	CI/8	6198.000	NZ Farmers Weekly - Job 9421 - Delivery 23 Mar 2009 - 105 grams. Bags Boxes and Counter	0.1150	0.1294	712.770	NZ Farmers Weekly	S	89.10	I	124
C11433	31/03/2009		I	CI/9	81296.000	NZ Farmers Weekly - Job 9422 - Delivery 30 Mar 2009 - 101 grams. Includes folding fee 0.0100 cents. 	0.1480	0.1665	12031.808	NZ Farmers Weekly	S	1503.98	I	124
C11433	31/03/2009		I	CI/10	6198.000	NZ Farmers Weekly - Job 9422 - Delivery 30 Mar 2009 - 101 grams. Bags Boxes and Counter	0.1150	0.1294	712.770	NZ Farmers Weekly	S	89.10	I	124

C11434	31/03/2009		I	CI/1	0.000	dummy job - pmp - Job 9700 - Delivery 23 Mar 2009 - 0 grams.  	0.0000	0.0000	0.000	dummy job - pmp	S	0.00	I	

C11435	31/03/2009	113529	I	CI/1	1763.000	Big Day Off Flyer - Job 9650 - Delivery 19 Mar 2009 - 10 grams.  	0.0883	0.0993	155.673	Big Day Off Flyer	S	19.46	I	233

C11436	31/03/2009	113688	I	CI/1	2441.000	Dairy3 Big Day Off Whangarei - Job 9701 - Delivery 30 Mar 2009 - 20 grams.  	0.0883	0.0993	215.540	Dairy3 Big Day Off Whangarei	S	26.94	I	233

