Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C81948	30/04/2012	STF39442	I	CI/1	604.000	Stihl Brochure - Job 71500 - Delivery 16 Apr 2012 - 25 grams.   	0.2483	0.2855	149.97	172.47	Stihl Brochure	S	22.50	I	286

C81949	30/04/2012		I	CI/1	4736.000	Concrete Grooving & Grinding - Job 71446 - Delivery 19 Apr 2012 - 10 grams.   Includes Linehaul.	0.0971	0.1117	459.87	528.85	Concrete Grooving & Grinding	S	68.98	I	364

C81950	30/04/2012		I	CI/1	1925.000	Cambridge Property Guide - Job 71081 - Delivery 04 Apr 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106
C81950	30/04/2012		I	CI/2	1925.000	Cambridge Property Guide - Job 71319 - Delivery 11 Apr 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106
C81950	30/04/2012		I	CI/3	1925.000	Cambridge Property Guide - Job 71320 - Delivery 18 Apr 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106
C81950	30/04/2012		I	CI/4	1925.000	Cambridge Property Guide - Job 71321 - Delivery 25 Apr 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106

C81951	30/04/2012	10455	I	CI/1	8092.000	Rural Advocate - Job 71324 - Delivery 20 Apr 2012 - 174 grams. Includes folding fee 0.0100 cents.  	0.1078	0.1240	872.32	1003.17	Rural Advocate	S	130.85	I	106

C81952	30/04/2012		I	CI/1	3525.000	Te Puke Times - Job 71086 - Delivery 05 Apr 2012 - 82 grams.   	0.0856	0.0984	301.74	347.00	Te Puke Times	S	45.26	I	106
C81952	30/04/2012		I	CI/2	3525.000	Te Puke Times - Job 71325 - Delivery 12 Apr 2012 - 72 grams.   	0.0856	0.0984	301.74	347.00	Te Puke Times	S	45.26	I	106
C81952	30/04/2012		I	CI/3	3525.000	Te Puke Times - Job 71326 - Delivery 19 Apr 2012 - 91 grams.   	0.0856	0.0984	301.74	347.00	Te Puke Times	S	45.26	I	106
C81952	30/04/2012		I	CI/4	3525.000	Te Puke Times - Job 71327 - Delivery 26 Apr 2012 - 91 grams.   	0.0856	0.0984	301.74	347.00	Te Puke Times	S	45.26	I	106

C81953	30/04/2012	Mid Canty	I	CI/1	2585.000	Reply Paid Cards - Job 71450 - Delivery IOA - 10 grams.   	0.0824	0.0948	213.00	244.95	Reply Paid Cards	S	31.95	I	107

C81954	30/04/2012	Wang/Rangitikei	I	CI/1	2487.000	Reply Paid Cards - Job 71451 - Delivery IOA - 10 grams.   	0.0824	0.0948	204.93	235.67	Reply Paid Cards	S	30.74	I	107

C81955	30/04/2012		I	CI/1	555.000	Beta Electrical - Job 71216 - Delivery 03 Apr 2012 - 10 grams.   	0.2703	0.3108	150.02	172.52	Beta Electrical	S	22.50	I	444

C81956	30/04/2012		I	CI/1	1654.000	Better Bull Buying Decisions - Job 71443 - Delivery 13 Apr 2012 - 10 grams.   Includes Linehaul.	0.0907	0.1043	150.02	172.52	Better Bull Buying Decisions	S	22.50	I	427

C81957	30/04/2012	Victoria Hamlin	I	CI/1	6708.000	Better Bull Buying Decisions - Job 71441 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	651.35	749.05	Better Bull Buying Decisions	S	97.70	I	479

C81958	30/04/2012		I	CI/1	993.000	BouMatic Flyer - Job 71582 - Delivery IOA - 10 grams.   Includes Linehaul.	0.1511	0.1738	150.04	172.55	BouMatic Flyer	S	22.51	I	489

C81959	30/04/2012		I	CI/1	14828.000	Rural Living  - Job 71330 - Delivery 28 Apr 2012 - 75 grams.   Includes Linehaul.	0.0996	0.1145	1476.87	1698.40	Rural Living 	S	221.53	I	256

C81960	30/04/2012		I	CI/1	3270.000	Compass Engineering Catalogues - Job 71597 - Delivery 30 Apr 2012 - 25 grams.   Includes Linehaul.	0.0971	0.1117	317.52	365.15	Compass Engineering Catalogues	S	47.63	I	486
C81960	30/04/2012		I	CI/2	2935.000	Compass Engineering Catalogues - Job 71602 - Delivery 30 Apr 2012 - 25 grams.   Includes Linehaul.	0.0971	0.1117	284.99	327.74	Compass Engineering Catalogues	S	42.75	I	486

C81961	30/04/2012		I	CI/1	2151.000	Counties Custom Killings Flyer - Job 71258 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	208.86	240.19	Counties Custom Killings Flyer	S	31.33	I	482

C81962	30/04/2012		I	CI/1	58184.000	clothing mag - Job 71494 - Delivery 26 Apr 2012 - 250 grams.   	0.1960	0.2254	11404.06	13114.67	clothing mag	S	1710.61	I	125

C81963	30/04/2012	130730	I	CI/1	3599.000	Effluent and Environmental Flyer - Job 71453 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0949	0.1091	341.55	392.78	Effluent and Environmental Flyer	S	51.23	I	233

C81964	30/04/2012	130701	I	CI/1	2377.000	Far North Focus Farm Field Day 2012 - Job 71265 - Delivery 03 Apr 2012 - 10 grams.   	0.0805	0.0926	191.35	220.05	Far North Focus Farm Field Day 2012	S	28.70	I	233

C81965	30/04/2012	130751	I	CI/1	1326.000	Farm Dairy Effluent Storage - Job 71275 - Delivery 17 Apr 2012 - 10 grams.   	0.1131	0.1301	149.97	172.47	Farm Dairy Effluent Storage	S	22.50	I	233

C81966	30/04/2012	130742	I	CI/1	1805.000	Fodder Beet Seminars - Job 71272 - Delivery 17 Apr 2012 - 10 grams.   	0.0831	0.0956	150.00	172.50	Fodder Beet Seminars	S	22.50	I	233

C81967	30/04/2012	130607	I	CI/1	363.000	InCalf Taratahi 2012 - Job 71442 - Delivery 16 Apr 2012 - 10 grams.   Includes Linehaul.	0.4132	0.4752	149.99	172.49	InCalf Taratahi 2012	S	22.50	I	233

C81968	30/04/2012	130970	I	CI/1	1097.000	Localink - Job 71489 - Delivery IOA - 10 grams.   	0.1367	0.1572	149.96	172.45	Localink	S	22.49	I	233

C81969	30/04/2012	130753	I	CI/1	1128.000	NZDIA Canterbury Field Day Flyer - Job 71276 - Delivery 05 Apr 2012 - 10 grams.   	0.1330	0.1530	150.02	172.52	NZDIA Canterbury Field Day Flyer	S	22.50	I	233

C81970	30/04/2012	130889	I	CI/1	524.000	Pond Storage Flyer - Job 71444 - Delivery 16 Apr 2012 - 10 grams.   	0.2863	0.3292	150.02	172.52	Pond Storage Flyer	S	22.50	I	233

C81971	30/04/2012	131093	I	CI/1	3590.000	SMASH Conference - Job 71515 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0949	0.1091	340.69	391.79	SMASH Conference	S	51.10	I	233

C81972	30/04/2012	130975	I	CI/1	805.000	Sustanible Farming Fund Field Day - Job 71492 - Delivery 23 Apr 2012 - 10 grams.   	0.1863	0.2142	149.97	172.47	Sustanible Farming Fund Field Day	S	22.50	I	233

C81973	30/04/2012	130978	I	CI/1	405.000	Telford Farm Training Institue Open Day - Job 71493 - Delivery 20 Apr 2012 - 10 grams.   Includes Linehaul.	0.3704	0.4260	150.01	172.51	Telford Farm Training Institue Open Day	S	22.50	I	233

C81974	30/04/2012		I	CI/1	3065.000	Dargaville District News - Job 71090 - Delivery 04 Apr 2012 - 45 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.22	299.25	Dargaville District News	S	39.03	I	141
C81974	30/04/2012		I	CI/2	3065.000	Dargaville District News - Job 71331 - Delivery 11 Apr 2012 - 45 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.22	299.25	Dargaville District News	S	39.03	I	141
C81974	30/04/2012		I	CI/3	3065.000	Dargaville District News - Job 71332 - Delivery 18 Apr 2012 - 45 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.22	299.25	Dargaville District News	S	39.03	I	141
C81974	30/04/2012		I	CI/4	3065.000	Dargaville District News - Job 71333 - Delivery 25 Apr 2012 - 45 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.22	299.25	Dargaville District News	S	39.03	I	141

C81975	30/04/2012		I	CI/1	7920.000	Whangarei Leader - Job 71094 - Delivery 03 Apr 2012 - 62 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	757.15	870.72	Whangarei Leader	S	113.57	I	457
C81975	30/04/2012		I	CI/2	7920.000	Whangarei Leader - Job 71336 - Delivery 10 Apr 2012 - 51 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	757.15	870.72	Whangarei Leader	S	113.57	I	457
C81975	30/04/2012		I	CI/3	7920.000	Whangarei Leader - Job 71337 - Delivery 17 Apr 2012 - 51 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	757.15	870.72	Whangarei Leader	S	113.57	I	457
C81975	30/04/2012		I	CI/4	7920.000	Whangarei Leader - Job 71338 - Delivery 24 Apr 2012 - 52 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	757.15	870.72	Whangarei Leader	S	113.57	I	457

C81976	30/04/2012		I	CI/1	3940.000	Cambridge Edition - Job 71056 - Delivery 04 Apr 2012 - 87 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	376.66	433.16	Cambridge Edition	S	56.50	I	389
C81976	30/04/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	389
C81976	30/04/2012		I	CI/2	3940.000	Cambridge Edition - Job 71341 - Delivery 11 Apr 2012 - 87 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	376.66	433.16	Cambridge Edition	S	56.50	I	389
C81976	30/04/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	389
C81976	30/04/2012		I	CI/3	3940.000	Cambridge Edition - Job 71342 - Delivery 18 Apr 2012 - 87 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	376.66	433.16	Cambridge Edition	S	56.50	I	389
C81976	30/04/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	389
C81976	30/04/2012		I	CI/4	3940.000	Cambridge Edition - Job 71343 - Delivery 25 Apr 2012 - 98 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	376.66	433.16	Cambridge Edition	S	56.50	I	389
