Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C11070	05/03/2009		I	CI/1	2991.000	Cambridge Property Guide - Job 9297 - Delivery 04 Feb 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106
C11070	05/03/2009		I	CI/2	2991.000	Cambridge Property Guide - Job 9298 - Delivery 11 Feb 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106
C11070	05/03/2009		I	CI/3	2991.000	Cambridge Property Guide - Job 9299 - Delivery 18 Feb 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106
C11070	05/03/2009		I	CI/4	2991.000	Cambridge Property Guide - Job 9300 - Delivery 25 Feb 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106

C11071	05/03/2009	Gay Hubbard	I	CI/1	6000.000	Hamilton This Week - Job 9301 - Delivery 05 Feb 2009 - 55 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106
C11071	05/03/2009	Gay Hubbard	I	CI/2	6000.000	Hamilton This Week - Job 9302 - Delivery 12 Feb 2009 - 50 grams. Includes folding fee 0.0100 cents. 	0.0756	0.0851	453.600	Hamilton This Week	S	56.70	I	106
C11071	05/03/2009	Gay Hubbard	I	CI/3	6000.000	Hamilton This Week - Job 9303 - Delivery 19 Feb 2009 - 55 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106
C11071	05/03/2009	Gay Hubbard	I	CI/4	6000.000	Hamilton This Week - Job 9304 - Delivery 26 Feb 2009 - 60 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106

C11072	05/03/2009	10434	I	CI/1	1922.000	Rural Advocate - Job 9386 - Delivery 20 Feb 2009 - 175 grams.  	0.0910	0.1024	174.902	Rural Advocate	S	21.86	I	106

C11073	05/03/2009		I	CI/1	3505.000	Te Puke Times - Job 9306 - Delivery 04 Feb 2009 - 75 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C11073	05/03/2009		I	CI/2	3505.000	Te Puke Times - Job 9307 - Delivery 11 Feb 2009 - 68 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C11073	05/03/2009		I	CI/3	3505.000	Te Puke Times - Job 9308 - Delivery 18 Feb 2009 - 75 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C11073	05/03/2009		I	CI/4	3505.000	Te Puke Times - Job 9309 - Delivery 25 Feb 2009 - 60 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106

C11074	05/03/2009		I	CI/1	16082.000	Bayleys Quarterly LNI - Job 9216 - Delivery 12 Feb 2009 - 115 grams.  	0.1605	0.1806	2581.161	Bayleys Quarterly LNI	S	322.65	I	111

C11075	05/03/2009	Peter Barnett	I	CI/1	4596.000	Provincial Property Update - Job 9487 - Delivery IOA - 15 grams.  	0.0000	0.0000	0.000	Provincial Property Update	S	0.00	I	111

C11076	05/03/2009	Doug	I	CI/1	4892.000	Pro Cow - BLM Holdings - Job 9396 - Delivery 18 Feb 2009 - 5 grams.  	0.0856	0.0963	418.755	Pro Cow - BLM Holdings	S	52.34	I	273

C11077	05/03/2009		I	CI/1	41481.000	Rural Living - Job 8767 - Delivery 16 Feb 2009 - 90 grams.  	0.0927	0.1043	3845.289	Rural Living	S	480.66	I	256

C11078	05/03/2009		I	CI/1	79903.000	C-Dax Feb Flyer - Job 9203 - Delivery IOA - 12 grams.  	0.0642	0.0722	5129.773	C-Dax Feb Flyer	S	641.22	I	116

C11079	05/03/2009		I	CI/1	1718.000	Concrete Grooving Flyer - Job 9215 - Delivery 17 Feb 2009 - 5 grams.  	0.0856	0.0963	147.061	Concrete Grooving Flyer	S	18.38	I	241

C11080	05/03/2009		I	CI/1	81296.000	NZ Farmers Weekly - Job 9248 - Delivery 02 Feb 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.1195	0.1344	9714.872	NZ Farmers Weekly	S	1214.36	I	124
C11080	05/03/2009		I	CI/2	6198.000	NZ Farmers Weekly - Job 9248 - Delivery 02 Feb 2009 - 80 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	NZ Farmers Weekly	S	0.00	I	124
C11080	05/03/2009		I	CI/3	81296.000	NZ Farmers Weekly - Job 9249 - Delivery 09 Feb 2009 - 85 grams. Includes folding fee 0.0100 cents. 	0.1195	0.1344	9714.872	NZ Farmers Weekly	S	1214.36	I	124
C11080	05/03/2009		I	CI/4	6198.000	NZ Farmers Weekly - Job 9249 - Delivery 09 Feb 2009 - 85 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	NZ Farmers Weekly	S	0.00	I	124
