ContactName,InvoiceNumber,Reference,InvoiceDate,DueDate,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TrackingName1,TrackingOption1
C-Dax Limited,C85788,,2013-10-31,2013-11-20,C-Dax - Job 77074 - Delivery 02 Jul 2013 - 14 grams.  Includes premium fee 10/1000.  Boxholder Type: Farmers. Includes Linehaul.,81.281,84.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85789,2463927,2013-10-31,2013-11-20,Animates - Job 77282 - Delivery 08 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.928,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85790,2463275,2013-10-31,2013-11-20,ATS In Season Catalogue - Job 77018 - Delivery 03 Jul 2013 - 42 grams.    Boxholder Type: Farmers. Includes Linehaul.,10.133,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85791,2462362,2013-10-31,2013-11-20,Bedstop - Job 76742 - Delivery 02 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.117,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85792,2464069,2013-10-31,2013-11-20,Big Save Lower North Island - Job 77046 - Delivery 03 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,12.634,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85793,2464070,2013-10-31,2013-11-20,Big Save Upper North Island - Job 77047 - Delivery 03 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,52.103,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85794,2464212,2013-10-31,2013-11-20,Bin Inn - Job 77281 - Delivery 08 Jul 2013 - 30 grams.    Boxholder Type: Total. Includes Linehaul.,7.865,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85795,2461723,2013-10-31,2013-11-20,Briscoes - Job 76682 - Delivery 01 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,36.98,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85796,2464623,2013-10-31,2013-11-20,Briscoes - Job 77334 - Delivery 08 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,36.98,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85797,2463734,2013-10-31,2013-11-20,Burger Fuel  - Job 77103 - Delivery 03 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,8.836,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85798,2464163,2013-10-31,2013-11-20,Carpet One - Job 77128 - Delivery 01 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,47.991,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85799,2340426,2013-10-31,2013-11-20,Carpet One - Job 77278 - Delivery 08 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,115.009,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85800,2462993,2013-10-31,2013-11-20,Dick Smith - Job 76962 - Delivery 02 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,20.936,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85801,2463334,2013-10-31,2013-11-20,DTR Big Screen Off Load - Job 77040 - Delivery 02 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,4.047,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85802,2464371,2013-10-31,2013-11-20,Farm Express Newsletter - Job 77134 - Delivery 02 Jul 2013 - 8 grams.    Boxholder Type: Total. Includes Linehaul.,2.396,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85803,2463968,2013-10-31,2013-11-20,Four Square Northern - Job 77112 - Delivery 06 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,56.101,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85804,2464017,2013-10-31,2013-11-20,Four Square Southern - Job 77113 - Delivery 06 Jul 2013 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,42.392,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85805,2464032,2013-10-31,2013-11-20,Harvey Norman Furniture and Bedding - Job 77106 - Delivery 02 Jul 2013 - 32 grams.    Boxholder Type: Total. Includes Linehaul.,185.742,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85806,2462156,2013-10-31,2013-11-20,Hunting and Fishing - Job 76774 - Delivery 02 Jul 2013 - 18 grams.    Boxholder Type: Total. Includes Linehaul.,200.224,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85807,2463646,2013-10-31,2013-11-20,JB Hi Fi  - Job 77070 - Delivery 02 Jul 2013 - 24 grams.    Boxholder Type: Total. Includes Linehaul.,2.335,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85808,2463998,2013-10-31,2013-11-20,Lumino Torbay - Job 77129 - Delivery 01 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.893,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85809,2463679,2013-10-31,2013-11-20,Manawatu A-Z Business Directory - Job 77071 - Delivery 01 Jul 2013 - 134 grams.    Boxholder Type: Total. Includes Linehaul.,5.025,93.3,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85810,2463795,2013-10-31,2013-11-20,New World Northern - Job 77111 - Delivery 06 Jul 2013 - 48 grams.    Boxholder Type: Total. Includes Linehaul.,82.053,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85811,2464040,2013-10-31,2013-11-20,New World Southern  - Job 77110 - Delivery 06 Jul 2013 - 42 grams.    Boxholder Type: Total. Includes Linehaul.,57.893,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85812,2462374,2013-10-31,2013-11-20,Noel Leeming - Job 76769 - Delivery 02 Jul 2013 - 38 grams.    Boxholder Type: Total. Includes Linehaul.,103.921,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85813,2464092,2013-10-31,2013-11-20,Number 1 Shoes - Job 77108 - Delivery 01 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,26.912,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85814,2440741,2013-10-31,2013-11-20,Repco Catalogue - Job 77102 - Delivery 02 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,211.851,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85815,2463953,2013-10-31,2013-11-20,Riverside Farming Outlook - Job 77133 - Delivery 02 Jul 2013 - 10 grams.    Boxholder Type: Farmers. Includes Linehaul.,6.832,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85816,2464621,2013-10-31,2013-11-20,Taratahi Cert in Farm Skills - Job 77333 - Delivery 16 Jul 2013 - 10 grams.    Boxholder Type: Total. ,2.845,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85817,2463841,2013-10-31,2013-11-20,Target Mailer - Job 77107 - Delivery 02 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.565,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85818,2463212,2013-10-31,2013-11-20,UCOL Wairarapa - Job 77013 - Delivery 03 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,4.16,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85819,2463309,2013-10-31,2013-11-20,Mid Canterbury Herald - Job 76782 - Delivery 03 Jul 2013 - 120 grams. Includes folding fee 0.0100 cents.   Boxholder Type: Total. ,3.986,107.7,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85820,2464337,2013-10-31,2013-11-20,Bayleys Preview Guide - Job 77343 - Delivery 11 Jul 2013 - 56 grams.    Boxholder Type: Farmers. Includes Linehaul.,10.834,76.7,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85821,2464200,2013-10-31,2013-11-20,Bed Bath and Beyond - Job 77284 - Delivery 10 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,46.42,56.4,,100,15% GST on income,Division,Circulars
,C85821,2464200,2013-10-31,2013-11-20,Bed Bath and Beyond - Job 77285 - Delivery 16 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,0.438,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85822,2462994,2013-10-31,2013-11-20,Dick Smith - Job 76981 - Delivery 09 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,22.206,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85823,2464595,2013-10-31,2013-11-20,Fishing Camping and Outdoors - Job 77283 - Delivery 09 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,65.516,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85824,2463970,2013-10-31,2013-11-20,Four Square Northern - Job 77210 - Delivery 13 Jul 2013 - 64 grams.    Boxholder Type: Total. Includes Linehaul.,56.101,76.7,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85825,2464019,2013-10-31,2013-11-20,Four Square Southern - Job 77270 - Delivery 13 Jul 2013 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,42.392,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85826,2464310,2013-10-31,2013-11-20,In Season - Job 77338 - Delivery 10 Jul 2013 - 20 grams.    Boxholder Type: Farmers. Includes Linehaul.,6.302,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85827,2464050,2013-10-31,2013-11-20,Kaiapoi Arts Expo - Job 77327 - Delivery 09 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,6.824,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85828,2462919,2013-10-31,2013-11-20,Kerbside - Job 76960 - Delivery 09 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.567,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85829,2463794,2013-10-31,2013-11-20,New World Northern - Job 77207 - Delivery 13 Jul 2013 - 48 grams.    Boxholder Type: Total. Includes Linehaul.,82.053,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85830,2464205,2013-10-31,2013-11-20,New World Southern  - Job 77265 - Delivery 13 Jul 2013 - 66 grams.    Boxholder Type: Total. Includes Linehaul.,57.893,76.7,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85832,2463358,2013-10-31,2013-11-20,North West Valley Voice - Job 77042 - Delivery 08 Jul 2013 - 59 grams.    Boxholder Type: Total. Includes Linehaul.,11.91,76.7,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85833,2464325,2013-10-31,2013-11-20,Number 1 Shoes - Job 77340 - Delivery 08 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,26.912,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85834,2464468,2013-10-31,2013-11-20,Santa fe Shutters - Job 77218 - Delivery 08 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,4.34,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85835,2464030,2013-10-31,2013-11-20,Smith City Appliances - Job 77277 - Delivery 09 Jul 2013 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,89.914,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85836,2464619,2013-10-31,2013-11-20,Taratahi Certificate In Rural Leadership - Job 77332 - Delivery 09 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.9,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85837,2464771,2013-10-31,2013-11-20,Taratahi Intro To Farming - Job 77354 - Delivery 09 Jul 2013 - 10 grams.    Boxholder Type: Total. ,4.31,52.8,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85838,2464210,2013-10-31,2013-11-20,The Plaza Teen Fashion Postcard - Job 77330 - Delivery 08 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,9.245,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85839,2464309,2013-10-31,2013-11-20,Toyworld - Job 77339 - Delivery 08 Jul 2013 - 26 grams.    Boxholder Type: Total. Includes Linehaul.,17.695,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85840,2463257,2013-10-31,2013-11-20,Vantage Pharmacies - Job 77014 - Delivery 08 Jul 2013 - 28 grams.    Boxholder Type: Total. Includes Linehaul.,33.354,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85841,2463703,2013-10-31,2013-11-20,Westfield July School Holidays - Job 77104 - Delivery 08 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85842,2463360,2013-10-31,2013-11-20,Barfoot West Auckland - Job 77043 - Delivery 15 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,4.382,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85843,2463263,2013-10-31,2013-11-20,Big Save Auckland - Job 77016 - Delivery 17 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,12.796,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85844,2464064,2013-10-31,2013-11-20,Big Save Lower North Island - Job 77328 - Delivery 17 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,12.634,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85845,2463268,2013-10-31,2013-11-20,Big Save South Island - Job 77017 - Delivery 17 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,17.472,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85846,2464066,2013-10-31,2013-11-20,Big Save Upper North Island - Job 77329 - Delivery 17 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,52.103,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85847,2464625,2013-10-31,2013-11-20,Briscoes - Job 77385 - Delivery 15 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,36.98,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85848,2465107,2013-10-31,2013-11-20,Continuing Education - Job 77456 - Delivery 20 Jul 2013 - 40 grams.    Boxholder Type: Total. Includes Linehaul.,6.309,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85849,2462995,2013-10-31,2013-11-20,Dick Smith - Job 77004 - Delivery 16 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,20.936,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85850,2464990,2013-10-31,2013-11-20,Fonterra Waitoa - Job 77408 - Delivery 15 Jul 2013 - 75 grams.    Boxholder Type: Total. Includes Linehaul.,5.385,76.7,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85851,2463971,2013-10-31,2013-11-20,Four Square Northern - Job 77211 - Delivery 20 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,56.101,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85852,2464021,2013-10-31,2013-11-20,Four Square Southern - Job 77271 - Delivery 20 Jul 2013 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,42.392,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85853,2464806,2013-10-31,2013-11-20,Harvey Norman Computers - Job 77394 - Delivery 16 Jul 2013 - 34 grams.    Boxholder Type: Total. Includes Linehaul.,65.459,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85854,2464864,2013-10-31,2013-11-20,Harvey Norman Electrical - Job 77396 - Delivery 16 Jul 2013 - 32 grams.    Boxholder Type: Total. Includes Linehaul.,186.842,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85855,2464961,2013-10-31,2013-11-20,Harvey Norman Pukekohe - Job 77401 - Delivery 13 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,16.271,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85856,2464359,2013-10-31,2013-11-20,Hoyts Hibiscus Coast - Job 77132 - Delivery 05 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.117,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85857,2463628,2013-10-31,2013-11-20,Ideal Garages - Job 77069 - Delivery 05 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,25.902,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85858,2464444,2013-10-31,2013-11-20,JB Hi Fi  - Job 77358 - Delivery 16 Jul 2013 - 36 grams.    Boxholder Type: Total. Includes Linehaul.,2.335,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85859,2462417,2013-10-31,2013-11-20,Jetts Fitness - Job 76798 - Delivery 06 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.452,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85860,2464743,2013-10-31,2013-11-20,Lincoln Open Day - Job 77392 - Delivery 16 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.65,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85861,2463954,2013-10-31,2013-11-20,Metlifecare Oakridge Villas - Job 77324 - Delivery 15 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.54,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85862,2462146,2013-10-31,2013-11-20,New World Birkenhead, Tokoroa  etc - Job 76773 - Delivery 06 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,4.559,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85863,2463796,2013-10-31,2013-11-20,New World Northern - Job 77208 - Delivery 20 Jul 2013 - 48 grams.    Boxholder Type: Total. Includes Linehaul.,82.053,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85864,2464053,2013-10-31,2013-11-20,New World Southern  - Job 77266 - Delivery 20 Jul 2013 - 40 grams.    Boxholder Type: Total. Includes Linehaul.,57.893,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85865,2461996,2013-10-31,2013-11-20,Noel Leeming - Job 76770 - Delivery 16 Jul 2013 - 35 grams.    Boxholder Type: Total. Includes Linehaul.,103.921,60.6,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85866,2464979,2013-10-31,2013-11-20,Noel Leeming Napier Hastings - Job 77416 - Delivery 16 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.925,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85867,2464952,2013-10-31,2013-11-20,Para Rubber - Job 77410 - Delivery 15 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.625,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85868,2464768,2013-10-31,2013-11-20,Postie Plus - Job 77399 - Delivery 16 Jul 2013 - 14 grams.    Boxholder Type: Total. Includes Linehaul.,113.022,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85869,2464596,2013-10-31,2013-11-20,Queen Street Dental - Job 77369 - Delivery 12 Jul 2013 - 10 grams.    Boxholder Type: Total. ,3.035,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85870,2464945,2013-10-31,2013-11-20,Repco Catalogue - Job 77400 - Delivery 16 Jul 2013 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,186.266,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85871,2464948,2013-10-31,2013-11-20,Storage Box - Job 77414 - Delivery 16 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.72,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85872,2465023,2013-10-31,2013-11-20,Taratahi Agricultural Training Centre - Job 77411 - Delivery 17 Jul 2013 - 22 grams.    Boxholder Type: Total. ,6.88,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85873,2465083,2013-10-31,2013-11-20,Taratahi Are you passionate about farming? - Job 77418 - Delivery 17 Jul 2013 - 10 grams.    Boxholder Type: Total. ,1.4,52.8,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85874,2464685,2013-10-31,2013-11-20,Taratahi Certificate in Rural Leadership - Job 77357 - Delivery 15 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.369,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85875,2464638,2013-10-31,2013-11-20,Target Mailer - Job 77388 - Delivery 16 Jul 2013 - 10 grams.    Boxholder Type: Total. ,12.193,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85876,2463760,2013-10-31,2013-11-20,UCOL Palm Nth and Wanganui - Job 77221 - Delivery 17 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,14.422,56.4,,100,15% GST on income,Division,Circulars
PMP Distribution Limited,C85877,2463777,2013-10-31,2013-11-20,UCOL Wairarapa - Job 77214 - Delivery 15 Jul 2013 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,4.16,56.4,,100,15% GST on income,Division,Circulars
