Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C82785	31/08/2012		I	CI/1	4979.000	AC Pet Foods - Job 72722 - Delivery IOA - 15 grams.   	0.0824	0.0948	410.27	471.81	AC Pet Foods	S	61.54	I	100

C82786	31/08/2012		I	CI/1	4768.000	Ac Petfoods Flyer - Job 72628 - Delivery IOA - 10 grams.   	0.0824	0.0948	392.88	451.81	Ac Petfoods Flyer	S	58.93	I	100

C82787	31/08/2012		I	CI/1	2420.000	Feedsmart 2 Workshop - Job 72728 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	234.98	270.23	Feedsmart 2 Workshop	S	35.25	I	340

C82788	31/08/2012		I	CI/1	17999.000	John Deere Catalogue - Job 72627 - Delivery IOA - 97 grams.   Includes Linehaul.	0.1354	0.1557	2437.06	2802.62	John Deere Catalogue	S	365.56	I	143

C82789	31/08/2012		I	CI/1	1040.000	Allfarm - Job 72794 - Delivery 30 Aug 2012 - 5 grams.   Includes Linehaul.	0.1442	0.1658	149.97	172.47	Allfarm	S	22.50	I	308

C82790	31/08/2012		I	CI/1	2180.000	Cambridge Property Guide - Job 72219 - Delivery 01 Aug 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106
C82790	31/08/2012		I	CI/2	2180.000	Cambridge Property Guide - Job 72220 - Delivery 08 Aug 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106
C82790	31/08/2012		I	CI/3	2180.000	Cambridge Property Guide - Job 72452 - Delivery 15 Aug 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106
C82790	31/08/2012		I	CI/4	2180.000	Cambridge Property Guide - Job 72453 - Delivery 22 Aug 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106
C82790	31/08/2012		I	CI/5	2180.000	Cambridge Property Guide - Job 72454 - Delivery 29 Aug 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106

C82791	31/08/2012	10455	I	CI/1	8092.000	Rural Advocate - Job 72457 - Delivery 15 Aug 2012 - 120 grams. Includes folding fee 0.0100 cents.  	0.1020	0.1173	825.38	949.19	Rural Advocate	S	123.81	I	106

C82792	31/08/2012		I	CI/1	3270.000	Te Puke Times - Job 72224 - Delivery 02 Aug 2012 - 71 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	106
C82792	31/08/2012		I	CI/2	3270.000	Te Puke Times - Job 72225 - Delivery 09 Aug 2012 - 99 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	106
C82792	31/08/2012		I	CI/3	3270.000	Te Puke Times - Job 72458 - Delivery 16 Aug 2012 - 93 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	106
C82792	31/08/2012		I	CI/4	3270.000	Te Puke Times - Job 72459 - Delivery 23 Aug 2012 - 61 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	106
