Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C83029	23/09/2012	2446648	I	CI/1	4871.000	Barfoot Mt Albert September - Job 73067 - Delivery 17 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	270.83	311.45	Barfoot Mt Albert September	S	40.62	I	PMP Distribution Lim

C83030	23/09/2012	2446571	I	CI/1	64524.000	Bed Bath and Beyond Sept - Job 73062 - Delivery 18 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	3587.53	4125.66	Bed Bath and Beyond Sept	S	538.13	I	PMP Distribution Lim

C83031	23/09/2012	2443747	I	CI/1	0.000	Bond and Bond - Job 73089 - Delivery 18 Sep 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	0.00	0.00	Bond and Bond	S	0.00	I	PMP Distribution Lim

C83032	23/09/2012	2444806	I	CI/1	41925.000	Briscoes - Job 72704 - Delivery 17 Sep 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	2331.03	2680.68	Briscoes	S	349.65	I	PMP Distribution Lim

C83033	23/09/2012	2445391	I	CI/1	20237.000	Colourplus Sept Drape Mailer - Job 72764 - Delivery 18 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	1125.18	1293.96	Colourplus Sept Drape Mailer	S	168.78	I	PMP Distribution Lim

C83034	23/09/2012	2445124	I	CI/1	12029.000	Curtain Studio - Job 72717 - Delivery 18 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	668.81	769.13	Curtain Studio	S	100.32	I	PMP Distribution Lim

C83035	23/09/2012	2446384	I	CI/1	11378.000	DMS Increasing Grower Profit - Job 73057 - Delivery 18 Sep 2012 - 10 grams.   Includes Linehaul.	0.0556	0.0639	632.62	727.51	DMS Increasing Grower Profit	S	94.89	I	PMP Distribution Lim

C83036	23/09/2012	2443898	I	CI/1	55687.000	Four Square Northern - Job 72956 - Delivery 22 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	3096.20	3560.63	Four Square Northern	S	464.43	I	PMP Distribution Lim

C83037	23/09/2012	2446767	I	CI/1	47347.000	Four Square Southern - Job 72873 - Delivery 22 Sep 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	2632.49	3027.36	Four Square Southern	S	394.87	I	PMP Distribution Lim

C83038	23/09/2012	2446525	I	CI/1	8099.000	Furniture 2 Go Warkworth - Job 73058 - Delivery 18 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	450.30	517.85	Furniture 2 Go Warkworth	S	67.55	I	PMP Distribution Lim

C83039	23/09/2012	2446122	I	CI/1	3806.000	Goldpine Te Awamutu Sept 2012 - Job 73033 - Delivery 18 Sep 2012 - 10 grams.   Includes Linehaul.	0.0556	0.0639	211.61	243.35	Goldpine Te Awamutu Sept 2012	S	31.74	I	PMP Distribution Lim

C83040	23/09/2012	2445854	I	CI/1	332.000	Grapevine - Job 72863 - Delivery 17 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	18.46	21.23	Grapevine	S	2.77	I	PMP Distribution Lim

C83041	23/09/2012	2446405	I	CI/1	207732.000	Harvey Norman Computer Electrical - Job 73052 - Delivery 18 Sep 2012 - 57 grams.   Includes Linehaul.	0.0756	0.0869	15704.54	18060.22	Harvey Norman Computer Electrical	S	2355.68	I	PMP Distribution Lim

C83042	23/09/2012	2445648	I	CI/1	78930.000	Husqvana September 2012 - Job 72847 - Delivery 18 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	4388.51	5046.79	Husqvana September 2012	S	658.28	I	PMP Distribution Lim
C83042	23/09/2012	2445648	I	CI/2	1874.000	Husqvana September 2012 - Job 72848 - Delivery 18 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	104.19	119.82	Husqvana September 2012	S	15.63	I	PMP Distribution Lim

C83043	23/09/2012	2446642	I	CI/1	6342.000	Insight Traders West Auckland - Job 73066 - Delivery 18 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	352.62	405.51	Insight Traders West Auckland	S	52.89	I	PMP Distribution Lim

C83044	23/09/2012	2446133	I	CI/1	2558.000	JB Hi Fi  Dunedin - Job 73034 - Delivery 18 Sep 2012 - 10 grams.   Includes Linehaul.	0.0556	0.0639	142.22	163.55	JB Hi Fi  Dunedin	S	21.33	I	PMP Distribution Lim

