Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C82088	31/05/2012		I	CI/1	4997.000	AMT Hawera - Job 71608 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	485.21	557.99	AMT Hawera	S	72.78	I	492

C82089	31/05/2012		I	CI/1	1925.000	Cambridge Property Guide - Job 71322 - Delivery 02 May 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106
C82089	31/05/2012		I	CI/2	1925.000	Cambridge Property Guide - Job 71323 - Delivery 09 May 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106
C82089	31/05/2012		I	CI/3	1925.000	Cambridge Property Guide - Job 71618 - Delivery 16 May 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106
C82089	31/05/2012		I	CI/4	1925.000	Cambridge Property Guide - Job 71619 - Delivery 23 May 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106
C82089	31/05/2012		I	CI/5	1925.000	Cambridge Property Guide - Job 71620 - Delivery 30 May 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.03	211.63	Cambridge Property Guide	S	27.60	I	106

C82090	31/05/2012	10455	I	CI/1	8092.000	Rural Advocate - Job 71625 - Delivery 18 May 2012 - 120 grams. Includes folding fee 0.0100 cents.  	0.1020	0.1173	825.38	949.19	Rural Advocate	S	123.81	I	106

C82091	31/05/2012		I	CI/1	3525.000	Te Puke Times - Job 71328 - Delivery 03 May 2012 - 82 grams.   	0.0856	0.0984	301.74	347.00	Te Puke Times	S	45.26	I	106
C82091	31/05/2012		I	CI/2	3525.000	Te Puke Times - Job 71329 - Delivery 10 May 2012 - 93 grams.   	0.0856	0.0984	301.74	347.00	Te Puke Times	S	45.26	I	106
C82091	31/05/2012		I	CI/3	3525.000	Te Puke Times - Job 71626 - Delivery 17 May 2012 - 82 grams.   	0.0856	0.0984	301.74	347.00	Te Puke Times	S	45.26	I	106
C82091	31/05/2012		I	CI/4	3525.000	Te Puke Times - Job 71627 - Delivery 24 May 2012 - 106 grams.   	0.0920	0.1058	324.30	372.95	Te Puke Times	S	48.65	I	106
C82091	31/05/2012		I	CI/5	3525.000	Te Puke Times - Job 71628 - Delivery 31 May 2012 - 93 grams.   	0.0856	0.0984	301.74	347.00	Te Puke Times	S	45.26	I	106

C82092	31/05/2012	Clutha	I	CI/1	1475.000	Farm Location Maps - Job 71795 - Delivery IOA - 100 grams.   Includes Linehaul.	0.1017	0.1170	150.01	172.51	Farm Location Maps	S	22.50	I	107

C82093	31/05/2012		I	CI/1	657.000	Mossburn Flyer - Job 71502 - Delivery 07 May 2012 - 10 grams.   Includes Linehaul.	0.1911	0.2198	125.55	144.38	Mossburn Flyer	S	18.83	I	426
C82093	31/05/2012		I	CI/2	128.000	Mossburn Flyer - Job 71503 - Delivery 07 May 2012 - 10 grams.   Includes Linehaul.	0.1911	0.2198	24.46	28.13	Mossburn Flyer	S	3.67	I	426

C82094	31/05/2012		I	CI/1	1988.000	Community Group Day - Job 71783 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0755	0.0868	150.09	172.60	Community Group Day	S	22.51	I	427

C82095	31/05/2012		I	CI/1	591.000	Taihape Field Day - Job 71734 - Delivery IOA - 10 grams.   Includes Linehaul.	0.2538	0.2919	150.00	172.50	Taihape Field Day	S	22.50	I	427

C82096	31/05/2012		I	CI/1	1190.000	Buy The Liners - Job 71812 - Delivery IOA - 10 grams.   Includes Linehaul.	0.1261	0.1450	150.06	172.57	Buy The Liners	S	22.51	I	489

C82097	31/05/2012		I	CI/1	14828.000	Rural Living  - Job 71775 - Delivery 28 May 2012 - 75 grams.   Includes Linehaul.	0.0996	0.1145	1476.87	1698.40	Rural Living 	S	221.53	I	256

C82098	31/05/2012	131511	I	CI/1	1676.000	Discussion Group Planners 2012 - Job 71733 - Delivery 16 May 2012 - 10 grams.   	0.0895	0.1029	150.00	172.50	Discussion Group Planners 2012	S	22.50	I	233

