Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C22618	31/08/2010		I	CI/1	2991.000	Cambridge Property Guide - Job 66167 - Delivery 04 Aug 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C22619	31/08/2010		I	CI/1	3220.000	Farming - The Year Ahead - Job 66345 - Delivery 18 Aug 2010 - 189 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1136	325.220	Farming - The Year Ahead	S	40.65	I	106

C22620	31/08/2010	Cade Hughes	I	CI/1	2220.000	Hamilton News - Job 66173 - Delivery 05 Aug 2010 - 66 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton News	S	23.81	I	106
C22620	31/08/2010	Cade Hughes	I	CI/2	2220.000	Hamilton News - Job 66174 - Delivery 12 Aug 2010 - 70 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton News	S	23.81	I	106
C22620	31/08/2010	Cade Hughes	I	CI/3	2220.000	Hamilton News - Job 66255 - Delivery 19 Aug 2010 - 125 grams. Includes folding fee 0.0100 cents.  	0.0959	0.1079	212.898	Hamilton News	S	26.61	I	106
C22620	31/08/2010	Cade Hughes	I	CI/4	2220.000	Hamilton News - Job 66256 - Delivery 26 Aug 2010 - 75 grams. Includes folding fee 0.0100 cents.  Includes Linehaul.	0.0858	0.0965	190.476	Hamilton News	S	23.81	I	106

C22621	31/08/2010	10455	I	CI/1	8092.000	Rural Advocate - Job 66259 - Delivery 20 Aug 2010 - 153 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1136	817.292	Rural Advocate	S	102.16	I	106

C22622	31/08/2010		I	CI/1	3525.000	Te Puke Times - Job 66178 - Delivery 04 Aug 2010 - 195 grams.   	0.0910	0.1024	320.775	Te Puke Times	S	40.10	I	106
C22622	31/08/2010		I	CI/2	3525.000	Te Puke Times - Job 66179 - Delivery 11 Aug 2010 - 125 grams.   	0.0856	0.0963	301.740	Te Puke Times	S	37.72	I	106
C22622	31/08/2010		I	CI/3	3525.000	Te Puke Times - Job 66260 - Delivery 18 Aug 2010 - 75 grams.   	0.0749	0.0843	264.023	Te Puke Times	S	33.00	I	106
C22622	31/08/2010		I	CI/4	3525.000	Te Puke Times - Job 66261 - Delivery 25 Aug 2010 - 75 grams.   	0.0749	0.0843	264.023	Te Puke Times	S	33.00	I	106

C22623	31/08/2010	Clutha District	I	CI/1	1395.000	Farm Location Maps - Clutha District - Job 66534 - Delivery IOA - 100 grams.   	0.1075	0.1209	149.963	Farm Location Maps - Clutha District	S	18.75	I	107

C22624	31/08/2010	Marlborough	I	CI/1	1117.000	Reply Paid Cards - Marlborough - Job 66340 - Delivery 03 Aug 2010 - 15 grams.   	0.1343	0.1511	150.013	Reply Paid Cards - Marlborough	S	18.75	I	107

C22625	31/08/2010	North Otago	I	CI/1	1345.000	Reply Paid Cards - North Otago - Job 66464 - Delivery 17 Aug 2010 - 10 grams.   	0.1115	0.1254	149.968	Reply Paid Cards - North Otago	S	18.75	I	107

C22626	31/08/2010	Rodney District	I	CI/1	1775.000	Reply Paid Cards - Rodney District - Job 66463 - Delivery 18 Aug 2010 - 10 grams.   	0.0845	0.0951	149.988	Reply Paid Cards - Rodney District	S	18.75	I	107

C22627	31/08/2010	Wairarapa	I	CI/1	2039.000	Reply Paid Cards- Wairarapa - Job 66339 - Delivery 03 Aug 2010 - 15 grams.   	0.0749	0.0843	152.721	Reply Paid Cards- Wairarapa	S	19.09	I	107

C22628	31/08/2010		I	CI/1	16220.000	Bayleys Lower North Island - Job 66559 - Delivery IOA - 83 grams.   	0.1231	0.1385	1996.682	Bayleys Lower North Island	S	249.58	I	111

C22629	31/08/2010		I	CI/1	3461.000	Water Treatment - Job 66412 - Delivery 09 Aug 2010 - 25 grams.   	0.0883	0.0993	305.606	Water Treatment	S	38.20	I	273

C22630	31/08/2010		I	CI/1	14828.000	Rural Living - South - Job 66448 - Delivery 16 Aug 2010 - 109 grams.   Includes Linehaul.	0.1103	0.1241	1635.528	Rural Living - South	S	204.44	I	256
C22630	31/08/2010		I	CI/2	19881.000	Rural Living-North - Job 66447 - Delivery 16 Aug 2010 - 66 grams.   Includes Linehaul.	0.0927	0.1043	1842.969	Rural Living-North	S	230.37	I	256

