Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C82948	09/09/2012	2444675	I	CI/1	10043.000	ATS In Season Catalogue - Job 72678 - Delivery 03 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	558.39	642.15	ATS In Season Catalogue	S	83.76	I	201

C82949	09/09/2012	2445862	I	CI/1	2699.000	Bayleys 36pg Preview Guide Sept 2012 - Job 72864 - Delivery 08 Sep 2012 - 150 grams.   Includes Linehaul.	0.0919	0.1057	248.04	285.25	Bayleys 36pg Preview Guide Sept 2012	S	37.21	I	201

C82950	09/09/2012	2443501	I	CI/1	7506.000	Bond and Bond - Job 72411 - Delivery 04 Sep 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	417.33	479.93	Bond and Bond	S	62.60	I	201

C82951	09/09/2012	2444802	I	CI/1	41925.000	Briscoes - Job 72695 - Delivery 03 Sep 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	2331.03	2680.68	Briscoes	S	349.65	I	201

C82952	09/09/2012	2445147	I	CI/1	55008.000	Carpet One September - Job 72760 - Delivery 04 Sep 2012 - 20 grams.   Includes Linehaul.	0.0566	0.0651	3113.45	3580.47	Carpet One September	S	467.02	I	201

C82953	09/09/2012	2445391	I	CI/1	13367.000	Colourplus Sept Drape Mailer - Job 72763 - Delivery 04 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	743.21	854.69	Colourplus Sept Drape Mailer	S	111.48	I	201

C82954	09/09/2012	2445124	I	CI/1	16660.000	Curtain Studio - Job 72715 - Delivery 04 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	926.30	1065.25	Curtain Studio	S	138.95	I	201

C82955	09/09/2012	2445200	I	CI/1	13723.000	DA Lewis 8 Pg Mailer - Job 72757 - Delivery 04 Sep 2012 - 10 grams.   Includes Linehaul.	0.0566	0.0651	776.72	893.23	DA Lewis 8 Pg Mailer	S	116.51	I	201

C82956	09/09/2012	2446086	I	CI/1	462.000	DTR Porirua Birthday Mailer - Job 72941 - Delivery 08 Sep 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	25.69	29.54	DTR Porirua Birthday Mailer	S	3.85	I	201

C82957	09/09/2012	2445566	I	CI/1	3950.000	eLocal Magazine - Job 72839 - Delivery 03 Sep 2012 - 92 grams.   Includes Linehaul.	0.0756	0.0869	298.62	343.41	eLocal Magazine	S	44.79	I	201
C82957	09/09/2012	2445566	I	CI/2	1910.000	eLocal Magazine - Job 72840 - Delivery 03 Sep 2012 - 92 grams.   Includes Linehaul.	0.0756	0.0869	144.40	166.06	eLocal Magazine	S	21.66	I	201

C82958	09/09/2012	2445448	I	CI/1	5987.000	Flying Fish  - Job 72761 - Delivery 04 Sep 2012 - 10 grams.   	0.0556	0.0639	332.88	382.81	Flying Fish 	S	49.93	I	201

C82959	09/09/2012	2443882	I	CI/1	55687.000	Four Square Northern - Job 72635 - Delivery 01 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	3096.20	3560.63	Four Square Northern	S	464.43	I	201

C82960	09/09/2012	2444923	I	CI/1	47347.000	Four Square Southern - Job 72733 - Delivery 01 Sep 2012 - 25 grams.   Includes Linehaul.	0.0556	0.0639	2632.49	3027.36	Four Square Southern	S	394.87	I	201

C82961	09/09/2012	2444601	I	CI/1	16795.000	Franklin Valley Voice - Job 72662 - Delivery 03 Sep 2012 - 60 grams.   Includes Linehaul.	0.0756	0.0869	1269.70	1460.16	Franklin Valley Voice	S	190.46	I	201

C82962	09/09/2012	2445068	I	CI/1	15665.000	Hand J Smith Style Book Sept - Job 72810 - Delivery 03 Sep 2012 - 125 grams.   Includes Linehaul.	0.0919	0.1057	1439.61	1655.55	Hand J Smith Style Book Sept	S	215.94	I	201

C82963	09/09/2012	 2445060 	I	CI/1	13724.000	HandJ Smith Home Value Catalogue - Job 72721 - Delivery 04 Sep 2012 - 60 grams.   Includes Linehaul.	0.0756	0.0869	1037.53	1193.16	HandJ Smith Home Value Catalogue	S	155.63	I	201

C82964	09/09/2012	2445491	I	CI/1	207732.000	Harvey Norman Computer Electrical - Job 72808 - Delivery 04 Sep 2012 - 60 grams.   Includes Linehaul.	0.0756	0.0869	15704.54	18060.22	Harvey Norman Computer Electrical	S	2355.68	I	201

C82965	09/09/2012	2445229	I	CI/1	227941.000	Husqvana Sept 2012 - Job 72771 - Delivery 04 Sep 2012 - 10 grams.   Includes Linehaul.	0.0556	0.0639	12673.52	14574.55	Husqvana Sept 2012	S	1901.03	I	201

C82966	09/09/2012	2445244	I	CI/1	25419.000	Ideal Garages Flyer - Job 72762 - Delivery 04 Sep 2012 - 20 grams.   Includes Linehaul.	0.0556	0.0639	1413.30	1625.30	Ideal Garages Flyer	S	212.00	I	201

