ContactName,InvoiceNumber,Reference,InvoiceDate,DueDate,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TrackingName1,TrackingOption1
PMP Distribution Lim,C83647,2449654,2012-11-18,2012-12-20,Bayleys Preview Guide - Job 73787 - Delivery 12 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,6.118,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83648,2449453,2012-11-18,2012-12-20,Bedstop - Job 73716 - Delivery 13 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,3.05,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83649,2448759,2012-11-18,2012-12-20,Bedstop Northland  - Job 73534 - Delivery 13 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.434,55.6,,100,15% GST on income,Division,Circulars
,C83649,2448759,2012-11-18,2012-12-20,Bedstop Northland - Job 73759 - Delivery 13 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,5.484,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83650,2450994,2012-11-18,2012-12-20,Big Save Furniture - Job 74097 - Delivery 14 Nov 2012 - 20 grams.    Boxholder Type: Total. ,12.206,0,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83651,2450732,2012-11-18,2012-12-20,Big Save Upper North - Job 74022 - Delivery 13 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,31.454,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83652,2450159,2012-11-18,2012-12-20,Bike Barn  - Job 73987 - Delivery 13 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.097,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83653,2448844,2012-11-18,2012-12-20,Bond and Bond - Job 73525 - Delivery 13 Nov 2012 - 50 grams.    Boxholder Type: Total. Includes Linehaul.,5.67,59.7,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83654,2449081,2012-11-18,2012-12-20,Briscoes - Job 73640 - Delivery 12 Nov 2012 - 32 grams.    Boxholder Type: Total. Includes Linehaul.,36.501,59.7,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83655,2450398,2012-11-18,2012-12-20,Cambridge 20KM - Job 73984 - Delivery 13 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.82,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83656,2449625,2012-11-18,2012-12-20,Carpet One - Job 73783 - Delivery 12 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,105.405,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83657,2448933,2012-11-18,2012-12-20,Christmas Wonderland - Job 73639 - Delivery 17 Nov 2012 - 25 grams.    Boxholder Type: Total. ,0.817,55.6,,100,15% GST on income,Division,Circulars
