Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C21018	30/09/2009		I	CI/1	8465.000	AC Pet Foods - Job 63892 - Delivery IOA - 10 grams.   	0.0749	0.0843	634.029	AC Pet Foods	S	79.25	I	100

C21019	30/09/2009		I	CI/1	2991.000	Cambridge Property Guide - Job 63392 - Delivery 02 Sep 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21019	30/09/2009		I	CI/2	2991.000	Cambridge Property Guide - Job 63640 - Delivery 09 Sep 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21019	30/09/2009		I	CI/3	2991.000	Cambridge Property Guide - Job 63641 - Delivery 16 Sep 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21019	30/09/2009		I	CI/4	2991.000	Cambridge Property Guide - Job 63642 - Delivery 23 Sep 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21019	30/09/2009		I	CI/5	2991.000	Cambridge Property Guide - Job 63643 - Delivery 30 Sep 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C21020	30/09/2009		I	CI/1	2000.000	Eastside Community News - Job 9657 - Delivery 25 Sep 2009 - 30 grams.   	0.0656	0.0738	131.200	Eastside Community News	S	16.40	I	106

C21021	30/09/2009	Gay Hubbard	I	CI/1	2220.000	Hamilton This Week - Job 63396 - Delivery 03 Sep 2009 - 55 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106
C21021	30/09/2009	Gay Hubbard	I	CI/2	2220.000	Hamilton This Week - Job 63645 - Delivery 10 Sep 2009 - 60 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106
C21021	30/09/2009	Gay Hubbard	I	CI/3	2220.000	Hamilton This Week - Job 63646 - Delivery 17 Sep 2009 - 75 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106
C21021	30/09/2009	Gay Hubbard	I	CI/4	2220.000	Hamilton This Week - Job 63647 - Delivery 24 Sep 2009 - 90 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106

C21022	30/09/2009	10455	I	CI/1	8092.000	Rural Advocate - Job 63654 - Delivery 18 Sep 2009 - 160 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1136	817.292	Rural Advocate	S	102.16	I	106

C21023	30/09/2009		I	CI/1	3505.000	Te Puke Times - Job 63401 - Delivery 02 Sep 2009 - 115 grams.   	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106
C21023	30/09/2009		I	CI/2	3505.000	Te Puke Times - Job 63649 - Delivery 09 Sep 2009 - 75 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C21023	30/09/2009		I	CI/3	3505.000	Te Puke Times - Job 63650 - Delivery 16 Sep 2009 - 125 grams.   	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106
C21023	30/09/2009		I	CI/4	3505.000	Te Puke Times - Job 63651 - Delivery 23 Sep 2009 - 80 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C21023	30/09/2009		I	CI/5	3505.000	Te Puke Times - Job 63652 - Delivery 30 Sep 2009 - 0 grams.   	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106

C21024	30/09/2009	Waikato	I	CI/1	2880.000	Farm Location Maps - Job 63871 - Delivery IOA - 90 grams.   	0.0856	0.0963	246.528	Farm Location Maps	S	30.82	I	107

C21025	30/09/2009		I	CI/1	16237.000	Bayleys Quarterly LNI - Job 63516 - Delivery 04 Sep 2009 - 115 grams.   	0.1605	0.1806	2606.039	Bayleys Quarterly LNI	S	325.75	I	111

C21026	30/09/2009		I	CI/1	14921.000	Bomac Laboratories - Job 63875 - Delivery IOA - 10 grams.   	0.0883	0.0993	1317.524	Bomac Laboratories	S	164.69	I	320

C21027	30/09/2009		I	CI/1	18305.000	Bridge It NZ - Job 63341 - Delivery IOA - 20 grams.   	0.0910	0.1024	1665.755	Bridge It NZ	S	208.22	I	316

C21028	30/09/2009		I	CI/1	33223.000	Rural Living - Job 63655 - Delivery 21 Sep 2009 - 70 grams.   Includes Linehaul.	0.0927	0.1043	3079.772	Rural Living	S	384.97	I	256

C21029	30/09/2009		I	CI/1	86689.000	C-Dax Sept 2009 - Job 63847 - Delivery 15 Sep 2009 - 10 grams.   	0.0692	0.0779	5998.879	C-Dax Sept 2009	S	749.86	I	116

C21030	30/09/2009	10037	I	CI/1	3332.000	CMP Flyer - Job 63827 - Delivery IOA - 10 grams.   	0.0883	0.0993	294.216	CMP Flyer	S	36.78	I	250

C21031	30/09/2009	Garry	I	CI/1	13881.000	Proven Pasture Solutions - Job 63588 - Delivery 02 Sep 2009 - 50 grams.   	0.0910	0.1024	1263.171	Proven Pasture Solutions	S	157.90	I	314
C21031	30/09/2009	Garry	I	CI/2	9393.000	Proven Pasture Solutions - Job 63589 - Delivery IOA - 50 grams.   	0.0910	0.1024	854.763	Proven Pasture Solutions	S	106.84	I	314

C21032	30/09/2009	SI Lifestyler Mailing	I	CI/1	31250.000	CRT - Your Welcome - Job 63786 - Delivery 02 Sep 2009 - 15 grams.   	0.0728	0.0819	2275.000	CRT - Your Welcome	S	284.38	I	125

C21033	30/09/2009	116078	I	CI/1	1609.000	BOP Focus Farm Field Day - Job 63815 - Delivery IOA - 10 grams.   	0.0932	0.1049	149.959	BOP Focus Farm Field Day	S	18.75	I	233

C21034	30/09/2009	116230	I	CI/1	1293.000	DairyNZ Localink -Greg Buler - Job 63855 - Delivery 17 Sep 2009 - 10 grams.   	0.1161	0.1306	150.117	DairyNZ Localink -Greg Buler	S	18.77	I	233

C21035	30/09/2009	116106	I	CI/1	1522.000	DairyNZ Localink Alicia Newport - Job 63831 - Delivery 10 Sep 2009 - 10 grams.   	0.0986	0.1109	150.069	DairyNZ Localink Alicia Newport	S	18.76	I	233

C21036	30/09/2009	116045	I	CI/1	659.000	DairyNZ Localink Gareth Baynham - Job 63810 - Delivery IOA - 10 grams.   	0.2276	0.2561	149.988	DairyNZ Localink Gareth Baynham	S	18.75	I	233

C21037	30/09/2009	116046	I	CI/1	1512.000	DairyNZ Localink Sarah Payne - Job 63811 - Delivery IOA - 10 grams.   	0.0992	0.1116	149.990	DairyNZ Localink Sarah Payne	S	18.75	I	233

C21038	30/09/2009	116056	I	CI/1	1192.000	DairyNZ Tight Mgmt Farm Field Day  - Job 63813 - Delivery IOA - 10 grams.   	0.1258	0.1415	149.954	DairyNZ Tight Mgmt Farm Field Day 	S	18.74	I	233

C21039	30/09/2009	116569	I	CI/1	910.000	Reproduction & Heat Detection Field Day - Job 63899 - Delivery IOA - 10 grams.   	0.1649	0.1855	150.059	Reproduction & Heat Detection Field Day	S	18.76	I	233

C21040	30/09/2009	116411	I	CI/1	1973.000	Reproduction Field Day - Job 63879 - Delivery IOA - 10 grams.   	0.0761	0.0856	150.145	Reproduction Field Day	S	18.77	I	233

C21041	30/09/2009	116395	I	CI/1	662.000	Sth Canty/Nth Otago Workshops - Job 63893 - Delivery 29 Sep 2009 - 5 grams.   	0.2266	0.2549	150.009	Sth Canty/Nth Otago Workshops	S	18.75	I	233

C21042	30/09/2009	116318	I	CI/1	250.000	Tight Management  - Galatea - Job 63876 - Delivery IOA - 10 grams.   	0.6000	0.6750	150.000	Tight Management  - Galatea	S	18.75	I	233

C21043	30/09/2009	116184	I	CI/1	474.000	Tight Management - Edendale - Job 63837 - Delivery 12 Sep 2009 - 10 grams.   	0.3165	0.3561	150.021	Tight Management - Edendale	S	18.75	I	233

C21044	30/09/2009	116185	I	CI/1	347.000	Tight Management - Hawkes Bay - Job 63843 - Delivery 14 Sep 2009 - 10 grams.   	0.4323	0.4863	150.008	Tight Management - Hawkes Bay	S	18.75	I	233

C21045	30/09/2009	116239	I	CI/1	620.000	Tight Management - Matamata - Job 63858 - Delivery IOA - 10 grams.   	0.2419	0.2721	149.978	Tight Management - Matamata	S	18.75	I	233

C21046	30/09/2009	116190	I	CI/1	1133.000	Tight Management - Rakaia - Job 63840 - Delivery 14 Sep 2009 - 10 grams.   	0.1324	0.1490	150.009	Tight Management - Rakaia	S	18.75	I	233

C21047	30/09/2009	116183	I	CI/1	380.000	Tight Management - Sth Wairarapa - Job 63844 - Delivery 14 Sep 2009 - 10 grams.   	0.3947	0.4440	149.986	Tight Management - Sth Wairarapa	S	18.75	I	233

C21048	30/09/2009	116181	I	CI/1	255.000	Tight Management - Tapanui - Job 63838 - Delivery 12 Sep 2009 - 10 grams.   	0.5882	0.6617	149.991	Tight Management - Tapanui	S	18.75	I	233

C21049	30/09/2009	116182	I	CI/1	308.000	Tight Management - Telford - Job 63839 - Delivery 12 Sep 2009 - 10 grams.   	0.4871	0.5480	150.027	Tight Management - Telford	S	18.75	I	233

C21050	30/09/2009	116191	I	CI/1	421.000	Tight Management - Temuka - Job 63841 - Delivery 17 Sep 2009 - 10 grams.   	0.3563	0.4008	150.002	Tight Management - Temuka	S	18.75	I	233

C21051	30/09/2009	116186	I	CI/1	523.000	Tight Management - West Coast - Job 63836 - Delivery 12 Sep 2009 - 10 grams.   	0.2869	0.3228	150.049	Tight Management - West Coast	S	18.76	I	233

C21052	30/09/2009	116404	I	CI/1	1054.000	Tight Management Farm Field days - Job 63884 - Delivery IOA - 10 grams.   	0.1423	0.1601	149.984	Tight Management Farm Field days	S	18.75	I	233

C21053	30/09/2009	116077	I	CI/1	4153.000	Tight Management Farm Flyer - Job 63816 - Delivery IOA - 10 grams.   	0.0749	0.0843	311.060	Tight Management Farm Flyer	S	38.88	I	233

C21054	30/09/2009	114930	I	CI/1	1293.000	Tight Management for Tight Times - Job 63856 - Delivery 22 Sep 2009 - 10 grams.   	0.1161	0.1306	150.117	Tight Management for Tight Times	S	18.77	I	233

C21055	30/09/2009	116212	I	CI/1	1522.000	Tight Management-Hawera - Job 63860 - Delivery 17 Sep 2009 - 10 grams.   	0.0986	0.1109	150.069	Tight Management-Hawera	S	18.76	I	233

C21056	30/09/2009	116213	I	CI/1	1281.000	Tight Management-North Taranaki - Job 63861 - Delivery 17 Sep 2009 - 10 grams.   	0.1171	0.1317	150.005	Tight Management-North Taranaki	S	18.75	I	233

C21057	30/09/2009	116192	I	CI/1	443.000	Tight Management-Sthn HBay - Job 63853 - Delivery 21 Sep 2009 - 10 grams.   	0.3386	0.3809	150.000	Tight Management-Sthn HBay	S	18.75	I	233

