Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C80402	30/06/2011		I	CI/1	9148.000	AC Pet Foods - Job 68969 - Delivery IOA - 10 grams.   	0.0749	0.0861	685.185	AC Pet Foods	S	102.78	I	100

C80403	30/06/2011		I	CI/1	4583.000	Concrete Grooving & Grinding - Job 68708 - Delivery 01 Jun 2011 - 10 grams.   Includes Linehaul.	0.0883	0.1015	404.679	Concrete Grooving & Grinding	S	60.70	I	364

C80404	30/06/2011		I	CI/1	2051.000	Bobby Calf Procurement - Job 68950 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	199.152	Bobby Calf Procurement	S	29.87	I	433

C80405	30/06/2011	10455	I	CI/1	8092.000	Rural Advocate - Job 68668 - Delivery 17 Jun 2011 - 173 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1162	817.292	Rural Advocate	S	122.59	I	106

C80406	30/06/2011		I	CI/1	3525.000	Te Puke Times - Job 68455 - Delivery 01 Jun 2011 - 75 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C80406	30/06/2011		I	CI/2	3525.000	Te Puke Times - Job 68456 - Delivery 08 Jun 2011 - 125 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C80406	30/06/2011		I	CI/3	3525.000	Te Puke Times - Job 68736 - Delivery 15 Jun 2011 - 85 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C80406	30/06/2011		I	CI/4	3525.000	Te Puke Times - Job 68737 - Delivery 22 Jun 2011 - 110 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C80406	30/06/2011		I	CI/5	3525.000	Te Puke Times - Job 68738 - Delivery 29 Jun 2011 - 85 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106

C80407	30/06/2011	Far North	I	CI/1	2410.000	Far North Farm Location Maps - Job 68824 - Delivery 08 Jun 2011 - 100 grams.   	0.0856	0.0984	206.296	Far North Farm Location Maps	S	30.94	I	107

C80408	30/06/2011	Central Otago	I	CI/1	1428.000	Farm Location Maps - Job 68712 - Delivery 02 Jun 2011 - 100 grams.   	0.0000	0.0000	0.000	Farm Location Maps	S	0.00	I	107

C80409	30/06/2011	Taranaki North	I	CI/1	2610.000	Farm Location Maps - Job 68958 - Delivery IOA - 100 grams.   	0.0856	0.0984	223.416	Farm Location Maps	S	33.51	I	107

C80410	30/06/2011		I	CI/1	5678.000	Southern South Island Farmer Council - Job 68926 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0883	0.1015	501.367	Southern South Island Farmer Council	S	75.21	I	426

C80411	30/06/2011		I	CI/1	4505.000	Central South Island Farmer Council - Job 68798 - Delivery 07 Jun 2011 - 10 grams.   Includes Linehaul.	0.0883	0.1015	397.792	Central South Island Farmer Council	S	59.67	I	425

C80412	30/06/2011		I	CI/1	14828.000	Rural Living  - Job 68940 - Delivery 20 Jun 2011 - 71 grams. Includes folding fee 0.0100 cents.  Includes Linehaul.	0.1027	0.1181	1522.836	Rural Living 	S	228.43	I	256

C80413	30/06/2011	009	I	CI/1	242.000	CMP Grant Robertson & Murray Walker - Job 68816 - Delivery 04 Jun 2011 - 10 grams.   Includes Linehaul.	0.6198	0.7128	149.992	CMP Grant Robertson & Murray Walker	S	22.50	I	250

C80414	30/06/2011	013	I	CI/1	242.000	CMP Grant Robertson/Murray Walker - Job 68947 - Delivery IOA - 10 grams.   Includes Linehaul.	0.6200	0.7130	150.040	CMP Grant Robertson/Murray Walker	S	22.51	I	250

C80415	30/06/2011	008	I	CI/1	350.000	CMP Ken Chamberlain - Job 68817 - Delivery 11 Jun 2011 - 10 grams.   Includes Linehaul.	0.4286	0.4929	150.010	CMP Ken Chamberlain	S	22.50	I	250

C80416	30/06/2011	010	I	CI/1	524.000	CMP Kokiri Bobby Calf - Job 68713 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0286	0.0329	14.986	CMP Kokiri Bobby Calf	S	2.25	I	250

C80417	30/06/2011		I	CI/1	1600.000	Otago Expo Flyer - Job 68819 - Delivery 07 Jun 2011 - 15 grams.   	0.0938	0.1079	150.080	Otago Expo Flyer	S	22.51	I	125

C80418	30/06/2011	126146	I	CI/1	1648.000	Canterbury Myth Busters - Job 68939 - Delivery 24 Jun 2011 - 10 grams.   	0.0910	0.1047	149.968	Canterbury Myth Busters	S	22.50	I	233

C80419	30/06/2011	125785	I	CI/1	3260.000	DairyNZ Progression Groups - Job 68733 - Delivery 15 Jun 2011 - 10 grams.   	0.0749	0.0861	244.174	DairyNZ Progression Groups	S	36.63	I	233

C80420	30/06/2011	125877	I	CI/1	1581.000	DairyNZ Progression Groups - Job 68813 - Delivery 16 Jun 2011 - 10 grams.   	0.0949	0.1091	150.037	DairyNZ Progression Groups	S	22.51	I	233

C80421	30/06/2011	125835	I	CI/1	543.000	DairyNZ TOS June Groups - Job 68800 - Delivery 10 Jun 2011 - 10 grams.   	0.2762	0.3176	149.977	DairyNZ TOS June Groups	S	22.50	I	233

C80422	30/06/2011	126298	I	CI/1	419.000	Effluent & Nutrtion Field Day - Job 68960 - Delivery 28 Jun 2011 - 10 grams.   Includes Linehaul.	0.3580	0.4117	150.002	Effluent & Nutrtion Field Day	S	22.50	I	233

C80423	30/06/2011	125845	I	CI/1	2405.000	Get Stocksense - Job 68922 - Delivery 16 Jun 2011 - 10 grams.   Includes Linehaul.	0.0883	0.1015	212.362	Get Stocksense	S	31.85	I	233

C80424	30/06/2011	125445	I	CI/1	932.000	Hauraki Plains Meet & Greet - Job 68643 - Delivery 10 Jun 2011 - 10 grams.   	0.1609	0.1850	149.959	Hauraki Plains Meet & Greet	S	22.49	I	233

C80425	30/06/2011	126229	I	CI/1	932.000	Localink - Job 68951 - Delivery 30 Jun 2011 - 10 grams.   	0.1609	0.1850	149.959	Localink	S	22.49	I	233

C80426	30/06/2011	125714	I	CI/1	2380.000	NDDT Field Day - Job 68710 - Delivery 01 Jun 2011 - 10 grams.   	0.0749	0.0861	178.262	NDDT Field Day	S	26.74	I	233

C80427	30/06/2011	126110	I	CI/1	298.000	Otorohanga North Discussion Group - Job 68933 - Delivery 27 Jun 2011 - 10 grams.   	0.5034	0.5789	150.013	Otorohanga North Discussion Group	S	22.50	I	233

C80428	30/06/2011	125604	I	CI/1	370.000	Otorohanga South Farm Systems Discussion Group - Job 68680 - Delivery 07 Jun 2011 - 10 grams.   	0.4054	0.4662	149.998	Otorohanga South Farm Systems Discussion Group	S	22.50	I	233

