Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C21676	28/02/2010		I	CI/1	1500.000	AgFirst Flyer - Job 65029 - Delivery IOA - 10 grams.   	0.1000	0.1125	150.000	AgFirst Flyer	S	18.75	I	338

C21677	28/02/2010	FXTC11253	I	CI/1	7628.000	Agriturf Ltd - Job 64967 - Delivery 17 Feb 2010 - 15 grams.   	0.0883	0.0993	673.552	Agriturf Ltd	S	84.19	I	286

C21678	28/02/2010	Gay Hubbard	I	CI/1	2220.000	Arise Church CW HTW - Job 65204 - Delivery 25 Feb 2010 - 10 grams.   	0.0749	0.0843	166.278	Arise Church CW HTW	S	20.78	I	106

C21679	28/02/2010		I	CI/1	2991.000	Cambridge Property Guide - Job 64570 - Delivery 03 Feb 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21679	28/02/2010		I	CI/2	2991.000	Cambridge Property Guide - Job 64834 - Delivery 10 Feb 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21679	28/02/2010		I	CI/3	2991.000	Cambridge Property Guide - Job 64835 - Delivery 17 Feb 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C21679	28/02/2010		I	CI/4	2991.000	Cambridge Property Guide - Job 64836 - Delivery 24 Feb 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C21680	28/02/2010	Gay Hubbard	I	CI/1	2220.000	Hamilton This Week - Job 64550 - Delivery 04 Feb 2010 - 60 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	188.478	Hamilton This Week	S	23.56	I	106
C21680	28/02/2010	Gay Hubbard	I	CI/2	2220.000	Hamilton This Week - Job 64838 - Delivery 11 Feb 2010 - 60 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	188.478	Hamilton This Week	S	23.56	I	106
C21680	28/02/2010	Gay Hubbard	I	CI/3	2220.000	Hamilton This Week - Job 64839 - Delivery 18 Feb 2010 - 70 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	188.478	Hamilton This Week	S	23.56	I	106
C21680	28/02/2010	Gay Hubbard	I	CI/4	2220.000	Hamilton This Week - Job 64840 - Delivery 25 Feb 2010 - 60 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton This Week	S	23.81	I	106

C21681	28/02/2010	10455	I	CI/1	8092.000	Rural Advocate - Job 64842 - Delivery 19 Feb 2010 - 140 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1076	773.595	Rural Advocate	S	96.70	I	106

C21682	28/02/2010		I	CI/1	3505.000	Te Puke Times - Job 64579 - Delivery 03 Feb 2010 - 90 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C21682	28/02/2010		I	CI/2	3505.000	Te Puke Times - Job 64843 - Delivery 10 Feb 2010 - 125 grams.   	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106
C21682	28/02/2010		I	CI/3	3505.000	Te Puke Times - Job 64844 - Delivery 17 Feb 2010 - 90 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C21682	28/02/2010		I	CI/4	3505.000	Te Puke Times - Job 64845 - Delivery 24 Feb 2010 - 70 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106

C21683	28/02/2010		I	CI/1	16237.000	Bayleys Lower North Island - Job 64981 - Delivery IOA - 110 grams.   	0.1605	0.1806	2606.039	Bayleys Lower North Island	S	325.75	I	111

C21684	28/02/2010		I	CI/1	2040.000	Carolyn Percy Promotion - Job 64951 - Delivery IOA - 5 grams.   	0.0749	0.0843	152.796	Carolyn Percy Promotion	S	19.10	I	111

C21685	28/02/2010		I	CI/1	3650.000	Bayleys - Preview Magazine - Job 65003 - Delivery 19 Feb 2010 - 180 grams.   	0.1980	0.2228	722.700	Bayleys - Preview Magazine	S	90.34	I	306

C21686	28/02/2010	13340	I	CI/1	44729.000	Bomac Laboratories - Job 64826 - Delivery IOA - 15 grams.   	0.0883	0.0993	3949.571	Bomac Laboratories	S	493.70	I	320

C21687	28/02/2010		I	CI/1	16462.000	Bomac Laboratories - Job 64944 - Delivery IOA - 10 grams.   	0.0749	0.0843	1233.004	Bomac Laboratories	S	154.13	I	320

C21688	28/02/2010		I	CI/1	33233.000	Rural Living - Job 64847 - Delivery 22 Feb 2010 - 80 grams.   	0.0927	0.1043	3080.699	Rural Living	S	385.09	I	256

C21689	28/02/2010		I	CI/1	82754.000	C-Dax March Mailer - Job 65048 - Delivery IOA - 13 grams.   	0.0692	0.0779	5726.577	C-Dax March Mailer	S	715.82	I	116

C21690	28/02/2010	118000	I	CI/1	5482.000	DairyNZ - Forage Renewal - Job 64974 - Delivery IOA - 5 grams.   	0.0749	0.0843	410.602	DairyNZ - Forage Renewal	S	51.33	I	233

C21691	28/02/2010	118204	I	CI/1	1382.000	DairyNZ - NARF Field Day - Job 64982 - Delivery IOA - 5 grams.   	0.1085	0.1221	149.947	DairyNZ - NARF Field Day	S	18.74	I	233

C21692	28/02/2010	118205	I	CI/1	1565.000	DairyNZ - Pasture Plus Pukekohe  - Job 65045 - Delivery IOA - 5 grams.   	0.0959	0.1079	150.084	DairyNZ - Pasture Plus Pukekohe 	S	18.76	I	233

