Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C81553	31/01/2012		I	CI/1	1925.000	Cambridge Property Guide - Job 70592 - Delivery 11 Jan 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.030	Cambridge Property Guide	S	27.61	I	106
C81553	31/01/2012		I	CI/2	1925.000	Cambridge Property Guide - Job 70593 - Delivery 18 Jan 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.030	Cambridge Property Guide	S	27.61	I	106
C81553	31/01/2012		I	CI/3	1925.000	Cambridge Property Guide - Job 70594 - Delivery 25 Jan 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	184.030	Cambridge Property Guide	S	27.61	I	106

C81554	31/01/2012	10455	I	CI/1	8092.000	Rural Advocate - Job 70544 - Delivery 20 Jan 2012 - 155 grams. Includes folding fee 0.0100 cents.  	0.1078	0.1240	872.318	Rural Advocate	S	130.85	I	106

C81555	31/01/2012		I	CI/1	3525.000	Te Puke Times - Job 70597 - Delivery 05 Jan 2012 - 71 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C81555	31/01/2012		I	CI/2	3525.000	Te Puke Times - Job 70598 - Delivery 12 Jan 2012 - 77 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C81555	31/01/2012		I	CI/3	3525.000	Te Puke Times - Job 70599 - Delivery 19 Jan 2012 - 100 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C81555	31/01/2012		I	CI/4	3525.000	Te Puke Times - Job 70600 - Delivery 26 Jan 2012 - 63 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106

C81556	31/01/2012	Dargaville/Wellsford	I	CI/1	2106.000	Reply Paid Cards - Job 70675 - Delivery 17 Jan 2012 - 10 grams.   	0.0824	0.0948	173.534	Reply Paid Cards	S	26.03	I	107

C81557	31/01/2012	Nelson	I	CI/1	1905.000	Reply Paid Cards - Job 70676 - Delivery 17 Jan 2012 - 10 grams.   	0.0824	0.0948	156.972	Reply Paid Cards	S	23.55	I	107

C81558	31/01/2012		I	CI/1	39483.000	Face-Guard Brochure - Job 70678 - Delivery 24 Jan 2012 - 10 grams.   Includes Linehaul.	0.0971	0.1117	3833.799	Face-Guard Brochure	S	575.07	I	465

C81559	31/01/2012		I	CI/1	16597.000	Flexidine Brochure - Job 70677 - Delivery 25 Jan 2012 - 10 grams.   Includes Linehaul.	0.0971	0.1117	1611.569	Flexidine Brochure	S	241.74	I	465

C81560	31/01/2012		I	CI/1	9607.000	Waimumu Field Day Flyer - Job 70682 - Delivery 27 Jan 2012 - 10 grams.   Includes Linehaul.	0.0971	0.1117	932.840	Waimumu Field Day Flyer	S	139.93	I	465

C81561	31/01/2012		I	CI/1	14828.000	Rural Living  - Job 70405 - Delivery 27 Jan 2012 - 60 grams.   Includes Linehaul.	0.0996	0.1145	1476.869	Rural Living 	S	221.53	I	256

C81562	31/01/2012		I	CI/1	87232.000	C-Dax February 2012 - Job 70690 - Delivery 24 Jan 2012 - 20 grams.   Includes Linehaul.	0.0718	0.0826	6263.258	C-Dax February 2012	S	939.49	I	116

C81563	31/01/2012		I	CI/1	87232.000	InEx Summer Flyer - Job 70590 - Delivery IOA - 14 grams.   Includes Linehaul.	0.0718	0.0826	6263.258	InEx Summer Flyer	S	939.49	I	116

C81564	31/01/2012		I	CI/1	8768.000	Facial Excema - Job 70672 - Delivery 16 Jan 2012 - 10 grams.   Includes Linehaul.	0.0971	0.1117	851.373	Facial Excema	S	127.71	I	467

C81565	31/01/2012	129477	I	CI/1	389.000	Effluent Technologies & Pond Construction Field Days - Job 70715 - Delivery 30 Jan 2012 - 10 grams.   Includes Linehaul.	0.3856	0.4434	149.998	Effluent Technologies & Pond Construction Field Days	S	22.50	I	233

C81566	31/01/2012	129449	I	CI/1	543.000	February TOS Groups - Job 70695 - Delivery 25 Jan 2012 - 10 grams.   	0.2762	0.3176	149.977	February TOS Groups	S	22.50	I	233

C81567	31/01/2012	129463	I	CI/1	1753.000	Irrigation FD & Employers Groups feb 2012 - Job 70701 - Delivery 27 Jan 2012 - 10 grams.   	0.0856	0.0984	150.057	Irrigation FD & Employers Groups feb 2012	S	22.51	I	233

C81568	31/01/2012	129227	I	CI/1	1097.000	Localink  - Job 70546 - Delivery 13 Jan 2012 - 10 grams.   	0.1367	0.1572	149.960	Localink 	S	22.49	I	233

C81569	31/01/2012	129500	I	CI/1	2919.000	Smart Water Use BOP - Job 70781 - Delivery 27 Jan 2012 - 10 grams.   Includes Linehaul.	0.0805	0.0926	234.980	Smart Water Use BOP	S	35.25	I	233

C81570	31/01/2012	129454	I	CI/1	2011.000	Waimate West Demonstration Farm Trust - Job 70696 - Delivery IOA - 10 grams.   	0.0805	0.0926	161.886	Waimate West Demonstration Farm Trust	S	24.28	I	233

C81571	31/01/2012	129377	I	CI/1	524.000	West Coast Groups Beginning 2012 - Job 70683 - Delivery 23 Jan 2012 - 10 grams.   	0.2863	0.3292	150.021	West Coast Groups Beginning 2012	S	22.50	I	233

C81572	31/01/2012	129266	I	CI/1	1188.000	Yellow Bristle Grass Field Day - Job 70552 - Delivery 18 Jan 2012 - 10 grams.   Includes Linehaul.	0.1263	0.1452	150.044	Yellow Bristle Grass Field Day	S	22.51	I	233

C81573	31/01/2012		I	CI/1	3065.000	Dargaville District News - Job 70606 - Delivery 04 Jan 2012 - 35 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
C81573	31/01/2012		I	CI/2	3065.000	Dargaville District News - Job 70607 - Delivery 11 Jan 2012 - 30 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
C81573	31/01/2012		I	CI/3	3065.000	Dargaville District News - Job 70608 - Delivery 18 Jan 2012 - 30 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
C81573	31/01/2012		I	CI/4	3065.000	Dargaville District News - Job 70609 - Delivery 25 Jan 2012 - 25 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141

C81574	31/01/2012		I	CI/1	7920.000	Whangarei Leader - Job 70612 - Delivery 10 Jan 2012 - 41 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	672.408	Whangarei Leader	S	100.86	I	457
C81574	31/01/2012		I	CI/2	7920.000	Whangarei Leader - Job 70613 - Delivery 17 Jan 2012 - 51 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	757.152	Whangarei Leader	S	113.57	I	457
C81574	31/01/2012		I	CI/3	7920.000	Whangarei Leader - Job 70614 - Delivery 24 Jan 2012 - 61 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	757.152	Whangarei Leader	S	113.57	I	457
C81574	31/01/2012		I	CI/4	7920.000	Whangarei Leader - Job 70615 - Delivery 31 Jan 2012 - 61 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	757.152	Whangarei Leader	S	113.57	I	457

C81575	31/01/2012		I	CI/1	3936.000	Cambridge Edition - Job 70618 - Delivery 11 Jan 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	376.282	Cambridge Edition	S	56.44	I	389
C81575	31/01/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.000	Cambridge Edition	S	0.30	I	389
C81575	31/01/2012		I	CI/2	3936.000	Cambridge Edition - Job 70619 - Delivery 18 Jan 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	376.282	Cambridge Edition	S	56.44	I	389
C81575	31/01/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.000	Cambridge Edition	S	0.30	I	389
C81575	31/01/2012		I	CI/3	3936.000	Cambridge Edition - Job 70620 - Delivery 25 Jan 2012 - 87 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	376.282	Cambridge Edition	S	56.44	I	389
C81575	31/01/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.000	Cambridge Edition	S	0.30	I	389

C81576	31/01/2012		I	CI/1	11345.000	FCN - Thursday - Job 70580 - Delivery 12 Jan 2012 - 135 grams. Includes folding fee 0.0100 cents.  	0.1063	0.1222	1205.974	FCN - Thursday	S	180.90	I	389
C81576	31/01/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.000	FCN - Thursday	S	0.15	I	389
C81576	31/01/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.000	FCN - Thursday	S	2.70	I	389
C81576	31/01/2012		I	CI/2	11345.000	FCN - Thursday - Job 70581 - Delivery 19 Jan 2012 - 150 grams. Includes folding fee 0.0100 cents.  	0.1063	0.1222	1205.974	FCN - Thursday	S	180.90	I	389
C81576	31/01/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.000	FCN - Thursday	S	0.15	I	389
C81576	31/01/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.000	FCN - Thursday	S	2.70	I	389
