Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C80145	30/04/2011		I	CI/1	3011.000	Park Up Your Gumboots - Job 68356 - Delivery 14 Apr 2011 - 10 grams.   	0.0883	0.1015	265.871	Park Up Your Gumboots	S	39.88	I	340

C80146	30/04/2011		I	CI/1	1616.000	Win Petrol Flyer - Job 68385 - Delivery 19 Apr 2011 - 10 grams.   Includes Linehaul.	0.0928	0.1067	149.965	Win Petrol Flyer	S	22.50	I	340
C80146	30/04/2011		I	CI/2	1976.000	Win Petrol Flyer - Job 68386 - Delivery 19 Apr 2011 - 10 grams.   Includes Linehaul.	0.0759	0.0873	149.978	Win Petrol Flyer	S	22.50	I	340

C80147	30/04/2011	10455	I	CI/1	8092.000	Rural Advocate - Job 68169 - Delivery 15 Apr 2011 - 153 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1162	817.292	Rural Advocate	S	122.59	I	106

C80148	30/04/2011		I	CI/1	3525.000	Te Puke Times - Job 67913 - Delivery 06 Apr 2011 - 125 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C80148	30/04/2011		I	CI/2	3525.000	Te Puke Times - Job 68170 - Delivery 13 Apr 2011 - 75 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C80148	30/04/2011		I	CI/3	3525.000	Te Puke Times - Job 68171 - Delivery 20 Apr 2011 - 85 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C80148	30/04/2011		I	CI/4	3525.000	Te Puke Times - Job 68172 - Delivery 27 Apr 2011 - 75 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106

C80149	30/04/2011	Dunedin/Ranfurly	I	CI/1	1114.000	Dunedin/Ranfurly Farm Location Maps - Job 68306 - Delivery 04 Apr 2011 - 100 grams.   	0.1346	0.1548	149.944	Dunedin/Ranfurly Farm Location Maps	S	22.49	I	107

C80150	30/04/2011	Cambridge 	I	CI/1	2502.000	FLM-Reply Paid Cards - Job 68376 - Delivery 19 Apr 2011 - 10 grams.   	0.0749	0.0861	187.400	FLM-Reply Paid Cards	S	28.11	I	107

C80151	30/04/2011		I	CI/1	509.000	Spotswood, Cheviot Flyer - Job 68349 - Delivery IOA - 5 grams.   	0.1473	0.1694	74.976	Spotswood, Cheviot Flyer	S	11.25	I	344

C80152	30/04/2011		I	CI/1	1100.000	Kapiti/Otaki Flyer - Job 68396 - Delivery IOA - 10 grams.   Includes Linehaul.	0.1364	0.1569	150.040	Kapiti/Otaki Flyer	S	22.51	I	370

C80153	30/04/2011		I	CI/1	25194.000	The Secret To Healthy Pasture... - Job 68340 - Delivery IOA - 10 grams.   	0.0883	0.1015	2224.630	The Secret To Healthy Pasture...	S	333.70	I	112

C80154	30/04/2011		I	CI/1	2774.000	Bike Torque Sprint Stock Sell Out - Job 68299 - Delivery 30 Apr 2011 - 10 grams.   Includes Linehaul.	0.0883	0.1015	244.944	Bike Torque Sprint Stock Sell Out	S	36.74	I	386

C80155	30/04/2011		I	CI/1	4583.000	Intercept Flyer - Job 68400 - Delivery IOA - 15 grams.   Includes Linehaul.	0.0883	0.1015	404.679	Intercept Flyer	S	60.70	I	320

C80156	30/04/2011		I	CI/1	14828.000	Rural Living  - Job 68174 - Delivery 18 Apr 2011 - 85 grams.   Includes Linehaul.	0.0927	0.1066	1374.556	Rural Living 	S	206.18	I	256

C80157	30/04/2011		I	CI/1	28964.000	Canterbury Farming - Job 68382 - Delivery 26 Apr 2011 - 76 grams.   Includes Linehaul.	0.0960	0.1104	2780.544	Canterbury Farming	S	417.08	I	416

C80158	30/04/2011		I	CI/1	1317.000	Computer Trouble Shooters Flyer - Job 68392 - Delivery 28 Apr 2011 - 10 grams.   	0.1139	0.1310	150.006	Computer Trouble Shooters Flyer	S	22.50	I	412

C80159	30/04/2011	124482	I	CI/1	1672.000	Effluent Design Workshops - Job 68308 - Delivery 11 Apr 2011 - 10 grams.   Includes Linehaul.	0.0897	0.1032	149.978	Effluent Design Workshops	S	22.50	I	233

C80160	30/04/2011	125030	I	CI/1	1194.000	HR Workshops Temuka/Rakaia - Job 68389 - Delivery IOA - 10 grams.   Includes Linehaul.	0.1256	0.1444	149.966	HR Workshops Temuka/Rakaia	S	22.50	I	233

C80161	30/04/2011	124906	I	CI/1	932.000	Localink - Job 68357 - Delivery 18 Apr 2011 - 10 grams.   	0.1609	0.1850	149.959	Localink	S	22.49	I	233

C80162	30/04/2011	124829	I	CI/1	2380.000	Northland Roadshow - Job 68346 - Delivery 12 Apr 2011 - 10 grams.   	0.0749	0.0861	178.262	Northland Roadshow	S	26.74	I	233

C80163	30/04/2011	124946	I	CI/1	1993.000	Opotiki/Waimana Effluent Field Day - Job 68394 - Delivery 28 Apr 2011 - 10 grams.   	0.0753	0.0866	150.073	Opotiki/Waimana Effluent Field Day	S	22.51	I	233

C80164	30/04/2011	124921	I	CI/1	230.000	Richmond Downs Discussion Group - Job 68368 - Delivery 19 Apr 2011 - 10 grams.   	0.0652	0.0750	14.996	Richmond Downs Discussion Group	S	2.25	I	233

C80165	30/04/2011	124922	I	CI/1	730.000	Te Poi/Okoroire Discussion Group - Job 68369 - Delivery 19 Apr 2011 - 10 grams.   	0.2055	0.2363	150.015	Te Poi/Okoroire Discussion Group	S	22.50	I	233

C80166	30/04/2011	124984	I	CI/1	197.000	Telford Dairy Farm Open Day - Job 68372 - Delivery 26 Apr 2011 - 10 grams.   Includes Linehaul.	0.7614	0.8756	149.996	Telford Dairy Farm Open Day	S	22.50	I	233

C80167	30/04/2011	125004	I	CI/1	1056.000	WC Profitability Seminar - Job 68375 - Delivery 26 Apr 2011 - 10 grams.   	0.1420	0.1633	149.952	WC Profitability Seminar	S	22.49	I	233

C80168	30/04/2011	124829	I	CI/1	477.000	Whangarei South Flyer - Job 68350 - Delivery 12 Apr 2011 - 10 grams.   	0.0749	0.0861	35.727	Whangarei South Flyer	S	5.36	I	233

C80169	30/04/2011	124990	I	CI/1	1126.000	Whangarei West Events - Job 68373 - Delivery 13 Apr 2011 - 10 grams.   	0.1332	0.1532	149.983	Whangarei West Events	S	22.50	I	233

C80170	30/04/2011		I	CI/1	1269.000	Elders Newsletter - Job 68339 - Delivery IOA - 10 grams.   	0.1182	0.1359	149.996	Elders Newsletter	S	22.50	I	329

C80171	30/04/2011		I	CI/1	3065.000	Dargaville District News - Job 67925 - Delivery 06 Apr 2011 - 45 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
C80171	30/04/2011		I	CI/2	3065.000	Dargaville District News - Job 68175 - Delivery 13 Apr 2011 - 45 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
