ContactName,InvoiceNumber,Reference,InvoiceDate,DueDate,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TrackingName1,TrackingOption1
C-Dax Limited,C83582,,2012-11-11,2012-12-20,C-Dax Flyer - Job 73751 - Delivery IOA - 10 grams.    Boxholder Type: Farmers. Includes Linehaul.,87.275,74.4,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83583,2448653,2012-11-11,2012-12-20,Amuri Pest News Flyer - Job 73540 - Delivery 06 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.725,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83584,2449931,2012-11-11,2012-12-20,Armistice In Cambridge - Job 73771 - Delivery 07 Nov 2012 - 10 grams.    Boxholder Type: Total. ,5.163,52,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83585,2448654,2012-11-11,2012-12-20,Ashley Pest News Flyer - Job 73542 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,6.554,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83586,2448512,2012-11-11,2012-12-20,ATS In Season Catalogue - Job 73537 - Delivery 05 Nov 2012 - 20 grams.    Boxholder Type: Farmers. Includes Linehaul.,10.003,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83587,2449632,2012-11-11,2012-12-20,Barfoot West Auckland - Job 73786 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,4.107,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83588,2449946,2012-11-11,2012-12-20,Bed Bath and Beyond - Job 73785 - Delivery 06 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,55.463,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83589,2448677,2012-11-11,2012-12-20,Bedstop Auckland - Job 73530 - Delivery 06 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.867,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83590,2448758,2012-11-11,2012-12-20,Bedstop Northland  - Job 73533 - Delivery 06 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,2.61,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83591,2448311,2012-11-11,2012-12-20,Big Save - Job 73345 - Delivery 06 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,20.187,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83592,2450156,2012-11-11,2012-12-20,Bike Barn  - Job 73846 - Delivery 05 Nov 2012 - 0 grams.    Boxholder Type: Total. Includes Linehaul.,3.215,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83593,2448843,2012-11-11,2012-12-20,Bond and Bond - Job 73524 - Delivery 06 Nov 2012 - 50 grams.    Boxholder Type: Total. Includes Linehaul.,5.67,59.7,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83594,2449082,2012-11-11,2012-12-20,Briscoes - Job 73638 - Delivery 05 Nov 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,36.501,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83595,2449625,2012-11-11,2012-12-20,Carpet One - Job 73770 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,40.403,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83596,2448462,2012-11-11,2012-12-20,Clendon/Southmall New World - Job 73408 - Delivery 03 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.371,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83597,2448465,2012-11-11,2012-12-20,Clendon/Southmall New World - Job 73409 - Delivery 10 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.371,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83598,2449048,2012-11-11,2012-12-20,Curtain Studio - Job 73633 - Delivery 06 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,20.684,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83599,2449154,2012-11-11,2012-12-20,DTR Tokoroa - Job 73689 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.457,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83600,2449305,2012-11-11,2012-12-20,Electronics Plus Te Puke Jaycar - Job 73682 - Delivery 06 Nov 2012 - 16 grams.    Boxholder Type: Total. Includes Linehaul.,2.64,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83601,2449009,2012-11-11,2012-12-20,eLocal - Job 73645 - Delivery 05 Nov 2012 - 182 grams.    Boxholder Type: Total. Includes Linehaul.,2.215,91.9,,100,15% GST on income,Division,Circulars
,C83601,2449009,2012-11-11,2012-12-20,eLocal - Job 73647 - Delivery 05 Nov 2012 - 182 grams.    Boxholder Type: Lifestyle. Includes Linehaul.,4.115,91.9,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83602,2450183,2012-11-11,2012-12-20,Fishing Camping and Outdoors - Job 73848 - Delivery 07 Nov 2012 - 250 grams.    Boxholder Type: Total. Includes Linehaul.,60.62,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83603,,2012-11-11,2012-12-20,Four Square Northern - Job 73252 - Delivery 03 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,55.156,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83604,2450008,2012-11-11,2012-12-20,Four Square Northern - Job 73253 - Delivery 10 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,55.156,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83605,,2012-11-11,2012-12-20,Four Square Southern - Job 73773 - Delivery 03 Nov 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,41.942,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83606,2450021,2012-11-11,2012-12-20,Four Square Southern - Job 73774 - Delivery 10 Nov 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,41.942,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83607,,2012-11-11,2012-12-20,Furniture 2 Go Warkworth - Job 73899 - Delivery 07 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,8.099,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83608,2447838,2012-11-11,2012-12-20,Germinal Seeds Ohai - Job 73280 - Delivery IOA - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.015,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83609,2449353,2012-11-11,2012-12-20,Goldpine Neds Sheds - Job 73711 - Delivery 05 Nov 2012 - 100 grams.    Boxholder Type: Total. Includes Linehaul.,17.653,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83610,2448038,2012-11-11,2012-12-20,Heathcote Appliances - Job 73302 - Delivery 06 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,15.132,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83611,2448799,2012-11-11,2012-12-20,Highlanders Rugby Sealed Envelope - Job 73548 - Delivery IOA - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.108,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83612,2449036,2012-11-11,2012-12-20,Hunters Furniture LaZBoy Mailer - Job 73631 - Delivery 01 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,10.825,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83613,2449670,2012-11-11,2012-12-20,Hustler Walker - Job 73789 - Delivery 03 Nov 2012 - 75 grams.    Boxholder Type: Total. Includes Linehaul.,9.387,75.6,,100,15% GST on income,Division,Circulars
,C83613,2449670,2012-11-11,2012-12-20,Hustler Walker - Job 73790 - Delivery 10 Nov 2012 - 75 grams.    Boxholder Type: Total. Includes Linehaul.,7.795,75.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83614,2449415,2012-11-11,2012-12-20,Jaycar Boonen Electronics  - Job 73685 - Delivery 06 Nov 2012 - 15 grams.    Boxholder Type: Total. Includes Linehaul.,5.835,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83615,,2012-11-11,2012-12-20,JB Hi Fi  - Job 73954 - Delivery 06 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,2.335,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83616,2458656,2012-11-11,2012-12-20,Kaikoura Pest News Flyer - Job 73546 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.468,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83617,2448940,2012-11-11,2012-12-20,Kowhai Dental - Job 73626 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. ,3.62,52,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83618,2448658,2012-11-11,2012-12-20,Kurow/Sth Canty Pest News - Job 73547 - Delivery IOA - 10 grams.    Boxholder Type: Total. Includes Linehaul.,5.879,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83619,2448122,2012-11-11,2012-12-20,Lewis Home Fabrics - Job 73359 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,4.169,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83620,2448142,2012-11-11,2012-12-20,Lewis Home Fabrics - Job 73385 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,4.169,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83621,2449251,2012-11-11,2012-12-20,Music Works - Job 73717 - Delivery 06 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,91.995,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83622,2449458,2012-11-11,2012-12-20,New World Northern - Job 73719 - Delivery 03 Nov 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,81.309,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83623,2449993,2012-11-11,2012-12-20,New World Northern - Job 73809 - Delivery 10 Nov 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,81.309,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83624,,2012-11-11,2012-12-20,New World Southern - Job 73772 - Delivery 03 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,56.968,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83625,2450022,2012-11-11,2012-12-20,New World Southern - Job 73778 - Delivery 10 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,56.968,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83626,2448912,2012-11-11,2012-12-20,Noel Leeming - Job 73625 - Delivery 06 Nov 2012 - 30 grams.    Boxholder Type: Total. Includes Linehaul.,97.133,59.7,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83627,2449610,2012-11-11,2012-12-20,Noel Leeming Te Awamutu - Job 73764 - Delivery 06 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,5.208,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83628,2448520,2012-11-11,2012-12-20,North West Valley Voice - Job 73539 - Delivery 05 Nov 2012 - 66 grams.    Boxholder Type: Total. Includes Linehaul.,10.327,75.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83629,2449715,2012-11-11,2012-12-20,Our Christchurch - Job 73795 - Delivery 03 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.38,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83630,2448226,2012-11-11,2012-12-20,Pharmacy First - Job 73390 - Delivery IOA - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.43,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83631,2449355,2012-11-11,2012-12-20,PK Furniture  - Job 73714 - Delivery 06 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,15.291,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83632,,2012-11-11,2012-12-20,Postie Plus - Job 73840 - Delivery 06 Nov 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,110.696,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83633,,2012-11-11,2012-12-20,Postie Plus Silverdale - Job 73797 - Delivery 06 Nov 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,2.597,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83634,2449517,2012-11-11,2012-12-20,Queenstown Summer Fest - Job 73762 - Delivery 07 Nov 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.522,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83635,2449224,2012-11-11,2012-12-20,Ryman Healthcare - Job 73694 - Delivery 05 Nov 2012 - 10 grams.    Boxholder Type: Total. ,2.41,52,,100,15% GST on income,Division,Circulars
