Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10983	31/01/2009		I	CI/1	2991.000	Cambridge Property Guide - Job 8887 - Delivery 14 Jan 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C10983	31/01/2009		I		0.000	Cambridge Property Guide - Job 8887 - Delivery 14 Jan 2009 - 80 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Cambridge Property Guide	S	0.00	I	106
C10983	31/01/2009		I	CI/2	2991.000	Cambridge Property Guide - Job 9132 - Delivery 21 Jan 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C10983	31/01/2009		I		0.000	Cambridge Property Guide - Job 9132 - Delivery 21 Jan 2009 - 80 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Cambridge Property Guide	S	0.00	I	106
C10983	31/01/2009		I	CI/3	2991.000	Cambridge Property Guide - Job 9133 - Delivery 28 Jan 2009 - 80 grams. Includes folding fee 0.0100 cents. 	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C10983	31/01/2009		I		0.000	Cambridge Property Guide - Job 9133 - Delivery 28 Jan 2009 - 80 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Cambridge Property Guide	S	0.00	I	106

C10984	31/01/2009		I	CI/1	2000.000	Eastside Community News - Job 9346 - Delivery 29 Jan 2009 - 30 grams. Includes folding fee 0.0100 cents. 	0.0756	0.0851	151.200	Eastside Community News	S	18.90	I	106
C10984	31/01/2009		I		0.000	Eastside Community News - Job 9346 - Delivery 29 Jan 2009 - 30 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Eastside Community News	S	0.00	I	106

C10985	31/01/2009	Gay Hubbard	I	CI/1	6000.000	Hamilton This Week - Job 8900 - Delivery 08 Jan 2009 - 35 grams. Includes folding fee 0.0100 cents. 	0.0756	0.0851	453.600	Hamilton This Week	S	56.70	I	106
C10985	31/01/2009	Gay Hubbard	I		0.000	Hamilton This Week - Job 8900 - Delivery 08 Jan 2009 - 35 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Hamilton This Week	S	0.00	I	106
C10985	31/01/2009	Gay Hubbard	I	CI/2	6000.000	Hamilton This Week - Job 8901 - Delivery 15 Jan 2009 - 40 grams. Includes folding fee 0.0100 cents. 	0.0756	0.0851	453.600	Hamilton This Week	S	56.70	I	106
C10985	31/01/2009	Gay Hubbard	I		0.000	Hamilton This Week - Job 8901 - Delivery 15 Jan 2009 - 40 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Hamilton This Week	S	0.00	I	106
C10985	31/01/2009	Gay Hubbard	I	CI/3	6000.000	Hamilton This Week - Job 9114 - Delivery 22 Jan 2009 - 65 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106
C10985	31/01/2009	Gay Hubbard	I		0.000	Hamilton This Week - Job 9114 - Delivery 22 Jan 2009 - 65 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Hamilton This Week	S	0.00	I	106
C10985	31/01/2009	Gay Hubbard	I	CI/4	6000.000	Hamilton This Week - Job 9115 - Delivery 29 Jan 2009 - 100 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106
C10985	31/01/2009	Gay Hubbard	I		0.000	Hamilton This Week - Job 9115 - Delivery 29 Jan 2009 - 100 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Hamilton This Week	S	0.00	I	106

C10986	31/01/2009	10434	I	CI/1	1922.000	Rural Advocate - Job 9170 - Delivery 20 Jan 2009 - 175 grams.  	0.0910	0.1024	174.902	Rural Advocate	S	21.86	I	106
C10986	31/01/2009	10434	I		0.000	Rural Advocate - Job 9170 - Delivery 20 Jan 2009 - 175 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Rural Advocate	S	0.00	I	106

C10987	31/01/2009		I	CI/1	3505.000	Te Puke Times - Job 8893 - Delivery 07 Jan 2009 - 65 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C10987	31/01/2009		I		0.000	Te Puke Times - Job 8893 - Delivery 07 Jan 2009 - 65 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Te Puke Times	S	0.00	I	106
C10987	31/01/2009		I	CI/2	3505.000	Te Puke Times - Job 8894 - Delivery 14 Jan 2009 - 70 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C10987	31/01/2009		I		0.000	Te Puke Times - Job 8894 - Delivery 14 Jan 2009 - 70 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Te Puke Times	S	0.00	I	106
C10987	31/01/2009		I	CI/3	3505.000	Te Puke Times - Job 9134 - Delivery 21 Jan 2009 - 50 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C10987	31/01/2009		I		0.000	Te Puke Times - Job 9134 - Delivery 21 Jan 2009 - 50 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Te Puke Times	S	0.00	I	106
C10987	31/01/2009		I	CI/4	3505.000	Te Puke Times - Job 9135 - Delivery 28 Jan 2009 - 75 grams.  	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C10987	31/01/2009		I		0.000	Te Puke Times - Job 9135 - Delivery 28 Jan 2009 - 75 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Te Puke Times	S	0.00	I	106

C10988	31/01/2009	Whakatane/Opotiki	I	CI/1	1929.000	Cards - Arcadia Mkting - Job 9167 - Delivery 14 Jan 2009 - 10 grams.  	0.0749	0.0843	144.482	Cards - Arcadia Mkting	S	18.06	I	107
C10988	31/01/2009	Whakatane/Opotiki	I		0.000	Cards - Arcadia Mkting - Job 9167 - Delivery 14 Jan 2009 - 10 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Cards - Arcadia Mkting	S	0.00	I	107

C10989	31/01/2009		I	CI/1	41481.000	Rural Living - Job 8766 - Delivery 19 Jan 2009 - 106 grams.  	0.1103	0.1241	4575.354	Rural Living	S	571.92	I	256
C10989	31/01/2009		I		0.000	Rural Living - Job 8766 - Delivery 19 Jan 2009 - 106 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Rural Living	S	0.00	I	256

C10990	31/01/2009		I	CI/1	81296.000	NZ Farmers Weekly - Job 9001 - Delivery 12 Jan 2009 - 85 grams. Includes folding fee 0.0100 cents. 	0.1195	0.1344	9714.872	NZ Farmers Weekly	S	1214.36	I	124
C10990	31/01/2009		I		6198.000	NZ Farmers Weekly - Job 9001 - Delivery 12 Jan 2009 - 85 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	NZ Farmers Weekly	S	0.00	I	124
C10990	31/01/2009		I	CI/2	81296.000	NZ Farmers Weekly - Job 9156 - Delivery 19 Jan 2009 - 102 grams. Includes folding fee 0.0100 cents. 	0.1480	0.1665	12031.808	NZ Farmers Weekly	S	1503.98	I	124
C10990	31/01/2009		I		6198.000	NZ Farmers Weekly - Job 9156 - Delivery 19 Jan 2009 - 102 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	NZ Farmers Weekly	S	0.00	I	124
C10990	31/01/2009		I	CI/3	81296.000	NZ Farmers Weekly - Job 9157 - Delivery 26 Jan 2009 - 95 grams. Includes folding fee 0.0100 cents. 	0.1195	0.1344	9714.872	NZ Farmers Weekly	S	1214.36	I	124
C10990	31/01/2009		I		6198.000	NZ Farmers Weekly - Job 9157 - Delivery 26 Jan 2009 - 95 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	NZ Farmers Weekly	S	0.00	I	124

C10991	31/01/2009	AD #25670	I	CI/1	19155.000	NZFW CW Great NZ Trek Charitable Trust - Job 9060 - Delivery 12 Jan 2009 - 20 grams.  	0.0910	0.1024	1743.105	NZFW CW Great NZ Trek Charitable Trust	S	217.89	I	124
C10991	31/01/2009	AD #25670	I		0.000	NZFW CW Great NZ Trek Charitable Trust - Job 9060 - Delivery 12 Jan 2009 - 20 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	NZFW CW Great NZ Trek Charitable Trust	S	0.00	I	124

C10992	31/01/2009	112689	I	CI/1	1099.000	Louise Local Link Jan 2009 - Job 9214 - Delivery 28 Jan 2009 - 10 grams.  	0.0883	0.0993	97.042	Louise Local Link Jan 2009	S	12.13	I	233
C10992	31/01/2009	112689	I		0.000	Louise Local Link Jan 2009 - Job 9214 - Delivery 28 Jan 2009 - 10 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Louise Local Link Jan 2009	S	0.00	I	233

C10993	31/01/2009	112568	I	CI/1	1053.000	Practical Effluent Field Day - Job 9120 - Delivery IOA - 10 grams.  	0.0749	0.0843	78.870	Practical Effluent Field Day	S	9.86	I	233
C10993	31/01/2009	112568	I		0.000	Practical Effluent Field Day - Job 9120 - Delivery IOA - 10 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Practical Effluent Field Day	S	0.00	I	233

C10994	31/01/2009		I	CI/1	996.000	Elders Livestock - Job 9190 - Delivery IOA - 5 grams.  	0.0856	0.0963	85.258	Elders Livestock	S	10.66	I	269
C10994	31/01/2009		I		0.000	Elders Livestock - Job 9190 - Delivery IOA - 5 grams. Bags Boxes and Counter	0.0000	0.0000	0.000	Elders Livestock	S	0.00	I	269

