Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10145	31/07/2008		I	CI/1	2991	Cambridge Property Guide - Job 7508 - Delivery 02 Jul 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10145	31/07/2008		I	CI/2	2991	Cambridge Property Guide - Job 7509 - Delivery 09 Jul 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10145	31/07/2008		I	CI/3	2991	Cambridge Property Guide - Job 7510 - Delivery 16 Jul 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10145	31/07/2008		I	CI/4	2991	Cambridge Property Guide - Job 7511 - Delivery 23 Jul 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10145	31/07/2008		I	CI/5	2991	Cambridge Property Guide - Job 7512 - Delivery 30 Jul 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10145	31/07/2008		I	FS	1196.4	Fuel Surcharge	7	7.88	8374.8	9421.65	Cambridge Property Guide	S	1046.85	I	106

C10146	31/07/2008	Gay Hubbard	I	CI/1	2000	Eastside Community News - Job 6947 - Delivery 04 Jul 2008 - 0 grams	0.0713	0.0802	142.6	160.425	Eastside Community News	S	17.83	I	106
C10146	31/07/2008	Gay Hubbard	I	FS	142.6	Fuel Surcharge	7	7.88	998.2	1122.98	Eastside Community News	S	124.78	I	106

C10147	31/07/2008	Gay Hubbard	I	CI/1	6000	Hamilton This Week - Job 7518 - Delivery 03 Jul 2008 - 0 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10147	31/07/2008	Gay Hubbard	I	CI/2	6000	Hamilton This Week - Job 7519 - Delivery 10 Jul 2008 - 0 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10147	31/07/2008	Gay Hubbard	I	CI/3	6000	Hamilton This Week - Job 7520 - Delivery 17 Jul 2008 - 0 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10147	31/07/2008	Gay Hubbard	I	CI/4	6000	Hamilton This Week - Job 7521 - Delivery 24 Jul 2008 - 0 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10147	31/07/2008	Gay Hubbard	I	CI/5	6000	Hamilton This Week - Job 7522 - Delivery 31 Jul 2008 - 0 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10147	31/07/2008	Gay Hubbard	I	FS	2139	Fuel Surcharge	7	7.88	14973	16844.63	Hamilton This Week	S	1871.63	I	106

C10148	31/07/2008		I	CI/1	2595	Lawrences FLyer - Job 7385 - Delivery 04 Jul 2008 - 25 grams	0.0713	0.0802	185.024	208.152	Lawrences FLyer	S	23.13	I	106
C10148	31/07/2008		I	FS	185.024	Fuel Surcharge	7	7.88	1295.17	1457.07	Lawrences FLyer	S	161.9	I	106

C10149	31/07/2008		I	CI/1	8100	Northern Advocate - Job 7611 - Delivery 21 Jul 2008 - 205 grams	0.13	0.1463	1053	1184.625	Northern Advocate	S	131.63	I	106
C10149	31/07/2008		I	FS	1053	Fuel Surcharge	7	7.88	7371	8292.38	Northern Advocate	S	921.38	I	106

C10150	31/07/2008		I	CI/1	3505	Te Puke Times - Job 7840 - Delivery 30 Jul 2008 - 110 grams	0.09	0.1012	315.45	354.881	Te Puke Times	S	39.43	I	106
C10150	31/07/2008		I	CI/2	3505	Te Puke Times - Job 7515 - Delivery 16 Jul 2008 - 95 grams	0.08	0.09	280.4	315.45	Te Puke Times	S	35.05	I	106
C10150	31/07/2008		I	CI/3	3505	Te Puke Times - Job 7516 - Delivery 23 Jul 2008 - 170 grams	0.095	0.1069	332.975	374.597	Te Puke Times	S	41.62	I	106
C10150	31/07/2008		I	CI/4	3505	Te Puke Times - Job 7513 - Delivery 02 Jul 2008 - 150 grams	0.095	0.1069	332.975	374.597	Te Puke Times	S	41.62	I	106
C10150	31/07/2008		I	CI/5	3505	Te Puke Times - Job 7514 - Delivery 09 Jul 2008 - 80 grams	0.08	0.09	280.4	315.45	Te Puke Times	S	35.05	I	106
C10150	31/07/2008		I	FS	1542.2	Fuel Surcharge	7	7.88	10795.4	12144.83	Te Puke Times	S	1349.43	I	106

C10151	31/07/2008		I	CI/1	1105	FLM Sth Waikato Maps - Job 6779 - Delivery IOA - 100 grams	0.1	0.1125	110.5	124.313	FLM Sth Waikato Maps	S	13.81	I	107
C10151	31/07/2008		I	FS	110.5	Fuel Surcharge	7	7.88	773.5	870.19	FLM Sth Waikato Maps	S	96.69	I	107

C10152	31/07/2008		I	CI/1	1908	Wairarapa Post Cards - Job 7705 - Delivery IOA - 10 grams	0.07	0.0788	133.56	150.255	Wairarapa Post Cards	S	16.69	I	107
C10152	31/07/2008		I	FS	133.56	Fuel Surcharge	7	7.88	934.92	1051.78	Wairarapa Post Cards	S	116.86	I	107

C10153	31/07/2008		I	CI/1	3805	Peter Barnett Rural Newsletter - Job 7565 - Delivery IOA - 15 grams	0.085	0.0956	323.425	363.853	Peter Barnett Rural Newsletter	S	40.43	I	111
C10153	31/07/2008		I	FS	323.425	Fuel Surcharge	7	7.88	2263.98	2546.98	Peter Barnett Rural Newsletter	S	283	I	111

C10154	31/07/2008		I	CI/1	1000	Bill Milham Rural Cards - Job 7602 - Delivery IOA - 5 grams	0.085	0.0956	85	95.625	Bill Milham Rural Cards	S	10.63	I	114
C10154	31/07/2008		I	FS	85	Fuel Surcharge	7	7.88	595	669.38	Bill Milham Rural Cards	S	74.38	I	114

C10155	31/07/2008		I	CI/1	84601	C-Dax July Flyer - Job 7555 - Delivery IOA - 10 grams	0.06	0.0675	5076.06	5710.568	C-Dax July Flyer	S	634.51	I	116
C10155	31/07/2008		I	CI/2	25943	C-Dax Mid July Dairy Flyer - Job 7541 - Delivery IOA - 10 grams	0.06	0.0675	1556.58	1751.153	C-Dax Mid July Dairy Flyer	S	194.57	I	116
C10155	31/07/2008		I	FS	6632.64	Fuel Surcharge	7	7.88	46428.48	52232.04	C-Dax Mid July Dairy Flyer	S	5803.56	I	116

C10156	31/07/2008		I	CI/1	1340	Central Excavation Flyer - Job 7704 - Delivery IOA - 25 grams	0.07	0.0788	93.8	105.525	Central Excavation Flyer	S	11.73	I	118
C10156	31/07/2008		I	FS	93.8	Fuel Surcharge	7	7.88	656.6	738.68	Central Excavation Flyer	S	82.08	I	118

C10157	31/07/2008		I	CI/1	1540	Concrete Grooving FLyer - Job 7551 - Delivery 08 Jul 2008 - 5 grams	0.085	0.0956	130.9	147.263	Concrete Grooving FLyer	S	16.36	I	234
C10157	31/07/2008		I	FS	130.9	Fuel Surcharge	7	7.88	916.3	1030.84	Concrete Grooving FLyer	S	114.54	I	234

C10158	31/07/2008		I	CI/1	75684	NZ FARMERS WEEKLY - Job 7544 - Delivery 07 Jul 2008 - 81 grams	0.072	0.081	5449.248	6130.404	NZ FARMERS WEEKLY	S	681.16	I	124
C10158	31/07/2008		I	CI/2	75684	NZ FARMERS WEEKLY - Job 7571 - Delivery 14 Jul 2008 - 105 grams	0.0875	0.0984	6622.35	7450.144	NZ FARMERS WEEKLY	S	827.79	I	124
C10158	31/07/2008		I	CI/3	75684	NZ FARMERS WEEKLY - Job 7572 - Delivery 21 Jul 2008 - 84 grams	0.072	0.081	5449.248	6130.404	NZ FARMERS WEEKLY	S	681.16	I	124
C10158	31/07/2008		I	CI/4	75684	NZ FARMERS WEEKLY - Job 7573 - Delivery 28 Jul 2008 - 83 grams	0.072	0.081	5449.248	6130.404	NZ FARMERS WEEKLY	S	681.16	I	124
C10158	31/07/2008		I	FS	22970.094	Fuel Surcharge	7	7.88	160790.66	180889.49	NZ FARMERS WEEKLY	S	20098.83	I	124

C10159	31/07/2008		I	CI/1	0	South Island - Job 7816 - Delivery 31 Jul 2008 - 0 grams	0	0	0	0	South Island	S	0	I	

C10160	31/07/2008	110354	I	CI/1	300	Farm Enviro Walk - Job 7596 - Delivery IOA - 5 grams	0.2833	0.3187	84.99	95.614	Farm Enviro Walk	S	10.62	I	233
C10160	31/07/2008	110354	I	FS	84.99	Fuel Surcharge	7	7.88	594.93	669.3	Farm Enviro Walk	S	74.37	I	233

C10161	31/07/2008	110175	I	CI/1	419	Grey Valley Farm Systems GRP - Job 7416 - Delivery IOA - 5 grams	0.2029	0.2283	85.015	95.642	Grey Valley Farm Systems GRP	S	10.63	I	233
C10161	31/07/2008	110175	I	FS	85.015	Fuel Surcharge	7	7.88	595.11	669.5	Grey Valley Farm Systems GRP	S	74.39	I	233

C10162	31/07/2008	110378	I	CI/1	1171	Local Link - James Mwendwa - Job 7601 - Delivery IOA - 5 grams	0.085	0.0956	99.535	111.977	Local Link - James Mwendwa	S	12.44	I	233
C10162	31/07/2008	110378	I	FS	99.535	Fuel Surcharge	7	7.88	696.75	783.84	Local Link - James Mwendwa	S	87.09	I	233

