Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C22291	31/05/2010		I	CI/1	2275.000	Farmlands - Job 65592 - Delivery 25 May 2010 - 15 grams.   	0.0749	0.0843	170.397	Farmlands	S	21.30	I	290

C22292	31/05/2010		I	CI/1	10183.000	AgMax Flyer - Job 65777 - Delivery 25 May 2010 - 5 grams.   Includes Linehaul.	0.0883	0.0993	899.159	AgMax Flyer	S	112.39	I	103

C22293	31/05/2010		I	CI/1	2991.000	Cambridge Property Guide - Job 65328 - Delivery 05 May 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C22293	31/05/2010		I	CI/2	2991.000	Cambridge Property Guide - Job 65628 - Delivery 12 May 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C22293	31/05/2010		I	CI/3	2991.000	Cambridge Property Guide - Job 65629 - Delivery 19 May 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C22293	31/05/2010		I	CI/4	2991.000	Cambridge Property Guide - Job 65630 - Delivery 26 May 2010 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C22294	31/05/2010	Gay Hubbard	I	CI/1	2220.000	Hamilton News - Job 65333 - Delivery 06 May 2010 - 60 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton News	S	23.81	I	106
C22294	31/05/2010	Gay Hubbard	I	CI/2	2220.000	Hamilton News - Job 65624 - Delivery 13 May 2010 - 50 grams. Includes folding fee 0.0100 cents.  	0.0756	0.0851	167.832	Hamilton News	S	20.98	I	106
C22294	31/05/2010	Gay Hubbard	I	CI/3	2220.000	Hamilton News - Job 65625 - Delivery 20 May 2010 - 70 grams. Includes folding fee 0.0100 cents.  	0.0858	0.0965	190.476	Hamilton News	S	23.81	I	106
