Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C82611	31/07/2012		I	CI/1	985.000	AC Petfoods Flyer - Job 72407 - Delivery IOA - 10 grams.   	0.1523	0.1751	150.02	172.52	AC Petfoods Flyer	S	22.50	I	100

C82612	31/07/2012		I	CI/1	8178.000	AC Petfoods Mailout - Job 72353 - Delivery IOA - 20 grams.   	0.0824	0.0948	673.87	774.95	AC Petfoods Mailout	S	101.08	I	100

C82613	31/07/2012		I	CI/1	2959.000	Feedsmsrt 2 Workshop - Job 72149 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	287.32	330.42	Feedsmsrt 2 Workshop	S	43.10	I	340

C82614	31/07/2012		I	CI/1	2180.000	Cambridge Property Guide - Job 72048 - Delivery 04 Jul 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106
C82614	31/07/2012		I	CI/2	2180.000	Cambridge Property Guide - Job 72049 - Delivery 11 Jul 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106
C82614	31/07/2012		I	CI/3	2180.000	Cambridge Property Guide - Job 72217 - Delivery 18 Jul 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106
C82614	31/07/2012		I	CI/4	2180.000	Cambridge Property Guide - Job 72218 - Delivery 25 Jul 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	106

C82615	31/07/2012	10455	I	CI/1	8092.000	Rural Advocate - Job 72132 - Delivery 18 Jul 2012 - 111 grams. Includes folding fee 0.0100 cents.  	0.1020	0.1173	825.38	949.19	Rural Advocate	S	123.81	I	106

C82616	31/07/2012		I	CI/1	3270.000	Te Puke Times - Job 71858 - Delivery 05 Jul 2012 - 82 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	106
C82616	31/07/2012		I	CI/2	3270.000	Te Puke Times - Job 72221 - Delivery 12 Jul 2012 - 70 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	106
C82616	31/07/2012		I	CI/3	3270.000	Te Puke Times - Job 72222 - Delivery 19 Jul 2012 - 70 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	106
C82616	31/07/2012		I	CI/4	3270.000	Te Puke Times - Job 72223 - Delivery 26 Jul 2012 - 76 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	106

C82617	31/07/2012	Marlborough	I	CI/1	1095.000	Reply Paid Cards - Job 72365 - Delivery 20 Jul 2012 - 10 grams.   	0.1370	0.1576	150.02	172.52	Reply Paid Cards	S	22.50	I	107

C82618	31/07/2012	Wairarapa	I	CI/1	2025.000	Reply Paid Cards - Job 72366 - Delivery 20 Jul 2012 - 10 grams.   	0.0824	0.0948	166.86	191.89	Reply Paid Cards	S	25.03	I	107

C82619	31/07/2012		I	CI/1	1023.000	Bayleys Magazine - Job 72367 - Delivery 19 Jul 2012 - 400 grams.   	0.1466	0.1686	149.97	172.47	Bayleys Magazine	S	22.50	I	111

C82620	31/07/2012		I	CI/1	1618.000	BRIG Fielday Flyer - Job 72191 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0927	0.1066	149.99	172.49	BRIG Fielday Flyer	S	22.50	I	427

C82621	31/07/2012		I	CI/1	600.000	Taihape Farmer Meeting - Job 72402 - Delivery IOA - 10 grams.   Includes Linehaul.	0.2500	0.2875	150.00	172.50	Taihape Farmer Meeting	S	22.50	I	427

C82622	31/07/2012		I	CI/1	4785.000	Bayleys Flyer - Job 72388 - Delivery 24 Jul 2012 - 10 grams.   Includes Linehaul.	0.0824	0.0948	394.28	453.42	Bayleys Flyer	S	59.14	I	114

C82623	31/07/2012		I	CI/1	9057.000	ProCalf Flyer - Job 72387 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	879.43	1011.34	ProCalf Flyer	S	131.91	I	273

C82624	31/07/2012		I	CI/1	14828.000	Rural Living  - Job 72226 - Delivery 30 Jul 2012 - 75 grams.   Includes Linehaul.	0.0996	0.1145	1476.87	1698.40	Rural Living 	S	221.53	I	256

C82625	31/07/2012		I	CI/1	87500.000	C-Dax  - Job 72368 - Delivery IOA - 15 grams.   Includes Linehaul.	0.0744	0.0856	6510.00	7486.50	C-Dax 	S	976.50	I	116

C82626	31/07/2012		I	CI/1	0.000	Test - Job 72427 - Delivery 30 Jul 2012 - 0 grams.  Includes discount of 1.0 %. 	0.0000	0.0000	0.00	0.00	Test	S	0.00	I	296

C82627	31/07/2012		I	CI/1	775.000	CRT West Coast Mailing - Job 72157 - Delivery 05 Jul 2012 - 10 grams.   Includes Linehaul.	0.1935	0.2225	149.96	172.45	CRT West Coast Mailing	S	22.49	I	125

C82628	31/07/2012	132618	I	CI/1	606.000	SFF Flyer - Job 72181 - Delivery 09 Jul 2012 - 20 grams.   	0.2475	0.2846	149.99	172.49	SFF Flyer	S	22.50	I	233

C82629	31/07/2012		I	CI/1	12981.000	Dom Health Flyer - Job 72143 - Delivery 05 Jul 2012 - 10 grams.   Includes Linehaul.	0.0971	0.1117	1260.46	1449.53	Dom Health Flyer	S	189.07	I	500

C82630	31/07/2012		I	CI/1	7031.000	More-Mag Flyer - Job 72404 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	682.71	785.12	More-Mag Flyer	S	102.41	I	500

C82631	31/07/2012		I	CI/1	8956.000	Exclusively Franklin - Job 72195 - Delivery IOA - 60 grams. Includes folding fee 0.0100 cents.  	0.1020	0.1173	913.51	1050.54	Exclusively Franklin	S	137.03	I	376

C82632	31/07/2012		I	CI/1	3065.000	Dargaville District News - Job 71865 - Delivery 04 Jul 2012 - 45 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	268.19	308.42	Dargaville District News	S	40.23	I	141
C82632	31/07/2012		I	CI/2	3065.000	Dargaville District News - Job 71866 - Delivery 11 Jul 2012 - 45 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	268.19	308.42	Dargaville District News	S	40.23	I	141
C82632	31/07/2012		I	CI/3	3065.000	Dargaville District News - Job 72227 - Delivery 18 Jul 2012 - 55 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	302.21	347.54	Dargaville District News	S	45.33	I	141
C82632	31/07/2012		I	CI/4	3065.000	Dargaville District News - Job 72228 - Delivery 25 Jul 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	302.21	347.54	Dargaville District News	S	45.33	I	141

C82633	31/07/2012		I	CI/1	7920.000	Whangarei Leader - Job 71870 - Delivery 03 Jul 2012 - 61 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	457
C82633	31/07/2012		I	CI/2	7920.000	Whangarei Leader - Job 72231 - Delivery 10 Jul 2012 - 70 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	457
C82633	31/07/2012		I	CI/3	7920.000	Whangarei Leader - Job 72232 - Delivery 17 Jul 2012 - 61 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	457
C82633	31/07/2012		I	CI/4	7920.000	Whangarei Leader - Job 72233 - Delivery 24 Jul 2012 - 93 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	457
C82633	31/07/2012		I	CI/5	7920.000	Whangarei Leader - Job 72234 - Delivery 31 Jul 2012 - 51 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	457

C82634	31/07/2012		I	CI/1	3940.000	Cambridge Edition - Job 71883 - Delivery 04 Jul 2012 - 70 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	388.48	446.75	Cambridge Edition	S	58.27	I	389
C82634	31/07/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	389
C82634	31/07/2012		I	CI/2	3940.000	Cambridge Edition - Job 71884 - Delivery 11 Jul 2012 - 70 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	388.48	446.75	Cambridge Edition	S	58.27	I	389
C82634	31/07/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	389
C82634	31/07/2012		I	CI/3	3940.000	Cambridge Edition - Job 72236 - Delivery 18 Jul 2012 - 70 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	388.48	446.75	Cambridge Edition	S	58.27	I	389
C82634	31/07/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	389
C82634	31/07/2012		I	CI/4	3940.000	Cambridge Edition - Job 72237 - Delivery 25 Jul 2012 - 101 grams. Includes folding fee 0.0100 cents.  	0.1097	0.1262	432.22	497.05	Cambridge Edition	S	64.83	I	389
C82634	31/07/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	389

C82635	31/07/2012		I	CI/1	11345.000	FCN - Thursday - Job 71888 - Delivery 05 Jul 2012 - 180 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	1308.08	1504.29	FCN - Thursday	S	196.21	I	389
C82635	31/07/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.00	1.15	FCN - Thursday	S	0.15	I	389
C82635	31/07/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.00	20.70	FCN - Thursday	S	2.70	I	389
C82635	31/07/2012		I	CI/2	11345.000	FCN - Thursday - Job 72240 - Delivery 12 Jul 2012 - 175 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	1308.08	1504.29	FCN - Thursday	S	196.21	I	389
C82635	31/07/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.00	1.15	FCN - Thursday	S	0.15	I	389
C82635	31/07/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.00	20.70	FCN - Thursday	S	2.70	I	389
C82635	31/07/2012		I	CI/3	11345.000	FCN - Thursday - Job 72241 - Delivery 19 Jul 2012 - 165 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	1308.08	1504.29	FCN - Thursday	S	196.21	I	389
C82635	31/07/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.00	1.15	FCN - Thursday	S	0.15	I	389
C82635	31/07/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.00	20.70	FCN - Thursday	S	2.70	I	389
C82635	31/07/2012		I	CI/4	11345.000	FCN - Thursday - Job 72242 - Delivery 26 Jul 2012 - 180 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	1308.08	1504.29	FCN - Thursday	S	196.21	I	389
C82635	31/07/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.00	1.15	FCN - Thursday	S	0.15	I	389
C82635	31/07/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.00	20.70	FCN - Thursday	S	2.70	I	389

C82636	31/07/2012		I	CI/1	11145.000	FCN - Tuesday - Job 71892 - Delivery 03 Jul 2012 - 60 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	1098.90	1263.74	FCN - Tuesday	S	164.84	I	389
C82636	31/07/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	389
C82636	31/07/2012		I	CI/2	11145.000	FCN - Tuesday - Job 71893 - Delivery 10 Jul 2012 - 55 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	1098.90	1263.74	FCN - Tuesday	S	164.84	I	389
C82636	31/07/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	389
C82636	31/07/2012		I	CI/3	11145.000	FCN - Tuesday - Job 72245 - Delivery 17 Jul 2012 - 70 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	1098.90	1263.74	FCN - Tuesday	S	164.84	I	389
C82636	31/07/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	389
C82636	31/07/2012		I	CI/4	11145.000	FCN - Tuesday - Job 72246 - Delivery 24 Jul 2012 - 60 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	1098.90	1263.74	FCN - Tuesday	S	164.84	I	389
C82636	31/07/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	389
C82636	31/07/2012		I	CI/5	11145.000	FCN - Tuesday - Job 72247 - Delivery 31 Jul 2012 - 50 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	975.19	1121.47	FCN - Tuesday	S	146.28	I	389
C82636	31/07/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	389

C82637	31/07/2012		I	CI/1	2265.000	Matamata Chronicle - Job 71897 - Delivery 04 Jul 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	223.33	256.83	Matamata Chronicle	S	33.50	I	389
C82637	31/07/2012		I	CI/2	2265.000	Matamata Chronicle - Job 72249 - Delivery 11 Jul 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	223.33	256.83	Matamata Chronicle	S	33.50	I	389
C82637	31/07/2012		I	CI/3	2265.000	Matamata Chronicle - Job 72250 - Delivery 18 Jul 2012 - 70 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	223.33	256.83	Matamata Chronicle	S	33.50	I	389
C82637	31/07/2012		I	CI/4	2265.000	Matamata Chronicle - Job 72251 - Delivery 25 Jul 2012 - 115 grams. Includes folding fee 0.0100 cents.  	0.1097	0.1262	248.47	285.74	Matamata Chronicle	S	37.27	I	389

C82638	31/07/2012		I	CI/1	2876.000	Nth Waikato News - Job 71901 - Delivery 04 Jul 2012 - 50 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	251.65	289.40	Nth Waikato News	S	37.75	I	389
C82638	31/07/2012		I	CI/2	2876.000	Nth Waikato News - Job 71902 - Delivery 11 Jul 2012 - 50 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	251.65	289.40	Nth Waikato News	S	37.75	I	389
C82638	31/07/2012		I	CI/3	2876.000	Nth Waikato News - Job 72254 - Delivery 18 Jul 2012 - 50 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	251.65	289.40	Nth Waikato News	S	37.75	I	389
C82638	31/07/2012		I	CI/4	2876.000	Nth Waikato News - Job 72255 - Delivery 25 Jul 2012 - 50 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	251.65	289.40	Nth Waikato News	S	37.75	I	389

C82639	31/07/2012		I	CI/1	3457.000	Piako Post - Job 71906 - Delivery 04 Jul 2012 - 197 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	398.59	458.38	Piako Post	S	59.79	I	389
C82639	31/07/2012		I	CI/2	3457.000	Piako Post - Job 71907 - Delivery 11 Jul 2012 - 148 grams. Includes folding fee 0.0100 cents.  	0.1097	0.1262	379.23	436.11	Piako Post	S	56.88	I	389
C82639	31/07/2012		I	CI/3	3457.000	Piako Post - Job 72258 - Delivery 18 Jul 2012 - 138 grams. Includes folding fee 0.0100 cents.  	0.1097	0.1262	379.23	436.11	Piako Post	S	56.88	I	389
C82639	31/07/2012		I	CI/4	3457.000	Piako Post - Job 72259 - Delivery 25 Jul 2012 - 168 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	398.59	458.38	Piako Post	S	59.79	I	389

C82640	31/07/2012		I	CI/1	2885.000	Rotorua Review - Job 71911 - Delivery 04 Jul 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	284.46	327.13	Rotorua Review	S	42.67	I	389
C82640	31/07/2012		I	C150	2.000	Bundles	1.5000	1.7250	3.00	3.45	Rotorua Review	S	0.45	I	389
C82640	31/07/2012		I	CI/2	2885.000	Rotorua Review - Job 71912 - Delivery 11 Jul 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	284.46	327.13	Rotorua Review	S	42.67	I	389
C82640	31/07/2012		I	C150	2.000	Bundles	1.5000	1.7250	3.00	3.45	Rotorua Review	S	0.45	I	389
C82640	31/07/2012		I	CI/3	2885.000	Rotorua Review - Job 72262 - Delivery 18 Jul 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	284.46	327.13	Rotorua Review	S	42.67	I	389
C82640	31/07/2012		I	C150	2.000	Bundles	1.5000	1.7250	3.00	3.45	Rotorua Review	S	0.45	I	389
C82640	31/07/2012		I	CI/4	2885.000	Rotorua Review - Job 72263 - Delivery 25 Jul 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	284.46	327.13	Rotorua Review	S	42.67	I	389
C82640	31/07/2012		I	C150	2.000	Bundles	1.5000	1.7250	3.00	3.45	Rotorua Review	S	0.45	I	389

C82641	31/07/2012		I	CI/1	2017.000	Sth Waikato News - Job 71916 - Delivery 04 Jul 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	198.88	228.71	Sth Waikato News	S	29.83	I	389
C82641	31/07/2012		I	C100	3.000	Bundles	1.0000	1.1500	3.00	3.45	Sth Waikato News	S	0.45	I	389
C82641	31/07/2012		I	CI/2	2017.000	Sth Waikato News - Job 71917 - Delivery 11 Jul 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	198.88	228.71	Sth Waikato News	S	29.83	I	389
C82641	31/07/2012		I	C100	3.000	Bundles	1.0000	1.1500	3.00	3.45	Sth Waikato News	S	0.45	I	389
C82641	31/07/2012		I	CI/3	2017.000	Sth Waikato News - Job 72266 - Delivery 18 Jul 2012 - 70 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	198.88	228.71	Sth Waikato News	S	29.83	I	389
C82641	31/07/2012		I	C100	3.000	Bundles	1.0000	1.1500	3.00	3.45	Sth Waikato News	S	0.45	I	389
C82641	31/07/2012		I	CI/4	2017.000	Sth Waikato News - Job 72267 - Delivery 25 Jul 2012 - 88 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	198.88	228.71	Sth Waikato News	S	29.83	I	389
C82641	31/07/2012		I	C100	3.000	Bundles	1.0000	1.1500	3.00	3.45	Sth Waikato News	S	0.45	I	389

C82642	31/07/2012		I	CI/1	11270.000	Waikato Farmers Newspaper - Job 71919 - Delivery IOA - 81 grams. Includes folding fee 0.0100 cents.  Includes Linehaul.	0.1318	0.1516	1485.39	1708.20	Waikato Farmers Newspaper	S	222.81	I	389

C82643	31/07/2012		I	CI/1	5001.000	Farm Mapping - Job 72176 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	485.60	558.44	Farm Mapping	S	72.84	I	142

C82644	31/07/2012	matamata	I	CI/1	3485.000	Farrells Nuresies - Job 72155 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0750	0.0863	261.38	300.59	Farrells Nuresies	S	39.21	I	487

C82645	31/07/2012		I	CI/1	6095.000	Farrells Nuresies - Job 72403 - Delivery 31 Jul 2012 - 10 grams.   Includes Linehaul.	0.0750	0.0863	457.13	525.70	Farrells Nuresies	S	68.57	I	487

C82646	31/07/2012		I	CI/1	1677.000	First National Flyer - Job 72171 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0894	0.1028	149.92	172.41	First National Flyer	S	22.49	I	473

C82647	31/07/2012		I	CI/1	2095.000	GEA Shed 5 Pamphlet  - Job 72383 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	203.42	233.93	GEA Shed 5 Pamphlet 	S	30.51	I	421

C82648	31/07/2012		I	CI/1	5179.000	Gibb Gro Newsletter - Job 72401 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	502.88	578.31	Gibb Gro Newsletter	S	75.43	I	419
C82648	31/07/2012		I	CI/2	1.000	Gibb Gro Newsletter - Job 72401 - Delivery IOA - 10 grams. Bags Boxes and Counter. Includes Linehaul.	414.3200	476.4680	414.32	476.47	Gibb Gro Newsletter	S	62.15	I	419

C82649	31/07/2012		I	CI/1	1731.000	Calf Debudding Magnet - Job 72133 - Delivery 02 Jul 2012 - 20 grams.   Includes Linehaul.	0.0867	0.0997	150.08	172.59	Calf Debudding Magnet	S	22.51	I	493 

C82650	31/07/2012		I	CI/1	401.000	Farman Turkington Forestry - Job 72400 - Delivery IOA - 10 grams.   Includes Linehaul.	0.3741	0.4302	150.01	172.51	Farman Turkington Forestry	S	22.50	I	350

C82651	31/07/2012		I	CI/1	4799.000	My Hastings - Job 72158 - Delivery 02 Jul 2012 - 10 grams.   	0.0824	0.0948	395.44	454.76	My Hastings	S	59.32	I	399

C82652	31/07/2012		I	CI/1	7014.000	Our Place - Job 72362 - Delivery 19 Jul 2012 - 20 grams.   	0.0824	0.0948	577.95	664.64	Our Place	S	86.69	I	285

C82653	31/07/2012		I	CI/1	26319.000	Better Buys - Job 72174 - Delivery IOA - 23 grams.   Includes Linehaul.	0.0777	0.0894	2044.99	2351.74	Better Buys	S	306.75	I	380
C82653	31/07/2012		I	CI/2	18836.000	Rural Better Buys - Job 72175 - Delivery IOA - 23 grams.   Includes Linehaul.	0.0777	0.0894	1463.56	1683.09	Rural Better Buys	S	219.53	I	380
C82653	31/07/2012		I	CI/3	15242.000	Rural Better Buys SI - Job 72194 - Delivery IOA - 48 grams.   	0.0871	0.1002	1327.58	1526.72	Rural Better Buys SI	S	199.14	I	380
C82653	31/07/2012		I	CI/4	7638.000	Rural Better Buys SI Southland - Job 72197 - Delivery IOA - 48 grams.   	0.0871	0.1002	665.27	765.06	Rural Better Buys SI Southland	S	99.79	I	380

