Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C23265	31/01/2011		I	CI/1	584.000	brochure & magnet - Job 67714 - Delivery IOA - 30 grams.   	0.2568	0.2953	149.971	brochure & magnet	S	22.50	I	100

C23266	31/01/2011		I	CI/1	1920.000	Allfarm NZ Discussion Group - Job 67663 - Delivery 25 Jan 2011 - 5 grams.   Includes Linehaul.	0.0781	0.0898	149.952	Allfarm NZ Discussion Group	S	22.49	I	308

C23267	31/01/2011	10455	I	CI/1	8092.000	Rural Advocate - Job 67581 - Delivery 21 Jan 2011 - 142 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	773.595	Rural Advocate	S	116.04	I	106

C23268	31/01/2011		I	CI/1	3525.000	Te Puke Times - Job 67541 - Delivery 05 Jan 2011 - 55 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C23268	31/01/2011		I	CI/2	3525.000	Te Puke Times - Job 67542 - Delivery 12 Jan 2011 - 55 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C23268	31/01/2011		I	CI/3	3525.000	Te Puke Times - Job 67543 - Delivery 19 Jan 2011 - 76 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C23268	31/01/2011		I	CI/4	3525.000	Te Puke Times - Job 67544 - Delivery 26 Jan 2011 - 80 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106

C23269	31/01/2011	Central/Westen Southland	I	CI/1	3087.000	Central & Western Southland Farm Location Maps - Job 67398 - Delivery IOA - 100 grams.   	0.0856	0.0984	264.247	Central & Western Southland Farm Location Maps	S	39.64	I	107

C23270	31/01/2011	Southland North & East	I	CI/1	2374.000	North & East Southland Maps - Job 67657 - Delivery 24 Jan 2011 - 100 grams.   	0.0856	0.0984	203.214	North & East Southland Maps	S	30.48	I	107

C23271	31/01/2011	North taranaki	I	CI/1	2729.000	North Taranaki Reply Paid Cards - Job 67694 - Delivery 26 Jan 2011 - 10 grams.   	0.0749	0.0861	204.402	North Taranaki Reply Paid Cards	S	30.66	I	107

