Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C20573	31/08/2009		I	CI/1	2991.000	Cambridge Property Guide - Job 63126 - Delivery 05 Aug 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C20573	31/08/2009		I	CI/2	2991.000	Cambridge Property Guide - Job 63389 - Delivery 12 Aug 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C20573	31/08/2009		I	CI/3	2991.000	Cambridge Property Guide - Job 63390 - Delivery 19 Aug 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106
C20573	31/08/2009		I	CI/4	2991.000	Cambridge Property Guide - Job 63391 - Delivery 26 Aug 2009 - 80 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	253.936	Cambridge Property Guide	S	31.74	I	106

C20574	31/08/2009	Gay Hubbard	I	CI/1	2220.000	Hamilton This Week - Job 63131 - Delivery 06 Aug 2009 - 35 grams. Includes folding fee 0.0100 cents.  	0.0756	0.0851	167.832	Hamilton This Week	S	20.98	I	106
C20574	31/08/2009	Gay Hubbard	I	CI/2	2220.000	Hamilton This Week - Job 63393 - Delivery 13 Aug 2009 - 55 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	188.478	Hamilton This Week	S	23.56	I	106
C20574	31/08/2009	Gay Hubbard	I	CI/3	2220.000	Hamilton This Week - Job 63394 - Delivery 20 Aug 2009 - 50 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	188.478	Hamilton This Week	S	23.56	I	106
C20574	31/08/2009	Gay Hubbard	I	CI/4	2220.000	Hamilton This Week - Job 63395 - Delivery 27 Aug 2009 - 55 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	188.478	Hamilton This Week	S	23.56	I	106

C20575	31/08/2009	10455	I	CI/1	8092.000	Rural Advocate - Job 63397 - Delivery 21 Aug 2009 - 147 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1076	773.595	Rural Advocate	S	96.70	I	106

C20576	31/08/2009		I	CI/1	3505.000	Te Puke Times - Job 63136 - Delivery 05 Aug 2009 - 110 grams.   	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106
C20576	31/08/2009		I	CI/2	3505.000	Te Puke Times - Job 63398 - Delivery 12 Aug 2009 - 100 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C20576	31/08/2009		I	CI/3	3505.000	Te Puke Times - Job 63399 - Delivery 19 Aug 2009 - 75 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106
C20576	31/08/2009		I	CI/4	3505.000	Te Puke Times - Job 63400 - Delivery 26 Aug 2009 - 75 grams.   	0.0749	0.0843	262.525	Te Puke Times	S	32.82	I	106

C20577	31/08/2009		I	CI/1	4736.000	Farm Location Maps - Franklin - Job 63559 - Delivery IOA - 85 grams.   	0.0856	0.0963	405.402	Farm Location Maps - Franklin	S	50.68	I	107

C20578	31/08/2009	Central Canterbury	I	CI/1	2377.000	Reply Paid Cards - Central Canterbury - Job 63584 - Delivery 24 Aug 2009 - 10 grams.   	0.0749	0.0843	178.037	Reply Paid Cards - Central Canterbury	S	22.25	I	107

C20579	31/08/2009		I	CI/1	1600.000	Bayleys -Dean File - Job 63779 - Delivery IOA - 15 grams.   	0.0938	0.1055	150.080	Bayleys -Dean File	S	18.76	I	111

C20580	31/08/2009		I	CI/1	33223.000	Rural Living - Job 63340 - Delivery 17 Aug 2009 - 62 grams.   	0.0927	0.1043	3079.772	Rural Living	S	384.97	I	256

C20581	31/08/2009		I	CI/1	87202.000	C-Dax - InEx 4-page Flyer - Job 63602 - Delivery 31 Aug 2009 - 10 grams.   Includes Linehaul.	0.0692	0.0779	6034.378	C-Dax - InEx 4-page Flyer	S	754.30	I	116

C20582	31/08/2009	MAX2009072101	I	CI/1	6106.000	Hidden Fence BOP Brochure - Job 63471 - Delivery IOA - 8 grams.   	0.0749	0.0843	457.339	Hidden Fence BOP Brochure	S	57.17	I	309

C20583	31/08/2009		I	CI/1	4595.000	CMP Flyer - Job 63778 - Delivery IOA - 10 grams.   	0.0883	0.0993	405.739	CMP Flyer	S	50.72	I	250

C20584	31/08/2009	SI Lifestyler Mailing	I	CI/1	31248.000	SI Lifestyler Mailing - Your Welcome - Job 63506 - Delivery 06 Aug 2009 - 20 grams.   	0.0728	0.0819	2274.854	SI Lifestyler Mailing - Your Welcome	S	284.36	I	125

C20585	31/08/2009	Tanya Calvert	I	CI/1	1764.000	DairyNZ Localink - Wilma Foster - Job 63780 - Delivery IOA - 10 grams.   	0.0851	0.0957	150.116	DairyNZ Localink - Wilma Foster	S	18.76	I	233

C20586	31/08/2009	116011	I	CI/1	1138.000	DairyNZ Localink- James Mwendra - Job 63790 - Delivery IOA - 10 grams.   	0.1318	0.1483	149.988	DairyNZ Localink- James Mwendra	S	18.75	I	233

C20587	31/08/2009	116015	I	CI/1	666.000	DairyNZ Localink-David Swney - Job 63802 - Delivery IOA - 10 grams.   	0.2252	0.2534	149.983	DairyNZ Localink-David Swney	S	18.75	I	233

C20588	31/08/2009	116018	I	CI/1	575.000	DairyNZ Tight Mgmt Farm Field Day Maungaturoto - Job 63808 - Delivery IOA - 10 grams.   	0.2608	0.2934	149.960	DairyNZ Tight Mgmt Farm Field Day Maungaturoto	S	18.75	I	233

C20589	31/08/2009	116014	I	CI/1	1750.000	DairyNZ Tight Mgmt/Tight Times - Job 63793 - Delivery IOA - 10 grams.   	0.0857	0.0964	149.975	DairyNZ Tight Mgmt/Tight Times	S	18.75	I	233

C20590	31/08/2009	116017	I	CI/1	659.000	DairyNZ Tight Mgmt/Tight Times Awanui - Job 63807 - Delivery IOA - 10 grams.   	0.2276	0.2561	149.988	DairyNZ Tight Mgmt/Tight Times Awanui	S	18.75	I	233

C20591	31/08/2009	115993	I	CI/1	953.000	DairyNZ-Tight Management Field Day - Job 63781 - Delivery IOA - 10 grams.   	0.1574	0.1771	150.002	DairyNZ-Tight Management Field Day	S	18.75	I	233

C20592	31/08/2009	115995	I	CI/1	773.000	DairyNZ-Tight Mgmt Te Puke - Job 63782 - Delivery IOA - 10 grams.   	0.1940	0.2183	149.962	DairyNZ-Tight Mgmt Te Puke	S	18.75	I	233

C20593	31/08/2009	115996	I	CI/1	708.000	DairyNZ-Tight Mgmt Whangarei - Job 63783 - Delivery IOA - 10 grams.   	0.2119	0.2384	150.025	DairyNZ-Tight Mgmt Whangarei	S	18.75	I	233

C20594	31/08/2009	266528	I	CI/1	4096.000	Cambridge Edition - Job 63324 - Delivery 05 Aug 2009 - 167 grams. Includes folding fee 0.0100 cents.  	0.1117	0.1257	457.523	Cambridge Edition	S	57.19	I	141
C20594	31/08/2009	266528	I	C100	2.000	Bundles	1.0000	1.1250	2.000	Cambridge Edition	S	0.25	I	141
C20594	31/08/2009	266528	I	CI/2	4096.000	Cambridge Edition - Job 63385 - Delivery 12 Aug 2009 - 253 grams. Includes folding fee 0.0100 cents.  	0.1331	0.1497	545.178	Cambridge Edition	S	68.15	I	141
C20594	31/08/2009	266528	I	C100	2.000	Bundles	1.0000	1.1250	2.000	Cambridge Edition	S	0.25	I	141
C20594	31/08/2009	266528	I	CI/3	4096.000	Cambridge Edition - Job 63386 - Delivery 19 Aug 2009 - 196 grams. Includes folding fee 0.0100 cents.  	0.1117	0.1257	457.523	Cambridge Edition	S	57.19	I	141
C20594	31/08/2009	266528	I	C100	2.000	Bundles	1.0000	1.1250	2.000	Cambridge Edition	S	0.25	I	141
C20594	31/08/2009	266528	I	CI/4	4096.000	Cambridge Edition - Job 63387 - Delivery 26 Aug 2009 - 205 grams. Includes folding fee 0.0100 cents.  	0.1224	0.1377	501.350	Cambridge Edition	S	62.67	I	141
C20594	31/08/2009	266528	I	C100	2.000	Bundles	1.0000	1.1250	2.000	Cambridge Edition	S	0.25	I	141

C20595	31/08/2009		I	CI/1	2975.000	Dargaville District News - Job 63146 - Delivery 05 Aug 2009 - 40 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	252.578	Dargaville District News	S	31.57	I	141
C20595	31/08/2009		I	CI/2	2975.000	Dargaville District News - Job 63402 - Delivery 12 Aug 2009 - 40 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	252.578	Dargaville District News	S	31.57	I	141
C20595	31/08/2009		I	CI/3	2975.000	Dargaville District News - Job 63403 - Delivery 19 Aug 2009 - 45 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	252.578	Dargaville District News	S	31.57	I	141
C20595	31/08/2009		I	CI/4	2975.000	Dargaville District News - Job 63404 - Delivery 26 Aug 2009 - 50 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0955	252.578	Dargaville District News	S	31.57	I	141

C20596	31/08/2009	268884	I	CI/1	11345.000	FCN - Thursday - Job 63151 - Delivery 06 Aug 2009 - 140 grams. Includes folding fee 0.0100 cents.  	0.1063	0.1196	1205.974	FCN - Thursday	S	150.75	I	141
C20596	31/08/2009	268884	I	C150	13.000	Bundles	1.5000	1.6875	19.500	FCN - Thursday	S	2.44	I	141
C20596	31/08/2009	268884	I	CI/2	11345.000	FCN - Thursday - Job 63377 - Delivery 13 Aug 2009 - 135 grams. Includes folding fee 0.0100 cents.  	0.1063	0.1196	1205.974	FCN - Thursday	S	150.75	I	141
C20596	31/08/2009	268884	I	C150	13.000	Bundles	1.5000	1.6875	19.500	FCN - Thursday	S	2.44	I	141
C20596	31/08/2009	268884	I	CI/3	11345.000	FCN - Thursday - Job 63378 - Delivery 20 Aug 2009 - 165 grams. Includes folding fee 0.0100 cents.  	0.1117	0.1257	1267.237	FCN - Thursday	S	158.40	I	141
C20596	31/08/2009	268884	I	C150	13.000	Bundles	1.5000	1.6875	19.500	FCN - Thursday	S	2.44	I	141
C20596	31/08/2009	268884	I	CI/4	11345.000	FCN - Thursday - Job 63379 - Delivery 27 Aug 2009 - 135 grams. Includes folding fee 0.0100 cents.  	0.1063	0.1196	1205.974	FCN - Thursday	S	150.75	I	141
