Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C83082	30/09/2012	73091	I	CI/1	6806.000	Eastern North Island Farmer Council - Job 73091 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	660.86	759.99	Eastern North Island Farmer Council	S	99.13	I	Beef + Lamb NZ Hast
C83082	30/09/2012	73091	I	CI/2	1.000	Eastern North Island Farmer Council - Job 73091 - Delivery IOA - 10 grams. Bags Boxes and Counter. Includes Linehaul.	854.2000	982.3300	854.20	982.33	Eastern North Island Farmer Council	S	128.13	I	Beef + Lamb NZ Hast
C83082	30/09/2012	73091	I	CI/3	6806.000	Eastern North Island Farmer Council - Job 73115 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0000	0.0000	0.00	0.00	Eastern North Island Farmer Council	S	0.00	I	Beef + Lamb NZ Hast
C83082	30/09/2012	73091	I	CI/4	1.000	Eastern North Island Farmer Council - Job 73115 - Delivery IOA - 10 grams. Bags Boxes and Counter. Includes Linehaul.	504.2000	579.8300	504.20	579.83	Eastern North Island Farmer Council	S	75.63	I	Beef + Lamb NZ Hast

C83083	30/09/2012		I	CI/1	1573.000	Beef Returns Improvement GRoups - Job 72850 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	152.74	175.65	Beef Returns Improvement GRoups	S	22.91	I	Beef + Lamb NZ Feild

C83084	30/09/2012		I	CI/1	14828.000	Rural Living  - Job 72890 - Delivery 27 Sep 2012 - 75 grams.   Includes Linehaul.	0.0996	0.1145	1476.87	1698.40	Rural Living 	S	221.53	I	Business Media Press

C83085	30/09/2012	Andrew Weir	I	CI/1	2361.000	Stihl Mailer - Job 73092 - Delivery 18 Sep 2012 - 20 grams.   	0.0824	0.0948	194.55	223.73	Stihl Mailer	S	29.18	I	520

C83086	30/09/2012		I	CI/1	8889.000	Deere Season - Job 73068 - Delivery 26 Sep 2012 - 96 grams.   Includes Linehaul.	0.1354	0.1557	1203.57	1384.11	Deere Season	S	180.54	I	Cervus Equipment NZ 

C83087	30/09/2012	Simon Stewart	I	CI/1	10191.000	Chainsaw & Outdoor Power Ltd - Job 72845 - Delivery 04 Sep 2012 - 10 grams.   	0.0824	0.0948	839.74	965.70	Chainsaw & Outdoor Power Ltd	S	125.96	I	Chainsaw and Outdoor

C83088	30/09/2012	001	I	CI/1	1334.000	CMP - John Byrne - Job 73046 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	129.53	148.96	CMP - John Byrne	S	19.43	I	CMP Canterbury Ltd

C83089	30/09/2012	001	I	CI/1	2738.000	CMP - Tony Kelly - Job 73047 - Delivery 11 Sep 2012 - 10 grams.   Includes Linehaul.	0.0971	0.1117	265.86	305.74	CMP - Tony Kelly	S	39.88	I	CMP Canterbury Ltd

C83090	30/09/2012		I	CI/1	80881.000	GrubOut Postcard - Job 72777 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	7853.55	9031.58	GrubOut Postcard	S	1178.03	I	Cropmark Seeds Ltd

C83091	30/09/2012	133599	I	CI/1	1040.000	It Starts Now - Job 72801 - Delivery 04 Sep 2012 - 10 grams.   Includes Linehaul.	0.1442	0.1658	149.97	172.47	It Starts Now	S	22.50	I	DairyNZ Ltd

C83092	30/09/2012	133547	I	CI/1	3583.000	Mating Management - Job 72825 - Delivery 13 Sep 2012 - 10 grams.   Includes Linehaul.	0.0949	0.1091	340.03	391.03	Mating Management	S	51.00	I	DairyNZ Ltd

C83093	30/09/2012	133599	I	CI/1	375.000	Meetings - Job 72800 - Delivery 05 Sep 2012 - 10 grams.   Includes Linehaul.	0.4000	0.4600	150.00	172.50	Meetings	S	22.50	I	DairyNZ Ltd

C83094	30/09/2012	133715	I	CI/1	1810.000	Pasture Improvement Focus Farm - Job 72877 - Delivery IOA - 10 grams.   	0.0829	0.0953	150.05	172.56	Pasture Improvement Focus Farm	S	22.51	I	DairyNZ Ltd

C83095	30/09/2012	133908	I	CI/1	1005.000	Pasture Plus Manawatu - Job 73123 - Delivery IOA - 10 grams.   Includes Linehaul.	0.1493	0.1717	150.05	172.56	Pasture Plus Manawatu	S	22.51	I	DairyNZ Ltd

C83096	30/09/2012	133737	I	CI/1	2378.000	Spring Event Planner - Job 72968 - Delivery IOA - 10 grams.   	0.0805	0.0926	191.43	220.14	Spring Event Planner	S	28.71	I	DairyNZ Ltd

C83097	30/09/2012	133799	I	CI/1	327.000	Tararua Pasture Plus - Job 73116 - Delivery IOA - 10 grams.   Includes Linehaul.	0.3043	0.3499	99.51	114.44	Tararua Pasture Plus	S	14.93	I	DairyNZ Ltd

C83098	30/09/2012	133799	I	CI/1	166.000	Woodville Flyers - Job 73117 - Delivery IOA - 10 grams.   Includes Linehaul.	0.3043	0.3499	50.51	58.09	Woodville Flyers	S	7.58	I	DairyNZ Ltd

C83099	30/09/2012	U381708	I	CI/1	930.000	Heli Management Flyer - Job 73169 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0000	0.0000	0.00	0.00	Heli Management Flyer	S	0.00	I	Dow Agroscience

C83100	30/09/2012	U415186	I	CI/1	866.000	Preside Postcard - Job 73170 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0000	0.0000	0.00	0.00	Preside Postcard	S	0.00	I	Dow Agroscience

C83101	30/09/2012	39791	I	CI/1	39791.000	3M - Job 72819 - Delivery IOA - 15 grams.   	0.0824	0.0948	3278.78	3770.60	3M	S	491.82	I	Etec Crop Solutions 

C83102	30/09/2012	65825	I	CI/1	46714.000	Hammer - Job 72824 - Delivery IOA - 10 grams.   	0.0824	0.0948	3849.23	4426.61	Hammer	S	577.38	I	Etec Crop Solutions 
C83102	30/09/2012	65825	I	CI/2	1424.000	Hammer - Job 72828 - Delivery IOA - 10 grams.   	0.0824	0.0948	117.34	134.94	Hammer	S	17.60	I	Etec Crop Solutions 
C83102	30/09/2012	65825	I	CI/3	17687.000	Hammer - Job 72829 - Delivery IOA - 10 grams.   	0.0824	0.0948	1457.41	1676.02	Hammer	S	218.61	I	Etec Crop Solutions 

C83103	30/09/2012		I	CI/1	3065.000	Dargaville District News - Job 72469 - Delivery 05 Sep 2012 - 44 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	268.19	308.42	Dargaville District News	S	40.23	I	Fairfax - Dargaville
C83103	30/09/2012		I	CI/2	3065.000	Dargaville District News - Job 72470 - Delivery 12 Sep 2012 - 49 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	268.19	308.42	Dargaville District News	S	40.23	I	Fairfax - Dargaville
C83103	30/09/2012		I	CI/3	3065.000	Dargaville District News - Job 72886 - Delivery 19 Sep 2012 - 68 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	302.21	347.54	Dargaville District News	S	45.33	I	Fairfax - Dargaville
C83103	30/09/2012		I	CI/4	3065.000	Dargaville District News - Job 72887 - Delivery 26 Sep 2012 - 52 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	302.21	347.54	Dargaville District News	S	45.33	I	Fairfax - Dargaville

C83104	30/09/2012		I	CI/1	7920.000	Whangarei Leader - Job 72474 - Delivery 04 Sep 2012 - 68 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	Fairfax - Whangarei 
C83104	30/09/2012		I	CI/2	7920.000	Whangarei Leader - Job 72475 - Delivery 11 Sep 2012 - 55 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	Fairfax - Whangarei 
C83104	30/09/2012		I	CI/3	7920.000	Whangarei Leader - Job 72986 - Delivery 18 Sep 2012 - 71 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	Fairfax - Whangarei 
C83104	30/09/2012		I	CI/4	7920.000	Whangarei Leader - Job 72987 - Delivery 25 Sep 2012 - 57 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	780.91	898.05	Whangarei Leader	S	117.14	I	Fairfax - Whangarei 

C83105	30/09/2012		I	CI/1	3940.000	Cambridge Edition - Job 72479 - Delivery 05 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	388.48	446.75	Cambridge Edition	S	58.27	I	Fairfax - WRCN
C83105	30/09/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	Fairfax - WRCN
C83105	30/09/2012		I	CI/2	3940.000	Cambridge Edition - Job 72480 - Delivery 12 Sep 2012 - 87 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	388.48	446.75	Cambridge Edition	S	58.27	I	Fairfax - WRCN
C83105	30/09/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	Fairfax - WRCN
C83105	30/09/2012		I	CI/3	3940.000	Cambridge Edition - Job 72892 - Delivery 19 Sep 2012 - 87 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	388.48	446.75	Cambridge Edition	S	58.27	I	Fairfax - WRCN
C83105	30/09/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	Fairfax - WRCN
C83105	30/09/2012		I	CI/4	3940.000	Cambridge Edition - Job 72893 - Delivery 26 Sep 2012 - 98 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	388.48	446.75	Cambridge Edition	S	58.27	I	Fairfax - WRCN
C83105	30/09/2012		I	C100	2.000	Bundles	1.0000	1.1500	2.00	2.30	Cambridge Edition	S	0.30	I	Fairfax - WRCN

C83106	30/09/2012		I	CI/1	11345.000	FCN - Thursday - Job 72484 - Delivery 06 Sep 2012 - 197 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	1308.08	1504.29	FCN - Thursday	S	196.21	I	Fairfax - WRCN
C83106	30/09/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.00	1.15	FCN - Thursday	S	0.15	I	Fairfax - WRCN
C83106	30/09/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.00	20.70	FCN - Thursday	S	2.70	I	Fairfax - WRCN
C83106	30/09/2012		I	CI/2	11345.000	FCN - Thursday - Job 72485 - Delivery 13 Sep 2012 - 197 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	1308.08	1504.29	FCN - Thursday	S	196.21	I	Fairfax - WRCN
C83106	30/09/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.00	1.15	FCN - Thursday	S	0.15	I	Fairfax - WRCN
C83106	30/09/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.00	20.70	FCN - Thursday	S	2.70	I	Fairfax - WRCN
