Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C23372	28/02/2011	22234	I	CI/1	19091.000	John Deere - Job 67848 - Delivery 22 Feb 2011 - 10 grams.   Includes Linehaul.	0.0883	0.1015	1685.735	John Deere	S	252.86	I	286

C23373	28/02/2011		I	CI/1	1920.000	Allfarm NZ Discussion Group - Job 67664 - Delivery 01 Feb 2011 - 5 grams.   Includes Linehaul.	0.0781	0.0898	149.952	Allfarm NZ Discussion Group	S	22.49	I	308

C23374	28/02/2011	10455	I	CI/1	8092.000	Rural Advocate - Job 67582 - Delivery 18 Feb 2011 - 239 grams. Includes folding fee 0.0100 cents.  	0.1117	0.1285	903.876	Rural Advocate	S	135.58	I	106

C23375	28/02/2011		I	CI/1	3525.000	Te Puke Times - Job 67545 - Delivery 02 Feb 2011 - 75 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C23375	28/02/2011		I	CI/2	3525.000	Te Puke Times - Job 67721 - Delivery 09 Feb 2011 - 95 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C23375	28/02/2011		I	CI/3	3525.000	Te Puke Times - Job 67722 - Delivery 16 Feb 2011 - 135 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C23375	28/02/2011		I	CI/4	3525.000	Te Puke Times - Job 67723 - Delivery 23 Feb 2011 - 95 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106

C23376	28/02/2011	Rotorua/Taupo	I	CI/1	2535.000	Rotorua/Taupo Farm Location Maps - Job 67742 - Delivery 03 Feb 2011 - 100 grams.   	0.0856	0.0984	216.996	Rotorua/Taupo Farm Location Maps	S	32.55	I	107

C23377	28/02/2011		I	CI/1	5130.000	Ray White - Job 67702 - Delivery 04 Feb 2011 - 25 grams.   	0.0749	0.0861	384.237	Ray White	S	57.64	I	110
C23377	28/02/2011		I	CI/2	5930.000	Ray White - Job 67857 - Delivery 11 Feb 2011 - 25 grams.   	0.0749	0.0861	444.157	Ray White	S	66.62	I	110
C23377	28/02/2011		I	CI/3	5930.000	Ray White - Job 67858 - Delivery 18 Feb 2011 - 25 grams.   	0.0749	0.0861	444.157	Ray White	S	66.62	I	110
C23377	28/02/2011		I	CI/4	5930.000	Ray White - Job 67859 - Delivery 25 Feb 2011 - 25 grams.   	0.0749	0.0861	444.157	Ray White	S	66.62	I	110

C23378	28/02/2011	41289	I	CI/1	17062.000	Bayley's Flyer - Job 67809 - Delivery 07 Feb 2011 - 15 grams.   Includes Linehaul.	0.0883	0.1015	1506.575	Bayley's Flyer	S	225.99	I	253

C23379	28/02/2011	41630	I	CI/1	1989.000	Bayleys Flyer - Job 67845 - Delivery IOA - 25 grams.   	0.0754	0.0867	149.971	Bayleys Flyer	S	22.50	I	253

C23380	28/02/2011		I	CI/1	4000.000	open day - Job 67763 - Delivery 07 Feb 2011 - 10 grams.   Includes Linehaul.	0.0696	0.0800	278.400	open day	S	41.76	I	368

C23381	28/02/2011		I	CI/1	16230.000	Bayleys Lower North Island - Job 67814 - Delivery IOA - 98 grams.   	0.1231	0.1416	1997.913	Bayleys Lower North Island	S	299.69	I	111

C23382	28/02/2011		I	CI/1	14828.000	Rural Living  - Job 67579 - Delivery 18 Feb 2011 - 100 grams.   Includes Linehaul.	0.0927	0.1066	1374.556	Rural Living 	S	206.18	I	256

C23383	28/02/2011		I	CI/1	87218.000	Welcome to Our World - Job 67878 - Delivery IOA - 15 grams.   Includes Linehaul.	0.0692	0.0796	6035.486	Welcome to Our World	S	905.32	I	116

C23384	28/02/2011		I	CI/1	1372.000	Dairy Flyer - Job 67844 - Delivery 14 Feb 2011 - 10 grams.   Includes Linehaul.	0.1093	0.1257	149.960	Dairy Flyer	S	22.49	I	401

C23385	28/02/2011		I	CI/1	3006.000	Central Excavations Flyer - Job 67837 - Delivery IOA - 10 grams.   	0.0749	0.0861	225.149	Central Excavations Flyer	S	33.77	I	118

C23386	28/02/2011	Matrix NI	I	CI/1	17043.000	Matrix NI Brochure - Job 67546 - Delivery 01 Feb 2011 - 10 grams.   Includes Linehaul.	0.0883	0.1015	1504.897	Matrix NI Brochure	S	225.74	I	314

C23387	28/02/2011		I	CI/1	22635.000	Ultra Brochure - Job 67550 - Delivery 04 Feb 2011 - 50 grams.   	0.0990	0.1139	2240.865	Ultra Brochure	S	336.13	I	314

C23388	28/02/2011	123986	I	CI/1	4781.000	Body Condition Scoring - Job 67849 - Delivery 24 Feb 2011 - 10 grams.   	0.0749	0.0861	358.097	Body Condition Scoring	S	53.72	I	233

C23389	28/02/2011	123704	I	CI/1	1571.000	Grain Seminars Southland - Job 67706 - Delivery 07 Feb 2011 - 10 grams.   Includes Linehaul.	0.0955	0.1098	150.031	Grain Seminars Southland	S	22.51	I	233

C23390	28/02/2011	123698	I	CI/1	882.000	Hauraki Focus Farm - Job 67707 - Delivery 04 Feb 2011 - 10 grams.   	0.1701	0.1956	150.028	Hauraki Focus Farm	S	22.50	I	233

C23391	28/02/2011	123763	I	CI/1	882.000	Hauraki Plains Ladies Discussion Group - Job 67744 - Delivery 16 Feb 2011 - 10 grams.   	0.1701	0.1956	150.028	Hauraki Plains Ladies Discussion Group	S	22.50	I	233

C23392	28/02/2011	123896	I	CI/1	1496.000	HR Workshops - Job 67831 - Delivery 18 Feb 2011 - 10 grams.   	0.1003	0.1153	150.049	HR Workshops	S	22.51	I	233

C23393	28/02/2011	123571	I	CI/1	1317.000	NARF Field Day Flyer - Job 67665 - Delivery 07 Feb 2011 - 10 grams.   	0.1140	0.1311	150.138	NARF Field Day Flyer	S	22.52	I	233

C23394	28/02/2011	123730	I	CI/1	1799.000	Pasture Improvement Focus Farm - Job 67712 - Delivery 10 Feb 2011 - 10 grams.   	0.0834	0.0959	150.037	Pasture Improvement Focus Farm	S	22.51	I	233

C23395	28/02/2011	123810	I	CI/1	2250.000	Pasture Persistance Field Day - Job 67808 - Delivery 18 Feb 2011 - 10 grams.   	0.0749	0.0861	168.525	Pasture Persistance Field Day	S	25.28	I	233

C23396	28/02/2011	123947	I	CI/1	2036.000	Pasture Persistence - Job 67843 - Delivery 28 Feb 2011 - 10 grams.   	0.0749	0.0861	152.496	Pasture Persistence	S	22.87	I	233

C23397	28/02/2011	123940	I	CI/1	1290.000	Pasture Persistence Field Day - Job 67840 - Delivery 23 Feb 2011 - 15 grams.   	0.1163	0.1337	150.027	Pasture Persistence Field Day	S	22.50	I	233

C23398	28/02/2011	124055	I	CI/1	414.000	PP Te Puke Flyer - Job 67872 - Delivery 28 Feb 2011 - 10 grams.   	0.3623	0.4166	149.992	PP Te Puke Flyer	S	22.50	I	233

C23399	28/02/2011	Andrea Clayton	I	CI/1	1423.000	Yellow Bristle Grass Field Days - Job 67677 - Delivery 14 Feb 2011 - 10 grams.   	0.1054	0.1212	149.984	Yellow Bristle Grass Field Days	S	22.50	I	233

C23400	28/02/2011		I	CI/1	3065.000	Dargaville District News - Job 67557 - Delivery 02 Feb 2011 - 40 grams. Includes folding fee 0.0100 cents.  	0.0849	0.0976	260.219	Dargaville District News	S	39.03	I	141
C23400	28/02/2011		I	CI/2	3065.000	Dargaville District News - Job 67725 - Delivery 09 Feb 2011 - 55 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	293.014	Dargaville District News	S	43.95	I	141
